order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Standing Desk Converter,1,42.94,US
ORD-000002,2026/01/03,CUST-1002,Smart Watch Series 5,2,76.4,US
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,1,0.0,US
ORD-000004,2026/01/05,CUST-1004,Wireless Mouse Silent,1,78.68,US
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,2,88.57,US
ORD-000006,2026/01/07,CUST-1006,Monitor Arm Dual,2,55.7,US
ORD-000007,2026/01/08,CUST-1007,Bluetooth Speaker Mini,1,55.02,US
ORD-000008,2026/01/09,CUST-1008,Wireless Charger Pad,2,0.0,US
ORD-000009,2026/01/10,CUST-1009,Yoga Mat Premium,2,0.0,US
ORD-000010,2026/01/11,CUST-1010,4K Webcam Pro,1,0.0,US
ORD-000011,2026/01/12,CUST-1011,Stainless Steel Water Bottle,1,0.0,US
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,2,0.0,US
ORD-000013,2026/01/14,CUST-1013,Noise Cancelling Earbuds,1,0.0,US
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,1,34.02,US
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,2,0.0,US
ORD-000016,2026/01/17,CUST-1016,Stainless Steel Water Bottle,1,46.75,US
ORD-000017,2026/01/18,CUST-1017,Leather Wallet Classic,2,64.73,US
ORD-000018,2026/01/19,CUST-1018,Bluetooth Speaker Mini,2,68.35,US
ORD-000019,2026/01/20,CUST-1019,External SSD 1TB,1,0.0,US
ORD-000020,2026/01/21,CUST-1020,Mechanical Keyboard RGB,1,0.0,US
ORD-000021,2026/01/22,CUST-1021,Running Shoes Elite,1,35.44,US
ORD-000022,2026/01/23,CUST-1022,Portable Power Bank,1,73.99,US
ORD-000023,2026/01/24,CUST-1023,Yoga Mat Premium,1,45.44,US
ORD-000024,2026/01/25,CUST-1024,Stainless Steel Water Bottle,2,77.06,US
ORD-000025,2026/01/26,CUST-1025,Wireless Headphones Pro,1,0.0,US
ORD-000026,2026/01/27,CUST-1026,Yoga Mat Premium,1,34.55,US
ORD-000027,2026/01/28,CUST-1027,Organic Cotton T-Shirt,1,0.0,US
ORD-000028,2026/01/29,CUST-1028,Monitor Arm Dual,2,68.47,US
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,2,0.0,US
ORD-000030,2026/01/31,CUST-1030,Wireless Headphones Pro,2,53.18,US
ORD-000031,2026/02/01,CUST-1031,Wireless Charger Pad,1,54.17,US
ORD-000032,2026/02/02,CUST-1032,Mechanical Keyboard RGB,1,63.83,US
ORD-000033,2026/02/03,CUST-1033,Wireless Charger Pad,2,31.8,US
ORD-000034,2026/02/04,CUST-1034,Leather Wallet Classic,2,35.48,US
ORD-000035,2026/02/05,CUST-1035,Mechanical Keyboard RGB,2,85.37,US
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,2,62.48,US
ORD-000037,2026/02/07,CUST-1037,External SSD 1TB,1,58.93,US
ORD-000038,2026/02/08,CUST-1038,Wireless Headphones Pro,1,93.78,US
ORD-000039,2026/02/09,CUST-1039,Wireless Mouse Silent,2,0.0,US
ORD-000040,2026/02/10,CUST-1040,Standing Desk Converter,2,57.94,US
ORD-000041,2026/02/11,CUST-1041,Wireless Charger Pad,1,88.91,US
ORD-000042,2026/02/12,CUST-1042,Organic Cotton T-Shirt,1,65.33,US
ORD-000043,2026/02/13,CUST-1043,Ergonomic Office Chair,1,40.68,US
ORD-000044,2026/02/14,CUST-1044,LED Desk Lamp,2,66.88,US
ORD-000045,2026/02/15,CUST-1045,Wireless Mouse Silent,2,40.75,US
ORD-000046,2026/02/16,CUST-1046,Organic Cotton T-Shirt,1,79.76,US
ORD-000047,2026/02/17,CUST-1047,Running Shoes Elite,1,42.03,US
ORD-000048,2026/02/18,CUST-1048,Air Purifier Small,1,87.51,US
ORD-000049,2026/02/19,CUST-1049,Portable Power Bank,2,35.91,US
ORD-000050,2026/02/20,CUST-1050,Wireless Headphones Pro,2,35.84,US
ORD-000051,2026/02/21,CUST-1051,Smart Watch Series 5,2,54.76,US
ORD-000052,2026/02/22,CUST-1052,Wireless Headphones Pro,1,43.8,US
ORD-000053,2026/02/23,CUST-1053,Yoga Mat Premium,1,75.38,US
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,2,60.86,US
ORD-000055,2026/02/25,CUST-1055,External SSD 1TB,2,0.0,US
ORD-000056,2026/02/26,CUST-1056,4K Webcam Pro,2,43.39,US
ORD-000057,2026/02/27,CUST-1057,Bluetooth Speaker Mini,2,90.87,US
ORD-000058,2026/02/28,CUST-1058,Bluetooth Speaker Mini,1,51.55,US
ORD-000059,2026/03/01,CUST-1059,Wireless Charger Pad,1,0.0,US
ORD-000060,2026/03/02,CUST-1060,Monitor Arm Dual,2,53.56,US
ORD-000061,2026/03/03,CUST-1061,Leather Wallet Classic,2,0.0,US
ORD-000062,2026/03/04,CUST-1062,Portable Power Bank,2,68.37,US
ORD-000063,2026/03/05,CUST-1063,Smart Watch Series 5,1,0.0,US
ORD-000064,2026/03/06,CUST-1064,Running Shoes Elite,1,0.0,US
ORD-000065,2026/03/07,CUST-1065,Wireless Headphones Pro,1,57.08,US
ORD-000066,2026/03/08,CUST-1066,Standing Desk Converter,2,84.5,US
ORD-000067,2026/03/09,CUST-1067,External SSD 1TB,1,65.47,US
