order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,2,20.54,US
ORD-000002,2026/01/03,CUST-1002,Noise Cancelling Earbuds,2,20.85,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,2,19.29,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,2,31.21,US
ORD-000005,2026/01/06,CUST-1005,Standing Desk Converter,2,20.21,US
ORD-000006,2026/01/07,CUST-1006,Wireless Charger Pad,2,18.63,US
ORD-000007,2026/01/08,CUST-1007,4K Webcam Pro,1,16.45,US
ORD-000008,2026/01/09,CUST-1008,Smart Watch Series 5,1,24.19,US
ORD-000009,2026/01/10,CUST-1009,Wireless Headphones Pro,1,15.58,US
ORD-000010,2026/01/11,CUST-1010,Noise Cancelling Earbuds,1,14.72,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,2,19.65,US
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,2,18.81,US
