order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Monitor Arm Dual,2,64.33,US
ORD-000002,2026/01/03,CUST-1002,Bluetooth Speaker Mini,2,0.0,US
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,1,70.89,US
ORD-000004,2026/01/05,CUST-1004,Monitor Arm Dual,2,0.0,US
ORD-000005,2026/01/06,CUST-1005,Air Purifier Small,2,32.71,US
ORD-000006,2026/01/07,CUST-1006,Smart Watch Series 5,1,41.3,US
ORD-000007,2026/01/08,CUST-1007,Mechanical Keyboard RGB,2,62.65,US
ORD-000008,2026/01/09,CUST-1008,Ergonomic Office Chair,2,96.83,US
ORD-000009,2026/01/10,CUST-1009,External SSD 1TB,2,97.18,US
ORD-000010,2026/01/11,CUST-1010,Ergonomic Office Chair,1,0.0,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,1,77.16,US
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,1,99.99,US
ORD-000013,2026/01/14,CUST-1013,Stainless Steel Water Bottle,2,0.0,US
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,2,0.0,US
ORD-000015,2026/01/16,CUST-1015,Stainless Steel Water Bottle,2,53.03,US
ORD-000016,2026/01/17,CUST-1016,Air Purifier Small,2,53.32,US
ORD-000017,2026/01/18,CUST-1017,Monitor Arm Dual,1,72.89,US
ORD-000018,2026/01/19,CUST-1018,Ergonomic Office Chair,2,57.37,US
ORD-000019,2026/01/20,CUST-1019,Noise Cancelling Earbuds,1,61.25,US
ORD-000020,2026/01/21,CUST-1020,Ergonomic Office Chair,1,58.52,US
ORD-000021,2026/01/22,CUST-1021,4K Webcam Pro,2,84.5,US
ORD-000022,2026/01/23,CUST-1022,Noise Cancelling Earbuds,2,0.0,US
ORD-000023,2026/01/24,CUST-1023,Ergonomic Office Chair,2,53.01,US
ORD-000024,2026/01/25,CUST-1024,External SSD 1TB,1,57.54,US
ORD-000025,2026/01/26,CUST-1025,Stainless Steel Water Bottle,1,0.0,US
ORD-000026,2026/01/27,CUST-1026,Organic Cotton T-Shirt,1,42.53,US
ORD-000027,2026/01/28,CUST-1027,4K Webcam Pro,2,84.94,US
ORD-000028,2026/01/29,CUST-1028,Bluetooth Speaker Mini,2,85.82,US
ORD-000029,2026/01/30,CUST-1029,Bluetooth Speaker Mini,1,74.79,US
ORD-000030,2026/01/31,CUST-1030,Wireless Headphones Pro,2,34.55,US
ORD-000031,2026/02/01,CUST-1031,LED Desk Lamp,1,65.43,US
ORD-000032,2026/02/02,CUST-1032,Wireless Mouse Silent,1,95.64,US
