order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,Bluetooth Speaker Mini,1,38.87
ORD-000002,2026/01/03,CUST-1002,Air Purifier Small,3,89.11
ORD-000003,2026/01/04,CUST-1003,Noise Cancelling Earbuds,2,34.62
ORD-000004,2026/01/05,CUST-1004,Noise Cancelling Earbuds,1,41.77
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,3,86.13
ORD-000006,2026/01/07,CUST-1006,Wireless Headphones Pro,1,97.72
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,2,67.0
ORD-000008,2026/01/09,CUST-1008,Noise Cancelling Earbuds,3,28.34
ORD-000009,2026/01/10,CUST-1009,Noise Cancelling Earbuds,3,39.69
ORD-000010,2026/01/11,CUST-1010,Mechanical Keyboard RGB,3,30.57
ORD-000011,2026/01/12,CUST-1011,Monitor Arm Dual,3,59.94
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,3,50.78
ORD-000013,2026/01/14,CUST-1013,Wireless Mouse Silent,3,43.49
ORD-000014,2026/01/15,CUST-1014,Bluetooth Speaker Mini,3,24.37
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,2,90.74
ORD-000016,2026/01/17,CUST-1016,Running Shoes Elite,3,27.75
ORD-000017,2026/01/18,CUST-1017,Bluetooth Speaker Mini,2,64.36
ORD-000018,2026/01/19,CUST-1018,Stainless Steel Water Bottle,3,99.31
ORD-000019,2026/01/20,CUST-1019,Monitor Arm Dual,2,24.69
ORD-000020,2026/01/21,CUST-1020,Leather Wallet Classic,3,82.98
ORD-000021,2026/01/22,CUST-1021,Air Purifier Small,3,56.5
ORD-000022,2026/01/23,CUST-1022,Bluetooth Speaker Mini,1,62.19
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,2,32.53
ORD-000024,2026/01/25,CUST-1024,Wireless Charger Pad,1,54.09
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,2,91.86
ORD-000026,2026/01/27,CUST-1026,Wireless Mouse Silent,1,30.5
ORD-000027,2026/01/28,CUST-1027,Stainless Steel Water Bottle,1,78.7
ORD-000028,2026/01/29,CUST-1028,Wireless Charger Pad,2,65.77
ORD-000029,2026/01/30,CUST-1029,Wireless Charger Pad,2,39.86
ORD-000030,2026/01/31,CUST-1030,Mechanical Keyboard RGB,3,28.04
ORD-000031,2026/02/01,CUST-1031,Air Purifier Small,3,59.78
ORD-000032,2026/02/02,CUST-1032,Portable Power Bank,1,94.7
ORD-000033,2026/02/03,CUST-1033,Noise Cancelling Earbuds,2,50.67
ORD-000034,2026/02/04,CUST-1034,Portable Power Bank,3,60.53
ORD-000035,2026/02/05,CUST-1035,Bluetooth Speaker Mini,2,49.76
ORD-000036,2026/02/06,CUST-1036,Mechanical Keyboard RGB,3,86.89
ORD-000037,2026/02/07,CUST-1037,External SSD 1TB,2,26.26
ORD-000038,2026/02/08,CUST-1038,Wireless Charger Pad,3,96.0
ORD-000039,2026/02/09,CUST-1039,LED Desk Lamp,2,32.45
