order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Bluetooth Speaker Mini,3,82.88,US
ORD-000002,2026/01/03,CUST-1002,Running Shoes Elite,1,43.19,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,3,46.6,US
ORD-000004,2026/01/05,CUST-1004,Portable Power Bank,3,73.79,US
ORD-000005,2026/01/06,CUST-1005,Monitor Arm Dual,1,26.09,US
ORD-000006,2026/01/07,CUST-1006,Bluetooth Speaker Mini,1,41.63,US
ORD-000007,2026/01/08,CUST-1007,Standing Desk Converter,1,88.66,US
ORD-000008,2026/01/09,CUST-1008,Air Purifier Small,1,20.94,US
ORD-000009,2026/01/10,CUST-1009,Organic Cotton T-Shirt,3,36.04,US
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,3,33.6,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,2,35.97,US
ORD-000012,2026/01/13,CUST-1012,Stainless Steel Water Bottle,2,90.76,US
ORD-000013,2026/01/14,CUST-1013,Smart Watch Series 5,2,99.85,US
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,2,67.5,US
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,1,70.9,US
ORD-000016,2026/01/17,CUST-1016,Yoga Mat Premium,2,95.42,US
ORD-000017,2026/01/18,CUST-1017,Yoga Mat Premium,1,61.31,US
ORD-000018,2026/01/19,CUST-1018,Leather Wallet Classic,2,64.65,US
ORD-000019,2026/01/20,CUST-1019,Portable Power Bank,1,99.45,US
ORD-000020,2026/01/21,CUST-1020,Smart Watch Series 5,2,63.38,US
ORD-000021,2026/01/22,CUST-1021,Leather Wallet Classic,2,23.22,US
ORD-000022,2026/01/23,CUST-1022,LED Desk Lamp,2,39.31,US
ORD-000023,2026/01/24,CUST-1023,Stainless Steel Water Bottle,2,89.79,US
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,2,84.27,US
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,1,78.53,US
ORD-000026,2026/01/27,CUST-1026,Organic Cotton T-Shirt,2,58.08,US
ORD-000027,2026/01/28,CUST-1027,Bluetooth Speaker Mini,3,46.77,US
ORD-000028,2026/01/29,CUST-1028,Standing Desk Converter,3,97.9,US
ORD-000029,2026/01/30,CUST-1029,Mechanical Keyboard RGB,2,43.69,US
ORD-000030,2026/01/31,CUST-1030,Leather Wallet Classic,2,36.17,US
ORD-000031,2026/02/01,CUST-1031,Bluetooth Speaker Mini,2,54.12,US
ORD-000032,2026/02/02,CUST-1032,LED Desk Lamp,3,83.39,US
ORD-000033,2026/02/03,CUST-1033,External SSD 1TB,2,55.41,US
ORD-000034,2026/02/04,CUST-1034,Leather Wallet Classic,1,60.41,US
ORD-000035,2026/02/05,CUST-1035,Air Purifier Small,3,23.84,US
ORD-000036,2026/02/06,CUST-1036,Stainless Steel Water Bottle,1,65.05,US
ORD-000037,2026/02/07,CUST-1037,Noise Cancelling Earbuds,2,26.55,US
ORD-000038,2026/02/08,CUST-1038,Organic Cotton T-Shirt,2,61.38,US
ORD-000039,2026/02/09,CUST-1039,External SSD 1TB,3,25.28,US
ORD-000040,2026/02/10,CUST-1040,Leather Wallet Classic,3,20.16,US
ORD-000041,2026/02/11,CUST-1041,Running Shoes Elite,1,76.28,US
ORD-000042,2026/02/12,CUST-1042,Wireless Headphones Pro,2,56.08,US
ORD-000043,2026/02/13,CUST-1043,Standing Desk Converter,2,74.81,US
ORD-000044,2026/02/14,CUST-1044,4K Webcam Pro,2,70.57,US
ORD-000045,2026/02/15,CUST-1045,Leather Wallet Classic,2,99.64,US
ORD-000046,2026/02/16,CUST-1046,Mechanical Keyboard RGB,1,86.67,US
ORD-000047,2026/02/17,CUST-1047,Air Purifier Small,3,69.17,US
ORD-000048,2026/02/18,CUST-1048,Air Purifier Small,2,53.96,US
ORD-000049,2026/02/19,CUST-1049,Wireless Charger Pad,1,42.55,US
ORD-000050,2026/02/20,CUST-1050,Standing Desk Converter,1,42.73,US
ORD-000051,2026/02/21,CUST-1051,Wireless Charger Pad,3,32.23,US
ORD-000052,2026/02/22,CUST-1052,Noise Cancelling Earbuds,1,49.9,US
ORD-000053,2026/02/23,CUST-1053,Wireless Mouse Silent,2,22.25,US
ORD-000054,2026/02/24,CUST-1054,Standing Desk Converter,3,80.58,US
ORD-000055,2026/02/25,CUST-1055,4K Webcam Pro,3,99.37,US
ORD-000056,2026/02/26,CUST-1056,Wireless Mouse Silent,2,33.27,US
ORD-000057,2026/02/27,CUST-1057,Ergonomic Office Chair,2,69.98,US
ORD-000058,2026/02/28,CUST-1058,4K Webcam Pro,1,92.83,US
ORD-000059,2026/03/01,CUST-1059,Bluetooth Speaker Mini,1,60.77,US
ORD-000060,2026/03/02,CUST-1060,LED Desk Lamp,1,81.29,US
ORD-000061,2026/03/03,CUST-1061,Wireless Headphones Pro,3,35.4,US
ORD-000062,2026/03/04,CUST-1062,Mechanical Keyboard RGB,2,75.83,US
ORD-000063,2026/03/05,CUST-1063,External SSD 1TB,3,75.09,US
ORD-000064,2026/03/06,CUST-1064,Ergonomic Office Chair,3,45.6,US
ORD-000065,2026/03/07,CUST-1065,Wireless Charger Pad,3,70.84,US
ORD-000066,2026/03/08,CUST-1066,Yoga Mat Premium,2,70.66,US
ORD-000067,2026/03/09,CUST-1067,Bluetooth Speaker Mini,3,72.19,US
ORD-000068,2026/03/10,CUST-1068,Wireless Charger Pad,2,27.31,US
ORD-000069,2026/03/11,CUST-1069,Stainless Steel Water Bottle,1,44.48,US
ORD-000070,2026/03/12,CUST-1070,Monitor Arm Dual,3,86.42,US
ORD-000071,2026/03/13,CUST-1071,External SSD 1TB,1,21.74,US
ORD-000072,2026/03/14,CUST-1072,Ergonomic Office Chair,2,42.58,US
ORD-000073,2026/03/15,CUST-1073,Leather Wallet Classic,2,83.86,US
ORD-000074,2026/03/16,CUST-1074,Mechanical Keyboard RGB,1,25.62,US
ORD-000075,2026/03/17,CUST-1075,Smart Watch Series 5,2,59.86,US
ORD-000076,2026/03/18,CUST-1076,Noise Cancelling Earbuds,2,93.13,US
ORD-000077,2026/03/19,CUST-1077,LED Desk Lamp,2,24.89,US
ORD-000078,2026/03/20,CUST-1078,Organic Cotton T-Shirt,1,21.89,US
ORD-000079,2026/03/21,CUST-1079,Running Shoes Elite,2,91.33,US
ORD-000080,2026/03/22,CUST-1080,Noise Cancelling Earbuds,3,94.78,US
ORD-000081,2026/03/23,CUST-1081,Wireless Charger Pad,2,38.11,US
ORD-000082,2026/03/24,CUST-1082,LED Desk Lamp,2,36.72,US
ORD-000083,2026/03/25,CUST-1083,Noise Cancelling Earbuds,2,32.77,US
ORD-000084,2026/03/26,CUST-1084,Air Purifier Small,2,54.09,US
ORD-000085,2026/03/27,CUST-1085,Smart Watch Series 5,2,45.69,US
ORD-000086,2026/03/28,CUST-1086,Wireless Charger Pad,3,47.68,US
ORD-000087,2026/03/29,CUST-1087,Mechanical Keyboard RGB,2,96.6,US
ORD-000088,2026/03/30,CUST-1088,Stainless Steel Water Bottle,3,99.79,US
ORD-000089,2026/03/31,CUST-1089,External SSD 1TB,2,38.16,US
ORD-000090,2026/04/01,CUST-1090,4K Webcam Pro,1,61.8,US
ORD-000091,2026/04/02,CUST-1091,Mechanical Keyboard RGB,2,93.18,US
ORD-000092,2026/04/03,CUST-1092,Air Purifier Small,1,77.83,US
ORD-000093,2026/04/04,CUST-1093,Yoga Mat Premium,1,78.66,US
ORD-000094,2026/04/05,CUST-1094,Stainless Steel Water Bottle,1,82.46,US
ORD-000095,2026/04/06,CUST-1095,Stainless Steel Water Bottle,2,33.81,US
ORD-000096,2026/04/07,CUST-1096,Organic Cotton T-Shirt,1,48.14,US
ORD-000097,2026/04/08,CUST-1097,Wireless Mouse Silent,2,76.07,US
