order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,3,78.02,US
ORD-000002,2026/01/03,CUST-1002,Smart Watch Series 5,1,45.28,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,2,40.75,US
ORD-000004,2026/01/05,CUST-1004,Wireless Charger Pad,1,77.75,US
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,1,72.16,US
ORD-000006,2026/01/07,CUST-1006,Leather Wallet Classic,2,88.62,US
ORD-000007,2026/01/08,CUST-1007,Leather Wallet Classic,1,46.31,US
ORD-000008,2026/01/09,CUST-1008,Leather Wallet Classic,2,34.26,US
ORD-000009,2026/01/10,CUST-1009,Leather Wallet Classic,1,87.76,US
ORD-000010,2026/01/11,CUST-1010,Leather Wallet Classic,2,70.22,US
ORD-000011,2026/01/12,CUST-1011,Leather Wallet Classic,3,65.77,US
ORD-000012,2026/01/13,CUST-1012,4K Webcam Pro,1,53.48,US
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,1,56.74,US
ORD-000014,2026/01/15,CUST-1014,Leather Wallet Classic,2,85.66,US
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,2,27.46,US
ORD-000016,2026/01/17,CUST-1016,Leather Wallet Classic,1,33.75,US
ORD-000017,2026/01/18,CUST-1017,Wireless Headphones Pro,1,42.23,US
ORD-000018,2026/01/19,CUST-1018,Leather Wallet Classic,1,75.95,US
ORD-000019,2026/01/20,CUST-1019,Leather Wallet Classic,2,42.94,US
ORD-000020,2026/01/21,CUST-1020,Leather Wallet Classic,3,32.42,US
ORD-000021,2026/01/22,CUST-1021,Leather Wallet Classic,3,31.89,US
ORD-000022,2026/01/23,CUST-1022,Leather Wallet Classic,2,36.05,US
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,3,46.72,US
ORD-000024,2026/01/25,CUST-1024,Leather Wallet Classic,1,84.1,US
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,1,48.78,US
ORD-000026,2026/01/27,CUST-1026,Leather Wallet Classic,3,66.04,US
ORD-000027,2026/01/28,CUST-1027,Leather Wallet Classic,3,76.2,US
ORD-000028,2026/01/29,CUST-1028,Leather Wallet Classic,3,55.67,US
ORD-000029,2026/01/30,CUST-1029,Leather Wallet Classic,1,63.98,US
ORD-000030,2026/01/31,CUST-1030,Monitor Arm Dual,3,78.27,US
ORD-000031,2026/02/01,CUST-1031,Leather Wallet Classic,2,83.83,US
ORD-000032,2026/02/02,CUST-1032,Leather Wallet Classic,2,44.0,US
ORD-000033,2026/02/03,CUST-1033,Leather Wallet Classic,1,59.04,US
ORD-000034,2026/02/04,CUST-1034,LED Desk Lamp,3,44.41,US
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,3,76.91,US
