order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Portable Power Bank,2,87.94,US
ORD-000002,2026/01/03,CUST-1002,Organic Cotton T-Shirt,1,0.0,US
ORD-000003,2026/01/04,CUST-1003,Monitor Arm Dual,2,94.07,US
ORD-000004,2026/01/05,CUST-1004,Smart Watch Series 5,2,67.38,US
ORD-000005,2026/01/06,CUST-1005,Smart Watch Series 5,1,57.25,US
ORD-000006,2026/01/07,CUST-1006,Stainless Steel Water Bottle,2,0.0,US
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,1,33.77,US
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,2,0.0,US
ORD-000009,2026/01/10,CUST-1009,External SSD 1TB,1,40.18,US
ORD-000010,2026/01/11,CUST-1010,Noise Cancelling Earbuds,1,0.0,US
ORD-000011,2026/01/12,CUST-1011,Bluetooth Speaker Mini,2,56.4,US
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,1,39.4,US
ORD-000013,2026/01/14,CUST-1013,Standing Desk Converter,2,88.27,US
ORD-000014,2026/01/15,CUST-1014,Wireless Charger Pad,2,60.14,US
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,1,0.0,US
ORD-000016,2026/01/17,CUST-1016,4K Webcam Pro,1,99.42,US
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,1,94.96,US
ORD-000018,2026/01/19,CUST-1018,Leather Wallet Classic,1,0.0,US
ORD-000019,2026/01/20,CUST-1019,Wireless Mouse Silent,1,84.42,US
ORD-000020,2026/01/21,CUST-1020,Mechanical Keyboard RGB,2,93.95,US
ORD-000021,2026/01/22,CUST-1021,Mechanical Keyboard RGB,2,97.51,US
ORD-000022,2026/01/23,CUST-1022,Noise Cancelling Earbuds,2,31.1,US
ORD-000023,2026/01/24,CUST-1023,Wireless Charger Pad,2,0.0,US
ORD-000024,2026/01/25,CUST-1024,Stainless Steel Water Bottle,2,0.0,US
ORD-000025,2026/01/26,CUST-1025,Monitor Arm Dual,2,50.18,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,2,49.44,US
ORD-000027,2026/01/28,CUST-1027,Air Purifier Small,2,0.0,US
ORD-000028,2026/01/29,CUST-1028,External SSD 1TB,2,0.0,US
ORD-000029,2026/01/30,CUST-1029,Ergonomic Office Chair,1,31.77,US
ORD-000030,2026/01/31,CUST-1030,Leather Wallet Classic,2,73.02,US
ORD-000031,2026/02/01,CUST-1031,Ergonomic Office Chair,1,54.05,US
ORD-000032,2026/02/02,CUST-1032,Wireless Mouse Silent,2,0.0,US
ORD-000033,2026/02/03,CUST-1033,Noise Cancelling Earbuds,1,0.0,US
ORD-000034,2026/02/04,CUST-1034,Wireless Headphones Pro,1,46.7,US
ORD-000035,2026/02/05,CUST-1035,Air Purifier Small,1,58.43,US
ORD-000036,2026/02/06,CUST-1036,Running Shoes Elite,2,48.29,US
ORD-000037,2026/02/07,CUST-1037,Air Purifier Small,1,55.53,US
ORD-000038,2026/02/08,CUST-1038,Wireless Charger Pad,2,81.81,US
ORD-000039,2026/02/09,CUST-1039,Portable Power Bank,1,0.0,US
ORD-000040,2026/02/10,CUST-1040,Noise Cancelling Earbuds,2,69.69,US
ORD-000041,2026/02/11,CUST-1041,Air Purifier Small,1,53.7,US
ORD-000042,2026/02/12,CUST-1042,External SSD 1TB,2,96.7,US
ORD-000043,2026/02/13,CUST-1043,Smart Watch Series 5,2,0.0,US
ORD-000044,2026/02/14,CUST-1044,4K Webcam Pro,1,49.77,US
ORD-000045,2026/02/15,CUST-1045,LED Desk Lamp,1,67.33,US
ORD-000046,2026/02/16,CUST-1046,Standing Desk Converter,1,0.0,US
ORD-000047,2026/02/17,CUST-1047,Mechanical Keyboard RGB,2,0.0,US
ORD-000048,2026/02/18,CUST-1048,Wireless Mouse Silent,2,95.76,US
ORD-000049,2026/02/19,CUST-1049,Wireless Mouse Silent,2,44.4,US
ORD-000050,2026/02/20,CUST-1050,Mechanical Keyboard RGB,2,86.99,US
ORD-000051,2026/02/21,CUST-1051,External SSD 1TB,2,84.89,US
ORD-000052,2026/02/22,CUST-1052,Leather Wallet Classic,1,0.0,US
ORD-000053,2026/02/23,CUST-1053,Monitor Arm Dual,2,0.0,US
ORD-000054,2026/02/24,CUST-1054,Air Purifier Small,2,56.55,US
ORD-000055,2026/02/25,CUST-1055,Portable Power Bank,1,79.75,US
ORD-000056,2026/02/26,CUST-1056,External SSD 1TB,2,83.27,US
ORD-000057,2026/02/27,CUST-1057,Organic Cotton T-Shirt,2,0.0,US
ORD-000058,2026/02/28,CUST-1058,Smart Watch Series 5,2,93.46,US
ORD-000059,2026/03/01,CUST-1059,Mechanical Keyboard RGB,1,82.64,US
ORD-000060,2026/03/02,CUST-1060,Running Shoes Elite,1,85.89,US
ORD-000061,2026/03/03,CUST-1061,Noise Cancelling Earbuds,2,82.4,US
ORD-000062,2026/03/04,CUST-1062,Stainless Steel Water Bottle,1,0.0,US
