price,quantity,product_name,country,customer_id,date,order_id
81.16,3,LED Desk Lamp,FR,CUST-1001,2026/01/02,ORD-000001
76.42,3,External SSD 1TB,JP,CUST-1002,2026/01/03,ORD-000002
80.51,1,Mechanical Keyboard RGB,CN,CUST-1003,2026/01/04,ORD-000003
42.67,1,External SSD 1TB,UK,CUST-1004,2026/01/05,ORD-000004
51.51,2,Running Shoes Elite,DE,CUST-1005,2026/01/06,ORD-000005
65.21,3,LED Desk Lamp,FR,CUST-1006,2026/01/07,ORD-000006
50.43,3,Stainless Steel Water Bottle,IN,CUST-1007,2026/01/08,ORD-000007
45.5,1,Standing Desk Converter,AU,CUST-1008,2026/01/09,ORD-000008
68.23,3,Ergonomic Office Chair,CA,CUST-1009,2026/01/10,ORD-000009
31.59,2,Organic Cotton T-Shirt,CA,CUST-1010,2026/01/11,ORD-000010
79.06,2,LED Desk Lamp,IN,CUST-1011,2026/01/12,ORD-000011
84.79,3,Wireless Headphones Pro,AU,CUST-1012,2026/01/13,ORD-000012
49.01,3,Organic Cotton T-Shirt,US,CUST-1013,2026/01/14,ORD-000013
76.92,1,Standing Desk Converter,JP,CUST-1014,2026/01/15,ORD-000014
50.6,2,Wireless Headphones Pro,CA,CUST-1015,2026/01/16,ORD-000015
27.57,1,Wireless Charger Pad,FR,CUST-1016,2026/01/17,ORD-000016
98.59,3,Wireless Headphones Pro,BR,CUST-1017,2026/01/18,ORD-000017
46.29,2,Air Purifier Small,IN,CUST-1018,2026/01/19,ORD-000018
86.42,2,Monitor Arm Dual,FR,CUST-1019,2026/01/20,ORD-000019
93.19,3,4K Webcam Pro,BR,CUST-1020,2026/01/21,ORD-000020
50.33,1,External SSD 1TB,BR,CUST-1021,2026/01/22,ORD-000021
95.73,3,4K Webcam Pro,AU,CUST-1022,2026/01/23,ORD-000022
72.99,2,Wireless Charger Pad,CA,CUST-1023,2026/01/24,ORD-000023
87.47,3,Yoga Mat Premium,UK,CUST-1024,2026/01/25,ORD-000024
90.62,1,Stainless Steel Water Bottle,BR,CUST-1025,2026/01/26,ORD-000025
21.91,1,Monitor Arm Dual,AU,CUST-1026,2026/01/27,ORD-000026
69.45,2,Yoga Mat Premium,CN,CUST-1027,2026/01/28,ORD-000027
61.73,2,Monitor Arm Dual,UK,CUST-1028,2026/01/29,ORD-000028
63.91,3,Wireless Mouse Silent,UK,CUST-1029,2026/01/30,ORD-000029
82.73,1,External SSD 1TB,CA,CUST-1030,2026/01/31,ORD-000030
43.82,2,Organic Cotton T-Shirt,US,CUST-1031,2026/02/01,ORD-000031
25.57,3,Wireless Mouse Silent,CA,CUST-1032,2026/02/02,ORD-000032
72.75,3,4K Webcam Pro,CA,CUST-1033,2026/02/03,ORD-000033
85.83,2,Ergonomic Office Chair,FR,CUST-1034,2026/02/04,ORD-000034
68.62,1,Smart Watch Series 5,CA,CUST-1035,2026/02/05,ORD-000035
27.51,3,Bluetooth Speaker Mini,CN,CUST-1036,2026/02/06,ORD-000036
77.06,2,Stainless Steel Water Bottle,CA,CUST-1037,2026/02/07,ORD-000037
46.02,2,External SSD 1TB,UK,CUST-1038,2026/02/08,ORD-000038
44.91,2,Ergonomic Office Chair,CN,CUST-1039,2026/02/09,ORD-000039
98.98,1,Wireless Headphones Pro,IN,CUST-1040,2026/02/10,ORD-000040
39.22,3,Smart Watch Series 5,BR,CUST-1041,2026/02/11,ORD-000041
52.85,3,Yoga Mat Premium,US,CUST-1042,2026/02/12,ORD-000042
78.04,3,Wireless Headphones Pro,US,CUST-1043,2026/02/13,ORD-000043
51.13,2,Wireless Headphones Pro,CN,CUST-1044,2026/02/14,ORD-000044
73.66,2,Wireless Mouse Silent,IN,CUST-1045,2026/02/15,ORD-000045
80.72,1,Organic Cotton T-Shirt,US,CUST-1046,2026/02/16,ORD-000046
27.33,2,Portable Power Bank,US,CUST-1047,2026/02/17,ORD-000047
35.55,1,Mechanical Keyboard RGB,CA,CUST-1048,2026/02/18,ORD-000048
60.2,3,Mechanical Keyboard RGB,IN,CUST-1049,2026/02/19,ORD-000049
23.55,3,Monitor Arm Dual,AU,CUST-1050,2026/02/20,ORD-000050
85.21,1,Stainless Steel Water Bottle,AU,CUST-1051,2026/02/21,ORD-000051
76.72,1,4K Webcam Pro,DE,CUST-1052,2026/02/22,ORD-000052
96.9,3,Air Purifier Small,UK,CUST-1053,2026/02/23,ORD-000053
76.12,1,Leather Wallet Classic,BR,CUST-1054,2026/02/24,ORD-000054
22.01,2,Bluetooth Speaker Mini,US,CUST-1055,2026/02/25,ORD-000055
84.05,1,LED Desk Lamp,AU,CUST-1056,2026/02/26,ORD-000056
