order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Stainless Steel Water Bottle,3,24.32,US
ORD-000002,2026/01/03,CUST-1002,Monitor Arm Dual,2,72.46,US
ORD-000003,2026/01/04,CUST-1003,Stainless Steel Water Bottle,2,70.53,US
ORD-000004,2026/01/05,CUST-1004,Mechanical Keyboard RGB,3,61.72,US
ORD-000005,2026/01/06,CUST-1005,Noise Cancelling Earbuds,3,60.56,US
ORD-000006,2026/01/07,CUST-1006,Leather Wallet Classic,1,72.76,US
ORD-000007,2026/01/08,CUST-1007,Bluetooth Speaker Mini,3,74.75,US
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,3,56.61,US
ORD-000009,2026/01/10,CUST-1009,Standing Desk Converter,1,50.48,US
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,2,23.13,US
ORD-000011,2026/01/12,CUST-1011,Leather Wallet Classic,2,28.89,US
ORD-000012,2026/01/13,CUST-1012,Smart Watch Series 5,1,49.24,US
ORD-000013,2026/01/14,CUST-1013,Bluetooth Speaker Mini,2,66.38,US
ORD-000014,2026/01/15,CUST-1014,Running Shoes Elite,2,86.67,US
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,1,79.05,US
ORD-000016,2026/01/17,CUST-1016,Wireless Charger Pad,3,97.72,US
ORD-000017,2026/01/18,CUST-1017,Portable Power Bank,2,32.23,US
ORD-000018,2026/01/19,CUST-1018,Air Purifier Small,2,46.99,US
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,2,45.95,US
ORD-000020,2026/01/21,CUST-1020,Wireless Mouse Silent,3,74.42,US
ORD-000021,2026/01/22,CUST-1021,Bluetooth Speaker Mini,2,65.61,US
ORD-000022,2026/01/23,CUST-1022,Organic Cotton T-Shirt,3,26.36,US
ORD-000023,2026/01/24,CUST-1023,Air Purifier Small,2,68.08,US
ORD-000024,2026/01/25,CUST-1024,Portable Power Bank,2,90.17,US
ORD-000025,2026/01/26,CUST-1025,Yoga Mat Premium,3,84.89,US
ORD-000026,2026/01/27,CUST-1026,Noise Cancelling Earbuds,2,72.65,US
ORD-000027,2026/01/28,CUST-1027,Noise Cancelling Earbuds,2,20.33,US
ORD-000028,2026/01/29,CUST-1028,Noise Cancelling Earbuds,3,94.96,US
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,2,55.74,US
ORD-000030,2026/01/31,CUST-1030,Leather Wallet Classic,1,73.62,US
ORD-000031,2026/02/01,CUST-1031,Wireless Mouse Silent,2,30.31,US
ORD-000032,2026/02/02,CUST-1032,Mechanical Keyboard RGB,2,76.97,US
ORD-000033,2026/02/03,CUST-1033,Noise Cancelling Earbuds,1,46.63,US
ORD-000034,2026/02/04,CUST-1034,Bluetooth Speaker Mini,2,62.66,US
ORD-000035,2026/02/05,CUST-1035,Mechanical Keyboard RGB,3,72.62,US
ORD-000036,2026/02/06,CUST-1036,Monitor Arm Dual,1,54.57,US
