order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Standing Desk Converter,1,35.93,US
ORD-000002,2026/01/03,CUST-1002,LED Desk Lamp,1,11.87,US
ORD-000003,2026/01/04,CUST-1003,Monitor Arm Dual,2,19.09,US
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,2,38.55,US
ORD-000005,2026/01/06,CUST-1005,Organic Cotton T-Shirt,1,33.07,US
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,2,13.34,US
ORD-000007,2026/01/08,CUST-1007,Noise Cancelling Earbuds,1,36.06,US
ORD-000008,2026/01/09,CUST-1008,Portable Power Bank,2,35.21,US
ORD-000009,2026/01/10,CUST-1009,Bluetooth Speaker Mini,1,17.38,US
ORD-000010,2026/01/11,CUST-1010,LED Desk Lamp,1,24.19,US
ORD-000011,2026/01/12,CUST-1011,Running Shoes Elite,2,19.54,US
ORD-000012,2026/01/13,CUST-1012,Standing Desk Converter,1,10.91,US
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,2,20.7,US
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,1,35.28,US
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,2,28.35,US
ORD-000016,2026/01/17,CUST-1016,Standing Desk Converter,2,17.72,US
ORD-000017,2026/01/18,CUST-1017,LED Desk Lamp,1,20.06,US
ORD-000018,2026/01/19,CUST-1018,Portable Power Bank,2,24.84,US
ORD-000019,2026/01/20,CUST-1019,Air Purifier Small,1,20.01,US
ORD-000020,2026/01/21,CUST-1020,Running Shoes Elite,2,27.53,US
