order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,Yoga Mat Premium,2,32.98
ORD-000002,2026/01/03,CUST-1002,Standing Desk Converter,3,47.79
ORD-000003,2026/01/04,CUST-1003,Mechanical Keyboard RGB,2,36.18
ORD-000004,2026/01/05,CUST-1004,Stainless Steel Water Bottle,2,35.86
ORD-000005,2026/01/06,CUST-1005,Stainless Steel Water Bottle,1,44.31
ORD-000006,2026/01/07,CUST-1006,4K Webcam Pro,3,47.71
ORD-000007,2026/01/08,CUST-1007,Stainless Steel Water Bottle,2,35.99
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,3,31.63
ORD-000009,2026/01/10,CUST-1009,Wireless Mouse Silent,2,67.03
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,3,36.01
ORD-000011,2026/01/12,CUST-1011,Wireless Mouse Silent,2,60.27
ORD-000012,2026/01/13,CUST-1012,Organic Cotton T-Shirt,3,99.75
ORD-000013,2026/01/14,CUST-1013,Yoga Mat Premium,2,21.19
ORD-000014,2026/01/15,CUST-1014,Bluetooth Speaker Mini,2,76.71
ORD-000015,2026/01/16,CUST-1015,Running Shoes Elite,2,23.97
ORD-000016,2026/01/17,CUST-1016,Stainless Steel Water Bottle,2,73.05
ORD-000017,2026/01/18,CUST-1017,Wireless Headphones Pro,1,20.1
ORD-000018,2026/01/19,CUST-1018,Monitor Arm Dual,1,99.9
ORD-000019,2026/01/20,CUST-1019,Smart Watch Series 5,2,22.88
ORD-000020,2026/01/21,CUST-1020,Bluetooth Speaker Mini,1,49.56
ORD-000021,2026/01/22,CUST-1021,Standing Desk Converter,3,72.86
ORD-000022,2026/01/23,CUST-1022,Portable Power Bank,3,47.16
ORD-000023,2026/01/24,CUST-1023,Mechanical Keyboard RGB,3,77.23
ORD-000024,2026/01/25,CUST-1024,Bluetooth Speaker Mini,2,70.33
ORD-000025,2026/01/26,CUST-1025,Standing Desk Converter,3,50.1
ORD-000026,2026/01/27,CUST-1026,Bluetooth Speaker Mini,1,52.41
ORD-000027,2026/01/28,CUST-1027,Standing Desk Converter,3,22.12
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,2,58.26
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,2,77.31
ORD-000030,2026/01/31,CUST-1030,Leather Wallet Classic,3,86.77
ORD-000031,2026/02/01,CUST-1031,Wireless Headphones Pro,1,64.99
ORD-000032,2026/02/02,CUST-1032,Yoga Mat Premium,2,73.45
ORD-000033,2026/02/03,CUST-1033,Organic Cotton T-Shirt,3,87.54
ORD-000034,2026/02/04,CUST-1034,Running Shoes Elite,3,56.41
ORD-000035,2026/02/05,CUST-1035,Wireless Headphones Pro,2,64.43
