order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/06/16,CUST-1001,Running Shoes Elite,1,65.86,US
ORD-000002,2026/06/17,CUST-1002,Stainless Steel Water Bottle,2,26.27,US
ORD-000003,2026/06/18,CUST-1003,Leather Wallet Classic,1,33.49,US
ORD-000004,2026/06/19,CUST-1004,Standing Desk Converter,2,92.4,US
ORD-000005,2026/06/20,CUST-1005,Leather Wallet Classic,3,21.18,US
ORD-000006,2026/06/21,CUST-1006,Smart Watch Series 5,1,74.6,US
ORD-000007,2026/06/22,CUST-1007,Yoga Mat Premium,1,95.99,US
ORD-000008,2026/06/23,CUST-1008,Stainless Steel Water Bottle,2,92.18,US
ORD-000009,2026/06/24,CUST-1009,Portable Power Bank,3,90.06,US
ORD-000010,2026/06/25,CUST-1010,Organic Cotton T-Shirt,2,20.54,US
ORD-000011,2026/06/26,CUST-1011,External SSD 1TB,1,32.9,US
ORD-000012,2026/06/27,CUST-1012,Standing Desk Converter,1,94.22,US
ORD-000013,2026/06/28,CUST-1013,External SSD 1TB,2,69.26,US
ORD-000014,2026/06/29,CUST-1014,Running Shoes Elite,1,66.98,US
