order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,1,25.24,US
ORD-000002,2026/01/03,CUST-1002,Monitor Arm Dual,1,28.53,US
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,2,21.48,US
ORD-000004,2026/01/05,CUST-1004,LED Desk Lamp,2,18.33,US
ORD-000005,2026/01/06,CUST-1005,Smart Watch Series 5,1,38.19,US
ORD-000006,2026/01/07,CUST-1006,Wireless Charger Pad,1,29.78,US
ORD-000007,2026/01/08,CUST-1007,Smart Watch Series 5,2,12.52,US
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,1,12.43,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,2,12.79,US
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,2,27.08,US
ORD-000011,2026/01/12,CUST-1011,Smart Watch Series 5,1,22.61,US
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,2,21.97,US
ORD-000013,2026/01/14,CUST-1013,Organic Cotton T-Shirt,2,17.38,US
