order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/06/16,CUST-1001,Mechanical Keyboard RGB,3,36.15,US
ORD-000002,2026/06/17,CUST-1002,Air Purifier Small,2,46.95,US
ORD-000003,2026/06/18,CUST-1003,Ergonomic Office Chair,2,38.99,US
ORD-000004,2026/06/19,CUST-1004,Portable Power Bank,3,24.67,US
ORD-000005,2026/06/20,CUST-1005,Yoga Mat Premium,2,99.27,US
ORD-000006,2026/06/21,CUST-1006,Smart Watch Series 5,1,55.58,US
ORD-000007,2026/06/22,CUST-1007,Smart Watch Series 5,3,74.19,US
ORD-000008,2026/06/23,CUST-1008,LED Desk Lamp,3,46.91,US
ORD-000009,2026/06/24,CUST-1009,Stainless Steel Water Bottle,3,96.42,US
ORD-000010,2026/06/25,CUST-1010,Smart Watch Series 5,1,70.05,US
ORD-000011,2026/06/26,CUST-1011,Wireless Charger Pad,2,89.5,US
