order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Noise Cancelling Earbuds,1,59.66,US
ORD-000002,2026/01/03,CUST-1002,Stainless Steel Water Bottle,2,61.52,US
ORD-000003,2026/01/04,CUST-1003,Running Shoes Elite,2,31.74,US
ORD-000004,2026/01/05,CUST-1004,Stainless Steel Water Bottle,1,85.97,US
ORD-000005,2026/01/06,CUST-1005,Stainless Steel Water Bottle,2,67.71,US
ORD-000006,2026/01/07,CUST-1006,Yoga Mat Premium,3,22.57,US
ORD-000007,2026/01/08,CUST-1007,Yoga Mat Premium,1,87.74,US
ORD-000008,2026/01/09,CUST-1008,LED Desk Lamp,2,89.9,US
ORD-000009,2026/01/10,CUST-1009,Smart Watch Series 5,3,36.81,US
ORD-000010,2026/01/11,CUST-1010,Bluetooth Speaker Mini,1,27.86,US
ORD-000011,2026/01/12,CUST-1011,Leather Wallet Classic,1,31.79,US
ORD-000012,2026/01/13,CUST-1012,Wireless Charger Pad,1,54.25,US
ORD-000013,2026/01/14,CUST-1013,Running Shoes Elite,2,51.49,US
ORD-000014,2026/01/15,CUST-1014,Wireless Mouse Silent,3,55.34,US
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,2,43.08,US
ORD-000016,2026/01/17,CUST-1016,Noise Cancelling Earbuds,1,89.06,US
ORD-000017,2026/01/18,CUST-1017,Portable Power Bank,2,49.14,US
ORD-000018,2026/01/19,CUST-1018,Monitor Arm Dual,2,43.05,US
ORD-000019,2026/01/20,CUST-1019,Yoga Mat Premium,3,89.28,US
ORD-000020,2026/01/21,CUST-1020,LED Desk Lamp,2,50.8,US
ORD-000021,2026/01/22,CUST-1021,Bluetooth Speaker Mini,2,38.8,US
ORD-000022,2026/01/23,CUST-1022,Mechanical Keyboard RGB,2,37.16,US
ORD-000023,2026/01/24,CUST-1023,4K Webcam Pro,3,85.27,US
ORD-000024,2026/01/25,CUST-1024,LED Desk Lamp,3,81.89,US
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,2,80.04,US
ORD-000026,2026/01/27,CUST-1026,Monitor Arm Dual,1,84.93,US
ORD-000027,2026/01/28,CUST-1027,Smart Watch Series 5,3,91.98,US
ORD-000028,2026/01/29,CUST-1028,Noise Cancelling Earbuds,2,92.95,US
ORD-000029,2026/01/30,CUST-1029,Wireless Mouse Silent,2,23.94,US
ORD-000030,2026/01/31,CUST-1030,Mechanical Keyboard RGB,3,66.5,US
ORD-000031,2026/02/01,CUST-1031,Bluetooth Speaker Mini,2,27.15,US
ORD-000032,2026/02/02,CUST-1032,Yoga Mat Premium,2,49.21,US
ORD-000033,2026/02/03,CUST-1033,Wireless Mouse Silent,3,79.29,US
ORD-000034,2026/02/04,CUST-1034,Wireless Mouse Silent,1,85.21,US
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,2,28.02,US
ORD-000036,2026/02/06,CUST-1036,Mechanical Keyboard RGB,2,77.16,US
ORD-000037,2026/02/07,CUST-1037,Wireless Mouse Silent,1,90.86,US
ORD-000038,2026/02/08,CUST-1038,Wireless Headphones Pro,1,53.37,US
ORD-000039,2026/02/09,CUST-1039,LED Desk Lamp,1,70.36,US
ORD-000040,2026/02/10,CUST-1040,Portable Power Bank,1,28.08,US
ORD-000041,2026/02/11,CUST-1041,Air Purifier Small,2,33.19,US
ORD-000042,2026/02/12,CUST-1042,4K Webcam Pro,3,81.68,US
ORD-000043,2026/02/13,CUST-1043,4K Webcam Pro,3,53.63,US
ORD-000044,2026/02/14,CUST-1044,Mechanical Keyboard RGB,3,63.55,US
ORD-000045,2026/02/15,CUST-1045,External SSD 1TB,1,80.43,US
ORD-000046,2026/02/16,CUST-1046,Smart Watch Series 5,3,50.68,US
ORD-000047,2026/02/17,CUST-1047,Monitor Arm Dual,3,54.14,US
ORD-000048,2026/02/18,CUST-1048,Mechanical Keyboard RGB,3,62.92,US
ORD-000049,2026/02/19,CUST-1049,Running Shoes Elite,1,94.57,US
ORD-000050,2026/02/20,CUST-1050,Yoga Mat Premium,1,21.42,US
ORD-000051,2026/02/21,CUST-1051,Running Shoes Elite,2,26.14,US
ORD-000052,2026/02/22,CUST-1052,Noise Cancelling Earbuds,3,46.71,US
ORD-000053,2026/02/23,CUST-1053,Air Purifier Small,1,74.93,US
ORD-000054,2026/02/24,CUST-1054,4K Webcam Pro,3,99.22,US
ORD-000055,2026/02/25,CUST-1055,Wireless Headphones Pro,2,61.6,US
ORD-000056,2026/02/26,CUST-1056,LED Desk Lamp,1,85.61,US
ORD-000057,2026/02/27,CUST-1057,Ergonomic Office Chair,3,26.6,US
ORD-000058,2026/02/28,CUST-1058,4K Webcam Pro,2,85.2,US
ORD-000059,2026/03/01,CUST-1059,Running Shoes Elite,2,96.94,US
ORD-000060,2026/03/02,CUST-1060,Smart Watch Series 5,1,52.48,US
ORD-000061,2026/03/03,CUST-1061,Wireless Mouse Silent,3,72.53,US
ORD-000062,2026/03/04,CUST-1062,Monitor Arm Dual,1,30.83,US
ORD-000063,2026/03/05,CUST-1063,Monitor Arm Dual,1,68.14,US
ORD-000064,2026/03/06,CUST-1064,Wireless Charger Pad,3,38.82,US
ORD-000065,2026/03/07,CUST-1065,Portable Power Bank,3,41.04,US
ORD-000066,2026/03/08,CUST-1066,External SSD 1TB,1,81.57,US
ORD-000067,2026/03/09,CUST-1067,Noise Cancelling Earbuds,2,52.53,US
ORD-000068,2026/03/10,CUST-1068,Monitor Arm Dual,1,67.45,US
ORD-000069,2026/03/11,CUST-1069,Standing Desk Converter,2,84.81,US
ORD-000070,2026/03/12,CUST-1070,Wireless Headphones Pro,3,86.58,US
ORD-000071,2026/03/13,CUST-1071,Portable Power Bank,2,77.34,US
ORD-000072,2026/03/14,CUST-1072,Organic Cotton T-Shirt,1,33.66,US
ORD-000073,2026/03/15,CUST-1073,Bluetooth Speaker Mini,3,22.75,US
ORD-000074,2026/03/16,CUST-1074,Smart Watch Series 5,2,60.43,US
ORD-000075,2026/03/17,CUST-1075,Standing Desk Converter,2,52.94,US
ORD-000076,2026/03/18,CUST-1076,Ergonomic Office Chair,2,26.01,US
ORD-000077,2026/03/19,CUST-1077,Mechanical Keyboard RGB,3,51.02,US
ORD-000078,2026/03/20,CUST-1078,Smart Watch Series 5,1,93.99,US
