order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Wireless Headphones Pro,2,152.43,US
ORD-000002,2026/01/03,CUST-1002,Wireless Charger Pad,1,155.99,US
ORD-000003,2026/01/04,CUST-1003,Yoga Mat Premium,2,111.37,US
ORD-000004,2026/01/05,CUST-1004,Air Purifier Small,1,140.42,US
ORD-000005,2026/01/06,CUST-1005,External SSD 1TB,1,160.11,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,1,174.16,US
ORD-000007,2026/01/08,CUST-1007,Yoga Mat Premium,2,107.38,US
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,1,182.81,US
ORD-000009,2026/01/10,CUST-1009,Yoga Mat Premium,2,97.11,US
ORD-000010,2026/01/11,CUST-1010,Running Shoes Elite,1,153.05,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,2,122.88,US
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,2,110.05,US
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,1,156.62,US
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,2,120.25,US
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,2,111.36,US
ORD-000016,2026/01/17,CUST-1016,Leather Wallet Classic,1,170.69,US
ORD-000017,2026/01/18,CUST-1017,Air Purifier Small,2,124.85,US
ORD-000018,2026/01/19,CUST-1018,Air Purifier Small,2,126.97,US
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,2,96.17,US
ORD-000020,2026/01/21,CUST-1020,Portable Power Bank,2,114.8,US
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,1,110.98,US
ORD-000022,2026/01/23,CUST-1022,Mechanical Keyboard RGB,2,154.48,US
ORD-000023,2026/01/24,CUST-1023,4K Webcam Pro,2,119.37,US
ORD-000024,2026/01/25,CUST-1024,Standing Desk Converter,1,162.25,US
ORD-000025,2026/01/26,CUST-1025,Standing Desk Converter,1,112.33,US
ORD-000026,2026/01/27,CUST-1026,Organic Cotton T-Shirt,1,112.89,US
ORD-000027,2026/01/28,CUST-1027,Bluetooth Speaker Mini,2,82.86,US
ORD-000028,2026/01/29,CUST-1028,Stainless Steel Water Bottle,1,128.92,US
ORD-000029,2026/01/30,CUST-1029,Monitor Arm Dual,2,99.64,US
ORD-000030,2026/01/31,CUST-1030,Wireless Charger Pad,1,98.78,US
ORD-000031,2026/02/01,CUST-1031,Organic Cotton T-Shirt,2,137.27,US
ORD-000032,2026/02/02,CUST-1032,Organic Cotton T-Shirt,1,89.11,US
ORD-000033,2026/02/03,CUST-1033,LED Desk Lamp,1,94.98,US
ORD-000034,2026/02/04,CUST-1034,Leather Wallet Classic,1,137.77,US
ORD-000035,2026/02/05,CUST-1035,Bluetooth Speaker Mini,2,133.22,US
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,1,99.46,US
ORD-000037,2026/02/07,CUST-1037,Smart Watch Series 5,2,137.4,US
ORD-000038,2026/02/08,CUST-1038,Wireless Charger Pad,2,141.81,US
ORD-000039,2026/02/09,CUST-1039,Running Shoes Elite,2,129.36,US
ORD-000040,2026/02/10,CUST-1040,LED Desk Lamp,1,96.37,US
ORD-000041,2026/02/11,CUST-1041,Running Shoes Elite,2,123.65,US
ORD-000042,2026/02/12,CUST-1042,Wireless Mouse Silent,2,116.17,US
ORD-000043,2026/02/13,CUST-1043,Air Purifier Small,2,105.13,US
ORD-000044,2026/02/14,CUST-1044,Air Purifier Small,2,126.44,US
ORD-000045,2026/02/15,CUST-1045,Wireless Mouse Silent,1,72.32,US
ORD-000046,2026/02/16,CUST-1046,Standing Desk Converter,1,129.58,US
ORD-000047,2026/02/17,CUST-1047,Noise Cancelling Earbuds,2,130.83,US
ORD-000048,2026/02/18,CUST-1048,Noise Cancelling Earbuds,1,116.27,US
ORD-000049,2026/02/19,CUST-1049,Noise Cancelling Earbuds,2,71.0,US
