order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,5,242.41,CA
ORD-000002,2026/01/03,CUST-1002,Standing Desk Converter,3,94.39,UK
ORD-000003,2026/01/04,CUST-1003,Stainless Steel Water Bottle,2,209.46,JP
ORD-000004,2026/01/05,CUST-1004,Leather Wallet Classic,5,75.94,CA
ORD-000005,2026/01/06,CUST-1005,4K Webcam Pro,1,249.34,FR
ORD-000006,2026/01/07,CUST-1006,Wireless Headphones Pro,2,191.27,US
ORD-000007,2026/01/08,CUST-1007,4K Webcam Pro,1,261.79,DE
ORD-000008,2026/01/09,CUST-1008,Standing Desk Converter,1,127.12,AU
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,3,67.04,IN
ORD-000010,2026/01/11,CUST-1010,Mechanical Keyboard RGB,2,33.38,BR
ORD-000011,2026/01/12,CUST-1011,Ergonomic Office Chair,4,39.73,JP
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,1,195.63,US
ORD-000013,2026/01/14,CUST-1013,Organic Cotton T-Shirt,5,287.31,DE
ORD-000014,2026/01/15,CUST-1014,LED Desk Lamp,5,211.31,DE
ORD-000015,2026/01/16,CUST-1015,Portable Power Bank,5,116.62,DE
ORD-000016,2026/01/17,CUST-1016,Organic Cotton T-Shirt,4,45.28,BR
ORD-000017,2026/01/18,CUST-1017,Smart Watch Series 5,4,162.23,DE
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,5,34.83,FR
ORD-000019,2026/01/20,CUST-1019,Monitor Arm Dual,1,290.3,CA
ORD-000020,2026/01/21,CUST-1020,Organic Cotton T-Shirt,2,64.31,DE
ORD-000021,2026/01/22,CUST-1021,Noise Cancelling Earbuds,1,115.31,US
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,2,113.84,US
ORD-000023,2026/01/24,CUST-1023,Wireless Headphones Pro,4,80.94,AU
ORD-000024,2026/01/25,CUST-1024,4K Webcam Pro,2,119.65,JP
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,5,134.81,CN
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,3,85.65,JP
ORD-000027,2026/01/28,CUST-1027,Wireless Charger Pad,2,245.38,IN
ORD-000028,2026/01/29,CUST-1028,Wireless Mouse Silent,5,119.93,CA
ORD-000029,2026/01/30,CUST-1029,Leather Wallet Classic,5,117.62,AU
ORD-000030,2026/01/31,CUST-1030,Smart Watch Series 5,3,207.67,AU
ORD-000031,2026/02/01,CUST-1031,Organic Cotton T-Shirt,3,170.34,JP
ORD-000032,2026/02/02,CUST-1032,Portable Power Bank,4,61.4,IN
ORD-000033,2026/02/03,CUST-1033,Mechanical Keyboard RGB,2,132.28,DE
ORD-000034,2026/02/04,CUST-1034,Air Purifier Small,5,291.79,DE
ORD-000035,2026/02/05,CUST-1035,Smart Watch Series 5,1,121.99,UK
ORD-000036,2026/02/06,CUST-1036,4K Webcam Pro,1,254.04,BR
ORD-000037,2026/02/07,CUST-1037,Bluetooth Speaker Mini,3,294.9,CN
ORD-000038,2026/02/08,CUST-1038,Organic Cotton T-Shirt,3,56.75,DE
ORD-000039,2026/02/09,CUST-1039,Wireless Mouse Silent,2,39.35,IN
ORD-000040,2026/02/10,CUST-1040,Yoga Mat Premium,4,39.37,AU
ORD-000041,2026/02/11,CUST-1041,Leather Wallet Classic,4,290.19,BR
ORD-000042,2026/02/12,CUST-1042,Stainless Steel Water Bottle,5,286.14,AU
ORD-000043,2026/02/13,CUST-1043,Portable Power Bank,5,79.64,JP
ORD-000044,2026/02/14,CUST-1044,Monitor Arm Dual,2,269.96,BR
ORD-000045,2026/02/15,CUST-1045,Wireless Charger Pad,2,221.24,IN
ORD-000046,2026/02/16,CUST-1046,Organic Cotton T-Shirt,3,193.16,US
ORD-000047,2026/02/17,CUST-1047,Leather Wallet Classic,4,78.74,FR
ORD-000048,2026/02/18,CUST-1048,4K Webcam Pro,1,174.03,AU
ORD-000049,2026/02/19,CUST-1049,Leather Wallet Classic,5,190.52,US
ORD-000050,2026/02/20,CUST-1050,4K Webcam Pro,4,116.12,UK
ORD-000051,2026/02/21,CUST-1051,Mechanical Keyboard RGB,2,57.7,FR
ORD-000052,2026/02/22,CUST-1052,Air Purifier Small,5,224.4,CN
ORD-000053,2026/02/23,CUST-1053,Wireless Headphones Pro,3,179.82,CN
ORD-000054,2026/02/24,CUST-1054,Standing Desk Converter,4,40.85,US
ORD-000055,2026/02/25,CUST-1055,4K Webcam Pro,1,98.83,AU
ORD-000056,2026/02/26,CUST-1056,Air Purifier Small,3,71.87,BR
ORD-000057,2026/02/27,CUST-1057,LED Desk Lamp,2,73.9,IN
ORD-000058,2026/02/28,CUST-1058,Wireless Charger Pad,1,221.69,UK
ORD-000059,2026/03/01,CUST-1059,External SSD 1TB,2,38.75,IN
ORD-000060,2026/03/02,CUST-1060,Wireless Mouse Silent,5,71.53,BR
ORD-000061,2026/03/03,CUST-1061,Running Shoes Elite,2,50.28,CN
ORD-000062,2026/03/04,CUST-1062,Wireless Headphones Pro,2,258.71,UK
ORD-000063,2026/03/05,CUST-1063,Running Shoes Elite,1,51.45,BR
ORD-000064,2026/03/06,CUST-1064,Wireless Charger Pad,2,104.97,CA
ORD-000065,2026/03/07,CUST-1065,Monitor Arm Dual,5,97.42,JP
ORD-000066,2026/03/08,CUST-1066,Wireless Headphones Pro,2,158.79,CN
ORD-000067,2026/03/09,CUST-1067,Smart Watch Series 5,5,190.37,CA
ORD-000068,2026/03/10,CUST-1068,Ergonomic Office Chair,2,129.28,BR
ORD-000069,2026/03/11,CUST-1069,Portable Power Bank,3,274.33,BR
ORD-000070,2026/03/12,CUST-1070,Wireless Mouse Silent,5,249.52,FR
ORD-000071,2026/03/13,CUST-1071,Leather Wallet Classic,4,77.78,DE
ORD-000072,2026/03/14,CUST-1072,Standing Desk Converter,3,260.08,BR
ORD-000073,2026/03/15,CUST-1073,Wireless Charger Pad,5,115.29,FR
ORD-000074,2026/03/16,CUST-1074,Wireless Headphones Pro,3,66.77,CA
ORD-000075,2026/03/17,CUST-1075,External SSD 1TB,2,133.34,AU
ORD-000076,2026/03/18,CUST-1076,Leather Wallet Classic,1,241.25,FR
ORD-000077,2026/03/19,CUST-1077,Wireless Mouse Silent,1,277.05,CA
ORD-000078,2026/03/20,CUST-1078,Wireless Headphones Pro,4,111.88,UK
ORD-000079,2026/03/21,CUST-1079,Ergonomic Office Chair,5,281.19,BR
ORD-000080,2026/03/22,CUST-1080,Smart Watch Series 5,5,263.11,IN
ORD-000081,2026/03/23,CUST-1081,4K Webcam Pro,4,65.17,DE
ORD-000082,2026/03/24,CUST-1082,Yoga Mat Premium,3,50.99,AU
ORD-000083,2026/03/25,CUST-1083,Wireless Headphones Pro,2,38.8,BR
ORD-000084,2026/03/26,CUST-1084,Noise Cancelling Earbuds,1,220.71,BR
ORD-000085,2026/03/27,CUST-1085,External SSD 1TB,4,158.74,BR
ORD-000086,2026/03/28,CUST-1086,Monitor Arm Dual,1,125.08,AU
ORD-000087,2026/03/29,CUST-1087,Air Purifier Small,4,126.71,JP
ORD-000088,2026/03/30,CUST-1088,Stainless Steel Water Bottle,3,264.62,AU
ORD-000089,2026/03/31,CUST-1089,Standing Desk Converter,5,51.72,BR
ORD-000090,2026/04/01,CUST-1090,Yoga Mat Premium,3,86.75,BR
ORD-000091,2026/04/02,CUST-1091,External SSD 1TB,2,253.41,JP
ORD-000092,2026/04/03,CUST-1092,Bluetooth Speaker Mini,1,111.26,BR
ORD-000093,2026/04/04,CUST-1093,Leather Wallet Classic,3,59.17,UK
ORD-000094,2026/04/05,CUST-1094,Wireless Headphones Pro,2,79.75,US
ORD-000095,2026/04/06,CUST-1095,Wireless Headphones Pro,5,66.14,BR
ORD-000096,2026/04/07,CUST-1096,Smart Watch Series 5,4,96.74,US
ORD-000097,2026/04/08,CUST-1097,Wireless Charger Pad,1,230.65,FR
ORD-000098,2026/04/09,CUST-1098,Yoga Mat Premium,5,97.39,CN
ORD-000099,2026/04/10,CUST-1099,Leather Wallet Classic,3,252.2,UK
ORD-000100,2026/04/11,CUST-1100,Leather Wallet Classic,5,143.57,CA
ORD-000101,2026/04/12,CUST-1101,Standing Desk Converter,5,232.84,AU
ORD-000102,2026/04/13,CUST-1102,External SSD 1TB,3,270.06,JP
ORD-000103,2026/04/14,CUST-1103,Ergonomic Office Chair,3,198.2,US
ORD-000104,2026/04/15,CUST-1104,Mechanical Keyboard RGB,4,174.26,UK
ORD-000105,2026/04/16,CUST-1105,Air Purifier Small,5,141.46,JP
ORD-000106,2026/04/17,CUST-1106,Yoga Mat Premium,3,78.32,BR
ORD-000107,2026/04/18,CUST-1107,Ergonomic Office Chair,4,154.48,DE
ORD-000108,2026/04/19,CUST-1108,LED Desk Lamp,5,238.68,FR
ORD-000109,2026/04/20,CUST-1109,Portable Power Bank,1,157.43,BR
ORD-000110,2026/04/21,CUST-1110,Bluetooth Speaker Mini,5,235.7,US
ORD-000111,2026/04/22,CUST-1111,Noise Cancelling Earbuds,5,166.86,AU
ORD-000112,2026/04/23,CUST-1112,Leather Wallet Classic,5,231.55,DE
ORD-000113,2026/04/24,CUST-1113,Bluetooth Speaker Mini,1,190.63,IN
ORD-000114,2026/04/25,CUST-1114,External SSD 1TB,2,245.96,CA
ORD-000115,2026/04/26,CUST-1115,Bluetooth Speaker Mini,2,140.08,UK
ORD-000116,2026/04/27,CUST-1116,Stainless Steel Water Bottle,2,49.58,CA
ORD-000117,2026/04/28,CUST-1117,Organic Cotton T-Shirt,4,285.0,UK
ORD-000118,2026/04/29,CUST-1118,Wireless Headphones Pro,5,66.33,CA
ORD-000119,2026/04/30,CUST-1119,Air Purifier Small,5,148.84,CN
ORD-000120,2026/05/01,CUST-1120,Yoga Mat Premium,3,48.15,US
ORD-000121,2026/05/02,CUST-1121,Wireless Mouse Silent,1,290.81,CN
ORD-000122,2026/05/03,CUST-1122,Yoga Mat Premium,5,113.64,CA
ORD-000123,2026/05/04,CUST-1123,Portable Power Bank,1,213.6,IN
ORD-000124,2026/05/05,CUST-1124,External SSD 1TB,1,54.46,CN
ORD-000125,2026/05/06,CUST-1125,External SSD 1TB,4,226.6,FR
ORD-000126,2026/05/07,CUST-1126,Wireless Mouse Silent,2,258.11,US
ORD-000127,2026/05/08,CUST-1127,Stainless Steel Water Bottle,4,78.84,JP
ORD-000128,2026/05/09,CUST-1128,Noise Cancelling Earbuds,5,155.08,CA
ORD-000129,2026/05/10,CUST-1129,Yoga Mat Premium,3,37.31,FR
ORD-000130,2026/05/11,CUST-1130,Monitor Arm Dual,2,246.31,AU
ORD-000131,2026/05/12,CUST-1131,Stainless Steel Water Bottle,2,145.14,AU
ORD-000132,2026/05/13,CUST-1132,External SSD 1TB,1,202.71,UK
ORD-000133,2026/05/14,CUST-1133,Portable Power Bank,3,67.55,UK
ORD-000134,2026/05/15,CUST-1134,LED Desk Lamp,1,165.5,JP
ORD-000135,2026/05/16,CUST-1135,Leather Wallet Classic,2,157.7,UK
ORD-000136,2026/05/17,CUST-1136,Running Shoes Elite,1,232.94,JP
ORD-000137,2026/05/18,CUST-1137,Smart Watch Series 5,4,114.08,UK
ORD-000138,2026/05/19,CUST-1138,LED Desk Lamp,2,145.98,BR
ORD-000139,2026/05/20,CUST-1139,Leather Wallet Classic,3,261.57,AU
ORD-000140,2026/05/21,CUST-1140,Wireless Charger Pad,5,289.44,BR
ORD-000141,2026/05/22,CUST-1141,Standing Desk Converter,2,172.55,BR
ORD-000142,2026/05/23,CUST-1142,Air Purifier Small,4,196.17,IN
ORD-000143,2026/05/24,CUST-1143,Wireless Headphones Pro,5,136.35,DE
ORD-000144,2026/05/25,CUST-1144,External SSD 1TB,4,241.84,US
ORD-000145,2026/05/26,CUST-1145,LED Desk Lamp,4,46.72,CA
ORD-000146,2026/05/27,CUST-1146,Wireless Mouse Silent,3,260.05,US
ORD-000147,2026/05/28,CUST-1147,Noise Cancelling Earbuds,3,278.14,CN
ORD-000148,2026/05/29,CUST-1148,4K Webcam Pro,5,219.96,IN
ORD-000149,2026/05/30,CUST-1149,Mechanical Keyboard RGB,2,186.15,US
ORD-000150,2026/05/31,CUST-1150,Organic Cotton T-Shirt,2,126.81,AU
ORD-000151,2026/06/01,CUST-1151,Ergonomic Office Chair,2,193.02,FR
ORD-000152,2026/06/02,CUST-1152,Organic Cotton T-Shirt,5,159.51,DE
ORD-000153,2026/06/03,CUST-1153,Smart Watch Series 5,1,58.6,AU
ORD-000154,2026/06/04,CUST-1154,External SSD 1TB,5,162.86,BR
ORD-000155,2026/06/05,CUST-1155,Ergonomic Office Chair,5,272.82,FR
ORD-000156,2026/06/06,CUST-1156,Noise Cancelling Earbuds,4,106.62,AU
ORD-000157,2026/06/07,CUST-1157,Wireless Headphones Pro,4,298.16,DE
ORD-000158,2026/06/08,CUST-1158,Wireless Headphones Pro,3,33.83,JP
ORD-000159,2026/06/09,CUST-1159,Smart Watch Series 5,2,39.03,JP
ORD-000160,2026/06/10,CUST-1160,4K Webcam Pro,2,181.5,IN
ORD-000161,2026/06/11,CUST-1161,4K Webcam Pro,1,248.35,CN
ORD-000162,2026/06/12,CUST-1162,LED Desk Lamp,3,283.96,DE
ORD-000163,2026/06/13,CUST-1163,LED Desk Lamp,4,133.65,AU
ORD-000164,2026/06/14,CUST-1164,4K Webcam Pro,3,136.62,FR
ORD-000165,2026/06/15,CUST-1165,Stainless Steel Water Bottle,4,294.04,CA
ORD-000166,2026/06/16,CUST-1166,Wireless Charger Pad,2,226.77,AU
ORD-000167,2026/06/17,CUST-1167,Bluetooth Speaker Mini,5,176.21,CN
ORD-000168,2026/06/18,CUST-1168,Yoga Mat Premium,4,103.99,AU
ORD-000169,2026/06/19,CUST-1169,Mechanical Keyboard RGB,5,275.52,US
ORD-000170,2026/06/20,CUST-1170,External SSD 1TB,4,287.09,BR
ORD-000171,2026/06/21,CUST-1171,4K Webcam Pro,2,285.11,DE
ORD-000172,2026/06/22,CUST-1172,Portable Power Bank,1,129.96,DE
ORD-000173,2026/06/23,CUST-1173,Standing Desk Converter,3,282.08,US
ORD-000174,2026/06/24,CUST-1174,Standing Desk Converter,2,264.52,CN
ORD-000175,2026/06/25,CUST-1175,Organic Cotton T-Shirt,4,208.09,DE
ORD-000176,2026/06/26,CUST-1176,Yoga Mat Premium,3,167.02,CA
ORD-000177,2026/06/27,CUST-1177,Running Shoes Elite,4,72.66,CA
ORD-000178,2026/06/28,CUST-1178,Running Shoes Elite,3,64.2,IN
ORD-000179,2026/06/29,CUST-1179,Stainless Steel Water Bottle,2,111.96,CA
ORD-000180,2026/01/01,CUST-1180,Wireless Mouse Silent,1,53.53,AU
ORD-000181,2026/01/02,CUST-1181,Standing Desk Converter,1,233.98,CN
ORD-000182,2026/01/03,CUST-1182,Standing Desk Converter,3,250.16,CA
ORD-000183,2026/01/04,CUST-1183,Leather Wallet Classic,4,158.27,DE
ORD-000184,2026/01/05,CUST-1184,LED Desk Lamp,4,250.39,FR
ORD-000185,2026/01/06,CUST-1185,Monitor Arm Dual,2,141.67,CN
ORD-000186,2026/01/07,CUST-1186,Ergonomic Office Chair,3,252.39,CN
ORD-000187,2026/01/08,CUST-1187,External SSD 1TB,5,185.33,IN
ORD-000188,2026/01/09,CUST-1188,Wireless Headphones Pro,2,112.32,US
ORD-000189,2026/01/10,CUST-1189,Bluetooth Speaker Mini,4,81.3,AU
ORD-000190,2026/01/11,CUST-1190,Bluetooth Speaker Mini,3,39.93,AU
ORD-000191,2026/01/12,CUST-1191,Wireless Headphones Pro,3,86.88,UK
ORD-000192,2026/01/13,CUST-1192,External SSD 1TB,4,211.03,CN
ORD-000193,2026/01/14,CUST-1193,Air Purifier Small,1,184.79,BR
ORD-000194,2026/01/15,CUST-1194,Wireless Mouse Silent,3,143.43,AU
ORD-000195,2026/01/16,CUST-1195,Portable Power Bank,5,87.6,CN
ORD-000196,2026/01/17,CUST-1196,Yoga Mat Premium,3,164.15,CN
ORD-000197,2026/01/18,CUST-1197,Wireless Headphones Pro,5,217.1,FR
ORD-000198,2026/01/19,CUST-1198,Wireless Charger Pad,3,166.58,CN
ORD-000199,2026/01/20,CUST-1199,Ergonomic Office Chair,2,231.35,FR
ORD-000200,2026/01/21,CUST-1000,Portable Power Bank,5,247.89,BR
ORD-000201,2026/01/22,CUST-1001,Organic Cotton T-Shirt,5,229.47,AU
ORD-000202,2026/01/23,CUST-1002,Ergonomic Office Chair,5,220.18,US
ORD-000203,2026/01/24,CUST-1003,LED Desk Lamp,2,121.34,AU
ORD-000204,2026/01/25,CUST-1004,Leather Wallet Classic,3,145.87,CN
ORD-000205,2026/01/26,CUST-1005,External SSD 1TB,4,156.71,CN
ORD-000206,2026/01/27,CUST-1006,Bluetooth Speaker Mini,3,206.77,AU
ORD-000207,2026/01/28,CUST-1007,Stainless Steel Water Bottle,5,43.66,IN
ORD-000208,2026/01/29,CUST-1008,External SSD 1TB,3,166.79,CA
ORD-000209,2026/01/30,CUST-1009,Mechanical Keyboard RGB,2,104.98,CA
ORD-000210,2026/01/31,CUST-1010,Leather Wallet Classic,3,211.4,IN
ORD-000211,2026/02/01,CUST-1011,Leather Wallet Classic,5,99.45,UK
ORD-000212,2026/02/02,CUST-1012,Portable Power Bank,5,294.55,CA
ORD-000213,2026/02/03,CUST-1013,Leather Wallet Classic,3,57.23,DE
ORD-000214,2026/02/04,CUST-1014,Leather Wallet Classic,1,135.81,FR
ORD-000215,2026/02/05,CUST-1015,Yoga Mat Premium,4,265.09,FR
