order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Wireless Charger Pad,1,240.91,DE
ORD-000002,2026/01/03,CUST-1002,LED Desk Lamp,2,40.36,CN
ORD-000003,2026/01/04,CUST-1003,Portable Power Bank,3,163.81,BR
ORD-000004,2026/01/05,CUST-1004,Organic Cotton T-Shirt,1,204.22,FR
ORD-000005,2026/01/06,CUST-1005,Monitor Arm Dual,4,265.41,CN
ORD-000006,2026/01/07,CUST-1006,Air Purifier Small,2,125.49,US
ORD-000007,2026/01/08,CUST-1007,Running Shoes Elite,4,288.89,IN
ORD-000008,2026/01/09,CUST-1008,Stainless Steel Water Bottle,1,100.79,JP
ORD-000009,2026/01/10,CUST-1009,Yoga Mat Premium,1,194.79,FR
ORD-000010,2026/01/11,CUST-1010,Yoga Mat Premium,4,102.86,BR
ORD-000011,2026/01/12,CUST-1011,Wireless Headphones Pro,2,76.44,IN
ORD-000012,2026/01/13,CUST-1012,4K Webcam Pro,2,254.52,AU
ORD-000013,2026/01/14,CUST-1013,Bluetooth Speaker Mini,3,201.22,FR
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,4,69.31,UK
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,1,138.95,CN
ORD-000016,2026/01/17,CUST-1016,Standing Desk Converter,5,96.98,UK
ORD-000017,2026/01/18,CUST-1017,Stainless Steel Water Bottle,1,93.75,CA
ORD-000018,2026/01/19,CUST-1018,Air Purifier Small,5,112.6,UK
ORD-000019,2026/01/20,CUST-1019,Smart Watch Series 5,4,227.98,US
ORD-000020,2026/01/21,CUST-1020,Yoga Mat Premium,5,299.51,CA
ORD-000021,2026/01/22,CUST-1021,Wireless Mouse Silent,2,58.2,CN
ORD-000022,2026/01/23,CUST-1022,Air Purifier Small,2,277.98,FR
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,4,270.33,US
ORD-000024,2026/01/25,CUST-1024,Portable Power Bank,3,58.73,CN
ORD-000025,2026/01/26,CUST-1025,Wireless Headphones Pro,2,203.47,CA
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,4,157.07,FR
