order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,1,62.04,US
ORD-000002,2026/01/03,CUST-1002,Monitor Arm Dual,1,85.7,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,2,66.29,US
ORD-000004,2026/01/05,CUST-1004,Bluetooth Speaker Mini,2,76.75,US
ORD-000005,2026/01/06,CUST-1005,Running Shoes Elite,2,78.16,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,3,48.06,US
ORD-000007,2026/01/08,CUST-1007,Smart Watch Series 5,2,61.69,US
ORD-000008,2026/01/09,CUST-1008,External SSD 1TB,3,98.21,US
ORD-000009,2026/01/10,CUST-1009,Portable Power Bank,2,50.03,US
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,2,99.96,US
ORD-000011,2026/01/12,CUST-1011,Mechanical Keyboard RGB,1,84.27,US
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,1,52.19,US
ORD-000013,2026/01/14,CUST-1013,Yoga Mat Premium,1,70.15,US
ORD-000014,2026/01/15,CUST-1014,Standing Desk Converter,3,42.72,US
ORD-000015,2026/01/16,CUST-1015,Stainless Steel Water Bottle,1,51.11,US
ORD-000016,2026/01/17,CUST-1016,Stainless Steel Water Bottle,1,41.77,US
ORD-000017,2026/01/18,CUST-1017,Bluetooth Speaker Mini,3,79.52,US
ORD-000018,2026/01/19,CUST-1018,Yoga Mat Premium,1,58.15,US
ORD-000019,2026/01/20,CUST-1019,Ergonomic Office Chair,2,41.49,US
ORD-000020,2026/01/21,CUST-1020,Wireless Mouse Silent,2,64.99,US
ORD-000021,2026/01/22,CUST-1021,Leather Wallet Classic,2,55.4,US
ORD-000022,2026/01/23,CUST-1022,Wireless Headphones Pro,2,60.16,US
ORD-000023,2026/01/24,CUST-1023,Noise Cancelling Earbuds,1,61.25,US
ORD-000024,2026/01/25,CUST-1024,Standing Desk Converter,1,97.32,US
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,2,50.71,US
ORD-000026,2026/01/27,CUST-1026,Organic Cotton T-Shirt,1,77.4,US
ORD-000027,2026/01/28,CUST-1027,Bluetooth Speaker Mini,1,36.44,US
ORD-000028,2026/01/29,CUST-1028,Wireless Headphones Pro,3,66.98,US
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,3,44.22,US
ORD-000030,2026/01/31,CUST-1030,Monitor Arm Dual,3,76.16,US
ORD-000031,2026/02/01,CUST-1031,Running Shoes Elite,3,78.51,US
ORD-000032,2026/02/02,CUST-1032,Air Purifier Small,1,71.13,US
ORD-000033,2026/02/03,CUST-1033,Wireless Headphones Pro,1,25.52,US
ORD-000034,2026/02/04,CUST-1034,Mechanical Keyboard RGB,3,98.81,US
ORD-000035,2026/02/05,CUST-1035,4K Webcam Pro,2,24.18,US
ORD-000036,2026/02/06,CUST-1036,Ergonomic Office Chair,3,68.97,US
ORD-000037,2026/02/07,CUST-1037,Monitor Arm Dual,1,84.13,US
ORD-000038,2026/02/08,CUST-1038,Monitor Arm Dual,3,33.1,US
ORD-000039,2026/02/09,CUST-1039,Noise Cancelling Earbuds,2,65.57,US
ORD-000040,2026/02/10,CUST-1040,Organic Cotton T-Shirt,2,33.48,US
ORD-000041,2026/02/11,CUST-1041,Portable Power Bank,1,99.01,US
ORD-000042,2026/02/12,CUST-1042,4K Webcam Pro,1,48.22,US
ORD-000043,2026/02/13,CUST-1043,Bluetooth Speaker Mini,1,50.87,US
ORD-000044,2026/02/14,CUST-1044,Stainless Steel Water Bottle,3,37.36,US
ORD-000045,2026/02/15,CUST-1045,Wireless Mouse Silent,2,72.4,US
ORD-000046,2026/02/16,CUST-1046,Wireless Charger Pad,3,57.62,US
ORD-000047,2026/02/17,CUST-1047,Monitor Arm Dual,2,28.65,US
ORD-000048,2026/02/18,CUST-1048,Noise Cancelling Earbuds,2,88.01,US
ORD-000049,2026/02/19,CUST-1049,Portable Power Bank,3,95.94,US
ORD-000050,2026/02/20,CUST-1050,Bluetooth Speaker Mini,3,52.66,US
ORD-000051,2026/02/21,CUST-1051,Air Purifier Small,1,71.44,US
ORD-000052,2026/02/22,CUST-1052,Leather Wallet Classic,1,51.05,US
ORD-000053,2026/02/23,CUST-1053,Portable Power Bank,2,80.45,US
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,1,78.01,US
ORD-000055,2026/02/25,CUST-1055,Standing Desk Converter,2,87.27,US
ORD-000056,2026/02/26,CUST-1056,Bluetooth Speaker Mini,3,75.74,US
ORD-000057,2026/02/27,CUST-1057,Mechanical Keyboard RGB,1,23.24,US
ORD-000058,2026/02/28,CUST-1058,Wireless Mouse Silent,3,52.14,US
ORD-000059,2026/03/01,CUST-1059,Ergonomic Office Chair,2,37.39,US
ORD-000060,2026/03/02,CUST-1060,Organic Cotton T-Shirt,1,70.27,US
ORD-000061,2026/03/03,CUST-1061,4K Webcam Pro,3,53.4,US
ORD-000062,2026/03/04,CUST-1062,Portable Power Bank,1,58.94,US
ORD-000063,2026/03/05,CUST-1063,Noise Cancelling Earbuds,1,82.43,US
ORD-000064,2026/03/06,CUST-1064,Organic Cotton T-Shirt,3,61.34,US
ORD-000065,2026/03/07,CUST-1065,Standing Desk Converter,3,62.51,US
ORD-000066,2026/03/08,CUST-1066,LED Desk Lamp,3,33.26,US
ORD-000067,2026/03/09,CUST-1067,Monitor Arm Dual,3,38.52,US
ORD-000068,2026/03/10,CUST-1068,Stainless Steel Water Bottle,2,92.43,US
ORD-000069,2026/03/11,CUST-1069,Wireless Charger Pad,1,76.58,US
ORD-000070,2026/03/12,CUST-1070,Smart Watch Series 5,1,39.72,US
ORD-000071,2026/03/13,CUST-1071,LED Desk Lamp,3,58.25,US
ORD-000072,2026/03/14,CUST-1072,External SSD 1TB,2,44.16,US
ORD-000073,2026/03/15,CUST-1073,Ergonomic Office Chair,3,64.66,US
ORD-000074,2026/03/16,CUST-1074,Organic Cotton T-Shirt,3,74.43,US
ORD-000075,2026/03/17,CUST-1075,Standing Desk Converter,1,45.05,US
ORD-000076,2026/03/18,CUST-1076,Smart Watch Series 5,2,34.76,US
ORD-000077,2026/03/19,CUST-1077,Smart Watch Series 5,2,36.01,US
ORD-000078,2026/03/20,CUST-1078,Noise Cancelling Earbuds,2,69.85,US
ORD-000079,2026/03/21,CUST-1079,LED Desk Lamp,2,88.91,US
ORD-000080,2026/03/22,CUST-1080,Stainless Steel Water Bottle,3,50.63,US
ORD-000081,2026/03/23,CUST-1081,Wireless Headphones Pro,3,99.23,US
ORD-000082,2026/03/24,CUST-1082,Running Shoes Elite,2,84.06,US
ORD-000083,2026/03/25,CUST-1083,Standing Desk Converter,3,77.93,US
ORD-000084,2026/03/26,CUST-1084,Ergonomic Office Chair,2,60.78,US
ORD-000085,2026/03/27,CUST-1085,Standing Desk Converter,2,36.4,US
ORD-000086,2026/03/28,CUST-1086,Organic Cotton T-Shirt,1,79.71,US
ORD-000087,2026/03/29,CUST-1087,External SSD 1TB,3,55.79,US
ORD-000088,2026/03/30,CUST-1088,Noise Cancelling Earbuds,1,41.98,US
ORD-000089,2026/03/31,CUST-1089,Wireless Mouse Silent,2,47.81,US
ORD-000090,2026/04/01,CUST-1090,Organic Cotton T-Shirt,3,95.87,US
ORD-000091,2026/04/02,CUST-1091,External SSD 1TB,1,88.38,US
ORD-000092,2026/04/03,CUST-1092,Portable Power Bank,3,32.76,US
