order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/06/16,CUST-1001,Air Purifier Small,1,56.09,US
ORD-000002,2026/06/17,CUST-1002,Bluetooth Speaker Mini,3,42.43,US
ORD-000003,2026/06/18,CUST-1003,External SSD 1TB,1,72.31,US
ORD-000004,2026/06/19,CUST-1004,Yoga Mat Premium,1,75.21,US
ORD-000005,2026/06/20,CUST-1005,Wireless Charger Pad,1,89.65,US
ORD-000006,2026/06/21,CUST-1006,Smart Watch Series 5,1,91.75,US
ORD-000007,2026/06/22,CUST-1007,Standing Desk Converter,1,73.15,US
ORD-000008,2026/06/23,CUST-1008,Running Shoes Elite,1,60.98,US
ORD-000009,2026/06/24,CUST-1009,Wireless Charger Pad,2,59.06,US
ORD-000010,2026/06/25,CUST-1010,Wireless Mouse Silent,2,53.25,US
ORD-000011,2026/06/26,CUST-1011,Noise Cancelling Earbuds,3,81.85,US
ORD-000012,2026/06/27,CUST-1012,Smart Watch Series 5,2,53.13,US
ORD-000013,2026/06/28,CUST-1013,Standing Desk Converter,2,43.8,US
ORD-000014,2026/06/29,CUST-1014,Air Purifier Small,1,40.33,US
