price,quantity,product_name,country,customer_id,date,order_id
91.21,1,Ergonomic Office Chair,FR,CUST-1001,2026/01/02,ORD-000001
86.19,2,Bluetooth Speaker Mini,BR,CUST-1002,2026/01/03,ORD-000002
93.54,1,Wireless Charger Pad,DE,CUST-1003,2026/01/04,ORD-000003
48.13,2,Stainless Steel Water Bottle,UK,CUST-1004,2026/01/05,ORD-000004
45.9,3,External SSD 1TB,US,CUST-1005,2026/01/06,ORD-000005
31.64,3,Wireless Headphones Pro,DE,CUST-1006,2026/01/07,ORD-000006
25.0,1,Wireless Mouse Silent,UK,CUST-1007,2026/01/08,ORD-000007
96.17,2,Organic Cotton T-Shirt,CA,CUST-1008,2026/01/09,ORD-000008
81.94,2,Running Shoes Elite,CA,CUST-1009,2026/01/10,ORD-000009
56.69,2,Ergonomic Office Chair,US,CUST-1010,2026/01/11,ORD-000010
30.95,1,External SSD 1TB,AU,CUST-1011,2026/01/12,ORD-000011
85.36,2,Portable Power Bank,CA,CUST-1012,2026/01/13,ORD-000012
71.84,2,LED Desk Lamp,JP,CUST-1013,2026/01/14,ORD-000013
80.14,1,External SSD 1TB,UK,CUST-1014,2026/01/15,ORD-000014
84.95,2,Stainless Steel Water Bottle,CA,CUST-1015,2026/01/16,ORD-000015
73.56,3,Noise Cancelling Earbuds,CA,CUST-1016,2026/01/17,ORD-000016
84.36,3,Bluetooth Speaker Mini,JP,CUST-1017,2026/01/18,ORD-000017
67.48,2,Portable Power Bank,IN,CUST-1018,2026/01/19,ORD-000018
47.46,3,Ergonomic Office Chair,IN,CUST-1019,2026/01/20,ORD-000019
83.12,2,Yoga Mat Premium,FR,CUST-1020,2026/01/21,ORD-000020
38.05,2,4K Webcam Pro,IN,CUST-1021,2026/01/22,ORD-000021
77.31,3,Monitor Arm Dual,CN,CUST-1022,2026/01/23,ORD-000022
45.67,2,Leather Wallet Classic,FR,CUST-1023,2026/01/24,ORD-000023
70.99,2,Leather Wallet Classic,BR,CUST-1024,2026/01/25,ORD-000024
72.3,2,Noise Cancelling Earbuds,IN,CUST-1025,2026/01/26,ORD-000025
91.47,1,Ergonomic Office Chair,JP,CUST-1026,2026/01/27,ORD-000026
79.37,1,Mechanical Keyboard RGB,JP,CUST-1027,2026/01/28,ORD-000027
77.36,3,Standing Desk Converter,BR,CUST-1028,2026/01/29,ORD-000028
84.72,1,Air Purifier Small,FR,CUST-1029,2026/01/30,ORD-000029
