order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Noise Cancelling Earbuds,3,138.23,DE
ORD-000002,2026/01/03,CUST-1002,Wireless Headphones Pro,1,58.94,US
ORD-000003,2026/01/04,CUST-1003,Wireless Charger Pad,3,110.86,AU
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,1,51.67,US
ORD-000005,2026/01/06,CUST-1005,Standing Desk Converter,2,78.55,FR
ORD-000006,2026/01/07,CUST-1006,Wireless Mouse Silent,3,119.68,AU
ORD-000007,2026/01/08,CUST-1007,Running Shoes Elite,3,73.32,CA
ORD-000008,2026/01/09,CUST-1008,Leather Wallet Classic,3,77.37,AU
ORD-000009,2026/01/10,CUST-1009,Wireless Mouse Silent,2,86.83,DE
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,3,53.27,DE
ORD-000011,2026/01/12,CUST-1011,Bluetooth Speaker Mini,3,103.66,IN
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,3,98.52,US
ORD-000013,2026/01/14,CUST-1013,Smart Watch Series 5,2,55.85,JP
ORD-000014,2026/01/15,CUST-1014,Standing Desk Converter,3,128.66,CA
ORD-000015,2026/01/16,CUST-1015,Smart Watch Series 5,1,147.72,US
ORD-000016,2026/01/17,CUST-1016,Leather Wallet Classic,1,54.78,CN
ORD-000017,2026/01/18,CUST-1017,Yoga Mat Premium,1,91.5,IN
ORD-000018,2026/01/19,CUST-1018,Monitor Arm Dual,1,126.68,AU
ORD-000019,2026/01/20,CUST-1019,Wireless Charger Pad,1,107.52,CN
ORD-000020,2026/01/21,CUST-1020,4K Webcam Pro,3,29.5,UK
ORD-000021,2026/01/22,CUST-1021,Smart Watch Series 5,1,74.86,DE
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,3,66.43,UK
ORD-000023,2026/01/24,CUST-1023,Organic Cotton T-Shirt,1,67.8,BR
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,2,144.31,AU
ORD-000025,2026/01/26,CUST-1025,Air Purifier Small,3,115.17,BR
ORD-000026,2026/01/27,CUST-1026,Organic Cotton T-Shirt,2,37.86,DE
ORD-000027,2026/01/28,CUST-1027,Portable Power Bank,2,76.81,FR
ORD-000028,2026/01/29,CUST-1028,Wireless Headphones Pro,2,99.13,CA
ORD-000029,2026/01/30,CUST-1029,Wireless Headphones Pro,3,104.49,CN
ORD-000030,2026/01/31,CUST-1030,Stainless Steel Water Bottle,3,67.32,DE
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,2,52.44,IN
ORD-000032,2026/02/02,CUST-1032,Wireless Headphones Pro,2,115.44,IN
ORD-000033,2026/02/03,CUST-1033,LED Desk Lamp,3,127.57,CA
ORD-000034,2026/02/04,CUST-1034,Stainless Steel Water Bottle,1,22.4,FR
ORD-000035,2026/02/05,CUST-1035,Wireless Charger Pad,1,36.38,AU
ORD-000036,2026/02/06,CUST-1036,Wireless Mouse Silent,1,28.45,BR
ORD-000037,2026/02/07,CUST-1037,Monitor Arm Dual,1,111.77,AU
ORD-000038,2026/02/08,CUST-1038,External SSD 1TB,1,141.47,JP
ORD-000039,2026/02/09,CUST-1039,Wireless Charger Pad,1,123.37,UK
ORD-000040,2026/02/10,CUST-1040,Standing Desk Converter,2,136.17,AU
ORD-000041,2026/02/11,CUST-1041,Stainless Steel Water Bottle,3,88.68,BR
ORD-000042,2026/02/12,CUST-1042,Portable Power Bank,1,97.69,UK
ORD-000043,2026/02/13,CUST-1043,Yoga Mat Premium,2,38.03,DE
ORD-000044,2026/02/14,CUST-1044,Monitor Arm Dual,2,45.06,BR
ORD-000045,2026/02/15,CUST-1045,Noise Cancelling Earbuds,3,128.8,CA
ORD-000046,2026/02/16,CUST-1046,LED Desk Lamp,1,25.73,AU
ORD-000047,2026/02/17,CUST-1047,Noise Cancelling Earbuds,1,73.8,DE
ORD-000048,2026/02/18,CUST-1048,Monitor Arm Dual,1,52.0,FR
ORD-000049,2026/02/19,CUST-1049,LED Desk Lamp,3,73.49,AU
ORD-000050,2026/02/20,CUST-1050,Smart Watch Series 5,1,103.12,CA
ORD-000051,2026/02/21,CUST-1051,External SSD 1TB,3,28.36,DE
ORD-000052,2026/02/22,CUST-1052,Smart Watch Series 5,3,110.68,UK
ORD-000053,2026/02/23,CUST-1053,Smart Watch Series 5,3,70.72,IN
ORD-000054,2026/02/24,CUST-1054,Bluetooth Speaker Mini,2,120.67,DE
