order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,Wireless Charger Pad,2,74.18
ORD-000002,2026/01/03,CUST-1002,Yoga Mat Premium,1,60.99
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,2,84.27
ORD-000004,2026/01/05,CUST-1004,Portable Power Bank,3,38.54
ORD-000005,2026/01/06,CUST-1005,Wireless Headphones Pro,2,26.14
ORD-000006,2026/01/07,CUST-1006,Bluetooth Speaker Mini,1,70.87
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,2,39.67
ORD-000008,2026/01/09,CUST-1008,Standing Desk Converter,1,77.7
ORD-000009,2026/01/10,CUST-1009,Air Purifier Small,3,77.56
ORD-000010,2026/01/11,CUST-1010,Wireless Mouse Silent,3,46.88
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,1,42.5
ORD-000012,2026/01/13,CUST-1012,4K Webcam Pro,2,69.48
ORD-000013,2026/01/14,CUST-1013,Air Purifier Small,2,67.6
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,1,20.24
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,2,99.49
ORD-000016,2026/01/17,CUST-1016,Ergonomic Office Chair,2,47.61
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,2,64.55
ORD-000018,2026/01/19,CUST-1018,Monitor Arm Dual,1,63.69
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,3,44.42
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,2,74.33
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,3,69.03
ORD-000022,2026/01/23,CUST-1022,Wireless Charger Pad,2,92.29
ORD-000023,2026/01/24,CUST-1023,Mechanical Keyboard RGB,2,99.44
ORD-000024,2026/01/25,CUST-1024,Mechanical Keyboard RGB,3,39.91
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,2,54.14
ORD-000026,2026/01/27,CUST-1026,Bluetooth Speaker Mini,3,33.41
ORD-000027,2026/01/28,CUST-1027,Stainless Steel Water Bottle,3,34.28
ORD-000028,2026/01/29,CUST-1028,Wireless Mouse Silent,1,91.52
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,1,93.96
ORD-000030,2026/01/31,CUST-1030,Noise Cancelling Earbuds,3,79.97
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,3,60.88
ORD-000032,2026/02/02,CUST-1032,Smart Watch Series 5,1,99.11
ORD-000033,2026/02/03,CUST-1033,Monitor Arm Dual,1,57.02
ORD-000034,2026/02/04,CUST-1034,Wireless Charger Pad,1,93.66
ORD-000035,2026/02/05,CUST-1035,Running Shoes Elite,1,47.11
ORD-000036,2026/02/06,CUST-1036,4K Webcam Pro,1,37.33
ORD-000037,2026/02/07,CUST-1037,Leather Wallet Classic,3,93.94
ORD-000038,2026/02/08,CUST-1038,External SSD 1TB,1,39.14
ORD-000039,2026/02/09,CUST-1039,Mechanical Keyboard RGB,1,43.43
ORD-000040,2026/02/10,CUST-1040,Yoga Mat Premium,2,89.41
ORD-000041,2026/02/11,CUST-1041,Smart Watch Series 5,1,39.58
ORD-000042,2026/02/12,CUST-1042,Yoga Mat Premium,2,41.12
ORD-000043,2026/02/13,CUST-1043,Leather Wallet Classic,3,36.36
ORD-000044,2026/02/14,CUST-1044,Standing Desk Converter,2,93.3
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,2,55.95
ORD-000046,2026/02/16,CUST-1046,Stainless Steel Water Bottle,1,87.48
ORD-000047,2026/02/17,CUST-1047,LED Desk Lamp,2,81.77
ORD-000048,2026/02/18,CUST-1048,Smart Watch Series 5,3,37.97
ORD-000049,2026/02/19,CUST-1049,Portable Power Bank,3,51.39
ORD-000050,2026/02/20,CUST-1050,Wireless Headphones Pro,1,70.28
ORD-000051,2026/02/21,CUST-1051,Stainless Steel Water Bottle,3,69.29
ORD-000052,2026/02/22,CUST-1052,Noise Cancelling Earbuds,1,23.59
ORD-000053,2026/02/23,CUST-1053,Wireless Headphones Pro,1,21.74
ORD-000054,2026/02/24,CUST-1054,Wireless Mouse Silent,3,53.02
ORD-000055,2026/02/25,CUST-1055,Standing Desk Converter,2,40.92
ORD-000056,2026/02/26,CUST-1056,Smart Watch Series 5,3,40.02
ORD-000057,2026/02/27,CUST-1057,Ergonomic Office Chair,2,46.74
