order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,4K Webcam Pro,1,26.76,US
ORD-000002,2026/01/03,CUST-1002,Noise Cancelling Earbuds,2,13.68,US
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,2,25.04,US
ORD-000004,2026/01/05,CUST-1004,Standing Desk Converter,2,10.8,US
ORD-000005,2026/01/06,CUST-1005,Organic Cotton T-Shirt,1,20.15,US
ORD-000006,2026/01/07,CUST-1006,Monitor Arm Dual,2,36.22,US
ORD-000007,2026/01/08,CUST-1007,Noise Cancelling Earbuds,1,14.31,US
ORD-000008,2026/01/09,CUST-1008,Noise Cancelling Earbuds,1,34.9,US
ORD-000009,2026/01/10,CUST-1009,Monitor Arm Dual,2,13.77,US
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,1,33.71,US
ORD-000011,2026/01/12,CUST-1011,Portable Power Bank,1,31.21,US
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,1,33.55,US
ORD-000013,2026/01/14,CUST-1013,Bluetooth Speaker Mini,2,16.13,US
ORD-000014,2026/01/15,CUST-1014,Wireless Mouse Silent,1,37.45,US
ORD-000015,2026/01/16,CUST-1015,Yoga Mat Premium,1,29.75,US
