order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,2,43.21,US
ORD-000002,2026/01/03,CUST-1002,Air Purifier Small,2,58.8,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,2,20.21,US
ORD-000004,2026/01/05,CUST-1004,Wireless Headphones Pro,1,28.2,US
ORD-000005,2026/01/06,CUST-1005,Organic Cotton T-Shirt,1,28.55,US
ORD-000006,2026/01/07,CUST-1006,Smart Watch Series 5,2,56.32,US
ORD-000007,2026/01/08,CUST-1007,Yoga Mat Premium,1,55.13,US
ORD-000008,2026/01/09,CUST-1008,4K Webcam Pro,2,22.45,US
ORD-000009,2026/01/10,CUST-1009,Wireless Charger Pad,2,35.76,US
ORD-000010,2026/01/11,CUST-1010,Running Shoes Elite,7,82.75,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,7,117.73,US
ORD-000012,2026/01/13,CUST-1012,Wireless Charger Pad,3,108.74,US
ORD-000013,2026/01/14,CUST-1013,Portable Power Bank,2,32.31,US
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,2,20.4,US
ORD-000015,2026/01/16,CUST-1015,Ergonomic Office Chair,1,29.18,US
ORD-000016,2026/01/17,CUST-1016,Smart Watch Series 5,2,41.59,US
ORD-000017,2026/01/18,CUST-1017,Yoga Mat Premium,2,58.82,US
ORD-000018,2026/01/19,CUST-1018,Noise Cancelling Earbuds,2,50.96,US
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,1,27.96,US
ORD-000020,2026/01/21,CUST-1020,Stainless Steel Water Bottle,1,38.24,US
ORD-000021,2026/01/22,CUST-1021,Portable Power Bank,2,27.03,US
ORD-000022,2026/01/23,CUST-1022,Stainless Steel Water Bottle,3,135.29,US
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,5,142.55,US
ORD-000024,2026/01/25,CUST-1024,Wireless Mouse Silent,4,65.01,US
ORD-000025,2026/01/26,CUST-1025,Bluetooth Speaker Mini,2,32.25,US
ORD-000026,2026/01/27,CUST-1026,Ergonomic Office Chair,1,57.8,US
ORD-000027,2026/01/28,CUST-1027,Air Purifier Small,1,34.66,US
ORD-000028,2026/01/29,CUST-1028,Organic Cotton T-Shirt,1,30.08,US
ORD-000029,2026/01/30,CUST-1029,LED Desk Lamp,2,30.49,US
ORD-000030,2026/01/31,CUST-1030,Yoga Mat Premium,2,27.98,US
ORD-000031,2026/02/01,CUST-1031,LED Desk Lamp,1,21.8,US
ORD-000032,2026/02/02,CUST-1032,Air Purifier Small,2,46.35,US
ORD-000033,2026/02/03,CUST-1033,Monitor Arm Dual,2,59.33,US
ORD-000034,2026/02/04,CUST-1034,Organic Cotton T-Shirt,3,172.07,US
ORD-000035,2026/02/05,CUST-1035,Wireless Headphones Pro,7,52.05,US
ORD-000036,2026/02/06,CUST-1036,Standing Desk Converter,8,151.27,US
ORD-000037,2026/02/07,CUST-1037,Ergonomic Office Chair,1,26.71,US
ORD-000038,2026/02/08,CUST-1038,Leather Wallet Classic,1,30.77,US
ORD-000039,2026/02/09,CUST-1039,Wireless Charger Pad,2,36.52,US
ORD-000040,2026/02/10,CUST-1040,Ergonomic Office Chair,2,42.73,US
ORD-000041,2026/02/11,CUST-1041,Bluetooth Speaker Mini,2,31.88,US
ORD-000042,2026/02/12,CUST-1042,Mechanical Keyboard RGB,1,29.69,US
ORD-000043,2026/02/13,CUST-1043,Organic Cotton T-Shirt,1,33.96,US
ORD-000044,2026/02/14,CUST-1044,External SSD 1TB,2,57.07,US
ORD-000045,2026/02/15,CUST-1045,Yoga Mat Premium,1,58.6,US
ORD-000046,2026/02/16,CUST-1046,Running Shoes Elite,5,84.05,US
ORD-000047,2026/02/17,CUST-1047,Monitor Arm Dual,3,103.71,US
ORD-000048,2026/02/18,CUST-1048,Organic Cotton T-Shirt,6,51.96,US
ORD-000049,2026/02/19,CUST-1049,Noise Cancelling Earbuds,1,34.23,US
ORD-000050,2026/02/20,CUST-1050,LED Desk Lamp,2,59.45,US
ORD-000051,2026/02/21,CUST-1051,Mechanical Keyboard RGB,1,46.69,US
ORD-000052,2026/02/22,CUST-1052,Wireless Headphones Pro,2,59.87,US
ORD-000053,2026/02/23,CUST-1053,Smart Watch Series 5,1,22.38,US
