order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Yoga Mat Premium,3,178.69,CA
ORD-000002,2026/01/03,CUST-1002,Bluetooth Speaker Mini,2,121.72,AU
ORD-000003,2026/01/04,CUST-1003,Standing Desk Converter,5,195.8,CN
ORD-000004,2026/01/05,CUST-1004,Wireless Headphones Pro,3,249.29,DE
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,1,104.02,DE
ORD-000006,2026/01/07,CUST-1006,Organic Cotton T-Shirt,1,225.89,AU
ORD-000007,2026/01/08,CUST-1007,Monitor Arm Dual,2,230.53,US
ORD-000008,2026/01/09,CUST-1008,Wireless Headphones Pro,1,219.4,CA
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,1,133.45,AU
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,4,67.5,CN
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,2,62.23,DE
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones Pro,2,48.15,CA
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,5,155.76,UK
ORD-000014,2026/01/15,CUST-1014,Portable Power Bank,4,288.06,FR
ORD-000015,2026/01/16,CUST-1015,Bluetooth Speaker Mini,2,56.77,CN
ORD-000016,2026/01/17,CUST-1016,Wireless Charger Pad,2,63.75,UK
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,5,107.47,JP
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,4,272.47,JP
ORD-000019,2026/01/20,CUST-1019,Monitor Arm Dual,4,276.82,IN
ORD-000020,2026/01/21,CUST-1020,LED Desk Lamp,2,60.98,BR
ORD-000021,2026/01/22,CUST-1021,Air Purifier Small,4,236.95,BR
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,3,259.35,JP
ORD-000023,2026/01/24,CUST-1023,Yoga Mat Premium,4,150.19,FR
ORD-000024,2026/01/25,CUST-1024,Wireless Headphones Pro,2,32.77,CA
ORD-000025,2026/01/26,CUST-1025,Smart Watch Series 5,3,40.06,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,4,208.11,IN
ORD-000027,2026/01/28,CUST-1027,Stainless Steel Water Bottle,3,160.4,UK
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,1,35.69,US
ORD-000029,2026/01/30,CUST-1029,Wireless Mouse Silent,2,215.47,DE
ORD-000030,2026/01/31,CUST-1030,Stainless Steel Water Bottle,3,290.26,CA
ORD-000031,2026/02/01,CUST-1031,Leather Wallet Classic,5,210.89,FR
ORD-000032,2026/02/02,CUST-1032,Air Purifier Small,2,49.18,IN
ORD-000033,2026/02/03,CUST-1033,Organic Cotton T-Shirt,2,193.55,CA
ORD-000034,2026/02/04,CUST-1034,Noise Cancelling Earbuds,2,72.09,DE
