price,quantity,product_name,country,customer_id,date,order_id
28.94,2,Monitor Arm Dual,US,CUST-1001,2026/01/02,ORD-000001
66.5,2,Leather Wallet Classic,BR,CUST-1002,2026/01/03,ORD-000002
69.54,2,Stainless Steel Water Bottle,FR,CUST-1003,2026/01/04,ORD-000003
58.23,1,Portable Power Bank,BR,CUST-1004,2026/01/05,ORD-000004
71.94,2,Running Shoes Elite,FR,CUST-1005,2026/01/06,ORD-000005
31.0,3,Smart Watch Series 5,CN,CUST-1006,2026/01/07,ORD-000006
81.88,1,4K Webcam Pro,BR,CUST-1007,2026/01/08,ORD-000007
53.55,3,Ergonomic Office Chair,UK,CUST-1008,2026/01/09,ORD-000008
70.46,1,Smart Watch Series 5,JP,CUST-1009,2026/01/10,ORD-000009
61.02,1,Wireless Charger Pad,AU,CUST-1010,2026/01/11,ORD-000010
37.84,3,Organic Cotton T-Shirt,CN,CUST-1011,2026/01/12,ORD-000011
32.07,2,Yoga Mat Premium,AU,CUST-1012,2026/01/13,ORD-000012
42.14,2,Ergonomic Office Chair,JP,CUST-1013,2026/01/14,ORD-000013
85.63,3,Air Purifier Small,UK,CUST-1014,2026/01/15,ORD-000014
43.63,2,Noise Cancelling Earbuds,DE,CUST-1015,2026/01/16,ORD-000015
81.48,1,Running Shoes Elite,CA,CUST-1016,2026/01/17,ORD-000016
88.26,2,Noise Cancelling Earbuds,BR,CUST-1017,2026/01/18,ORD-000017
67.44,1,Smart Watch Series 5,BR,CUST-1018,2026/01/19,ORD-000018
32.2,1,LED Desk Lamp,UK,CUST-1019,2026/01/20,ORD-000019
22.1,1,Running Shoes Elite,AU,CUST-1020,2026/01/21,ORD-000020
37.38,2,Monitor Arm Dual,FR,CUST-1021,2026/01/22,ORD-000021
29.3,2,Yoga Mat Premium,DE,CUST-1022,2026/01/23,ORD-000022
42.57,2,Air Purifier Small,FR,CUST-1023,2026/01/24,ORD-000023
76.72,3,Air Purifier Small,JP,CUST-1024,2026/01/25,ORD-000024
54.83,1,Wireless Charger Pad,BR,CUST-1025,2026/01/26,ORD-000025
72.7,1,Standing Desk Converter,UK,CUST-1026,2026/01/27,ORD-000026
44.15,3,Mechanical Keyboard RGB,US,CUST-1027,2026/01/28,ORD-000027
74.29,3,Ergonomic Office Chair,CA,CUST-1028,2026/01/29,ORD-000028
20.48,1,LED Desk Lamp,DE,CUST-1029,2026/01/30,ORD-000029
34.56,3,Organic Cotton T-Shirt,IN,CUST-1030,2026/01/31,ORD-000030
32.66,2,Leather Wallet Classic,US,CUST-1031,2026/02/01,ORD-000031
79.37,2,Running Shoes Elite,UK,CUST-1032,2026/02/02,ORD-000032
42.0,1,Bluetooth Speaker Mini,DE,CUST-1033,2026/02/03,ORD-000033
21.1,3,Standing Desk Converter,AU,CUST-1034,2026/02/04,ORD-000034
46.85,1,4K Webcam Pro,JP,CUST-1035,2026/02/05,ORD-000035
83.29,1,Smart Watch Series 5,AU,CUST-1036,2026/02/06,ORD-000036
51.59,2,Standing Desk Converter,AU,CUST-1037,2026/02/07,ORD-000037
80.19,2,Air Purifier Small,IN,CUST-1038,2026/02/08,ORD-000038
25.7,1,Air Purifier Small,CA,CUST-1039,2026/02/09,ORD-000039
63.46,1,Smart Watch Series 5,US,CUST-1040,2026/02/10,ORD-000040
40.51,2,Mechanical Keyboard RGB,CA,CUST-1041,2026/02/11,ORD-000041
77.7,2,Yoga Mat Premium,UK,CUST-1042,2026/02/12,ORD-000042
55.59,3,Bluetooth Speaker Mini,BR,CUST-1043,2026/02/13,ORD-000043
83.9,2,Standing Desk Converter,JP,CUST-1044,2026/02/14,ORD-000044
61.23,2,Noise Cancelling Earbuds,JP,CUST-1045,2026/02/15,ORD-000045
58.04,1,Smart Watch Series 5,IN,CUST-1046,2026/02/16,ORD-000046
35.77,2,Ergonomic Office Chair,BR,CUST-1047,2026/02/17,ORD-000047
44.56,1,External SSD 1TB,CN,CUST-1048,2026/02/18,ORD-000048
84.16,2,4K Webcam Pro,FR,CUST-1049,2026/02/19,ORD-000049
85.4,1,Organic Cotton T-Shirt,US,CUST-1050,2026/02/20,ORD-000050
71.47,2,Yoga Mat Premium,BR,CUST-1051,2026/02/21,ORD-000051
29.53,3,Yoga Mat Premium,BR,CUST-1052,2026/02/22,ORD-000052
42.29,2,Air Purifier Small,BR,CUST-1053,2026/02/23,ORD-000053
58.18,1,Ergonomic Office Chair,US,CUST-1054,2026/02/24,ORD-000054
80.29,3,Bluetooth Speaker Mini,IN,CUST-1055,2026/02/25,ORD-000055
84.77,2,Portable Power Bank,CA,CUST-1056,2026/02/26,ORD-000056
33.09,1,Wireless Charger Pad,FR,CUST-1057,2026/02/27,ORD-000057
31.66,3,Monitor Arm Dual,FR,CUST-1058,2026/02/28,ORD-000058
49.95,3,Leather Wallet Classic,CN,CUST-1059,2026/03/01,ORD-000059
53.27,3,Mechanical Keyboard RGB,FR,CUST-1060,2026/03/02,ORD-000060
83.98,1,Mechanical Keyboard RGB,CA,CUST-1061,2026/03/03,ORD-000061
27.54,2,Bluetooth Speaker Mini,AU,CUST-1062,2026/03/04,ORD-000062
41.42,3,Smart Watch Series 5,FR,CUST-1063,2026/03/05,ORD-000063
68.3,1,Standing Desk Converter,FR,CUST-1064,2026/03/06,ORD-000064
61.02,3,4K Webcam Pro,JP,CUST-1065,2026/03/07,ORD-000065
98.43,1,Ergonomic Office Chair,US,CUST-1066,2026/03/08,ORD-000066
37.11,2,Bluetooth Speaker Mini,JP,CUST-1067,2026/03/09,ORD-000067
43.17,1,External SSD 1TB,UK,CUST-1068,2026/03/10,ORD-000068
95.17,3,Ergonomic Office Chair,IN,CUST-1069,2026/03/11,ORD-000069
63.2,1,Bluetooth Speaker Mini,IN,CUST-1070,2026/03/12,ORD-000070
36.34,2,Wireless Mouse Silent,US,CUST-1071,2026/03/13,ORD-000071
85.85,2,Noise Cancelling Earbuds,AU,CUST-1072,2026/03/14,ORD-000072
92.99,1,Running Shoes Elite,BR,CUST-1073,2026/03/15,ORD-000073
57.84,1,4K Webcam Pro,CA,CUST-1074,2026/03/16,ORD-000074
77.97,1,Wireless Charger Pad,UK,CUST-1075,2026/03/17,ORD-000075
