order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,1,106.45,JP
ORD-000002,2026/01/03,CUST-1002,4K Webcam Pro,5,196.57,CA
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,4,37.75,BR
ORD-000004,2026/01/05,CUST-1004,Monitor Arm Dual,4,224.01,CA
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,3,216.37,US
ORD-000006,2026/01/07,CUST-1006,Leather Wallet Classic,5,33.39,JP
ORD-000007,2026/01/08,CUST-1007,Air Purifier Small,5,59.28,AU
ORD-000008,2026/01/09,CUST-1008,Leather Wallet Classic,5,123.43,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,1,112.06,CN
ORD-000010,2026/01/11,CUST-1010,Bluetooth Speaker Mini,2,211.61,CN
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,4,59.12,UK
ORD-000012,2026/01/13,CUST-1012,Wireless Charger Pad,4,223.77,US
ORD-000013,2026/01/14,CUST-1013,Wireless Headphones Pro,4,167.62,AU
ORD-000014,2026/01/15,CUST-1014,Yoga Mat Premium,3,238.0,BR
ORD-000015,2026/01/16,CUST-1015,Noise Cancelling Earbuds,3,196.97,UK
ORD-000016,2026/01/17,CUST-1016,Running Shoes Elite,1,261.12,DE
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,2,145.83,US
ORD-000018,2026/01/19,CUST-1018,Leather Wallet Classic,2,41.25,UK
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,1,281.25,CA
ORD-000020,2026/01/21,CUST-1020,Mechanical Keyboard RGB,5,103.54,FR
ORD-000021,2026/01/22,CUST-1021,Mechanical Keyboard RGB,4,98.31,AU
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,1,213.86,BR
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,2,265.33,FR
ORD-000024,2026/01/25,CUST-1024,Yoga Mat Premium,2,230.15,JP
ORD-000025,2026/01/26,CUST-1025,Smart Watch Series 5,5,191.3,DE
ORD-000026,2026/01/27,CUST-1026,Running Shoes Elite,4,204.3,CN
ORD-000027,2026/01/28,CUST-1027,Organic Cotton T-Shirt,3,206.94,CA
ORD-000028,2026/01/29,CUST-1028,Stainless Steel Water Bottle,1,155.45,CN
ORD-000029,2026/01/30,CUST-1029,Leather Wallet Classic,5,95.51,FR
ORD-000030,2026/01/31,CUST-1030,Wireless Charger Pad,3,269.62,FR
ORD-000031,2026/02/01,CUST-1031,LED Desk Lamp,2,56.49,US
ORD-000032,2026/02/02,CUST-1032,Bluetooth Speaker Mini,1,239.68,IN
ORD-000033,2026/02/03,CUST-1033,4K Webcam Pro,1,188.02,FR
ORD-000034,2026/02/04,CUST-1034,Organic Cotton T-Shirt,3,289.82,FR
ORD-000035,2026/02/05,CUST-1035,Wireless Headphones Pro,4,68.65,UK
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,3,66.19,CA
ORD-000037,2026/02/07,CUST-1037,Smart Watch Series 5,2,53.67,CA
ORD-000038,2026/02/08,CUST-1038,Standing Desk Converter,3,61.28,BR
ORD-000039,2026/02/09,CUST-1039,Monitor Arm Dual,3,282.47,CA
ORD-000040,2026/02/10,CUST-1040,Portable Power Bank,3,99.68,FR
ORD-000041,2026/02/11,CUST-1041,Bluetooth Speaker Mini,5,247.92,BR
ORD-000042,2026/02/12,CUST-1042,Smart Watch Series 5,2,144.28,IN
ORD-000043,2026/02/13,CUST-1043,Standing Desk Converter,1,135.15,FR
ORD-000044,2026/02/14,CUST-1044,Leather Wallet Classic,2,79.96,IN
ORD-000045,2026/02/15,CUST-1045,Leather Wallet Classic,1,144.27,AU
ORD-000046,2026/02/16,CUST-1046,Running Shoes Elite,2,226.73,CN
ORD-000047,2026/02/17,CUST-1047,Wireless Headphones Pro,5,134.29,AU
ORD-000048,2026/02/18,CUST-1048,Organic Cotton T-Shirt,4,170.34,BR
ORD-000049,2026/02/19,CUST-1049,Mechanical Keyboard RGB,4,238.53,AU
ORD-000050,2026/02/20,CUST-1050,Organic Cotton T-Shirt,3,222.82,IN
ORD-000051,2026/02/21,CUST-1051,Wireless Charger Pad,4,135.52,US
ORD-000052,2026/02/22,CUST-1052,Running Shoes Elite,5,285.93,JP
ORD-000053,2026/02/23,CUST-1053,Stainless Steel Water Bottle,2,146.7,CA
ORD-000054,2026/02/24,CUST-1054,Monitor Arm Dual,4,191.56,AU
ORD-000055,2026/02/25,CUST-1055,Wireless Charger Pad,5,105.01,BR
ORD-000056,2026/02/26,CUST-1056,Wireless Headphones Pro,5,157.13,US
ORD-000057,2026/02/27,CUST-1057,Portable Power Bank,3,98.64,FR
ORD-000058,2026/02/28,CUST-1058,External SSD 1TB,5,166.65,CN
ORD-000059,2026/03/01,CUST-1059,Air Purifier Small,4,244.69,BR
ORD-000060,2026/03/02,CUST-1060,Wireless Charger Pad,2,129.62,JP
ORD-000061,2026/03/03,CUST-1061,Running Shoes Elite,2,147.98,IN
ORD-000062,2026/03/04,CUST-1062,Air Purifier Small,3,44.45,CA
ORD-000063,2026/03/05,CUST-1063,Monitor Arm Dual,5,252.75,DE
ORD-000064,2026/03/06,CUST-1064,Portable Power Bank,1,210.28,CA
ORD-000065,2026/03/07,CUST-1065,Wireless Headphones Pro,5,90.16,AU
ORD-000066,2026/03/08,CUST-1066,Organic Cotton T-Shirt,1,281.18,UK
ORD-000067,2026/03/09,CUST-1067,Wireless Charger Pad,5,224.65,AU
ORD-000068,2026/03/10,CUST-1068,Wireless Charger Pad,3,290.44,DE
ORD-000069,2026/03/11,CUST-1069,Standing Desk Converter,3,55.88,DE
ORD-000070,2026/03/12,CUST-1070,Organic Cotton T-Shirt,3,189.08,US
ORD-000071,2026/03/13,CUST-1071,Ergonomic Office Chair,5,31.16,FR
ORD-000072,2026/03/14,CUST-1072,External SSD 1TB,3,167.14,JP
ORD-000073,2026/03/15,CUST-1073,LED Desk Lamp,4,146.98,UK
ORD-000074,2026/03/16,CUST-1074,Noise Cancelling Earbuds,3,196.72,BR
ORD-000075,2026/03/17,CUST-1075,Wireless Headphones Pro,2,150.38,US
ORD-000076,2026/03/18,CUST-1076,Air Purifier Small,4,280.14,FR
ORD-000077,2026/03/19,CUST-1077,Air Purifier Small,3,264.15,BR
ORD-000078,2026/03/20,CUST-1078,Yoga Mat Premium,2,46.53,FR
ORD-000079,2026/03/21,CUST-1079,External SSD 1TB,5,277.55,FR
ORD-000080,2026/03/22,CUST-1080,Noise Cancelling Earbuds,3,112.31,CN
ORD-000081,2026/03/23,CUST-1081,Standing Desk Converter,5,151.55,IN
ORD-000082,2026/03/24,CUST-1082,4K Webcam Pro,2,222.85,CA
ORD-000083,2026/03/25,CUST-1083,Standing Desk Converter,3,97.25,IN
ORD-000084,2026/03/26,CUST-1084,Organic Cotton T-Shirt,5,118.09,US
ORD-000085,2026/03/27,CUST-1085,Running Shoes Elite,4,254.75,UK
ORD-000086,2026/03/28,CUST-1086,4K Webcam Pro,3,99.68,IN
ORD-000087,2026/03/29,CUST-1087,Wireless Charger Pad,3,290.28,UK
ORD-000088,2026/03/30,CUST-1088,Smart Watch Series 5,1,95.47,BR
ORD-000089,2026/03/31,CUST-1089,Stainless Steel Water Bottle,3,223.3,JP
ORD-000090,2026/04/01,CUST-1090,Portable Power Bank,5,105.94,US
ORD-000091,2026/04/02,CUST-1091,4K Webcam Pro,3,106.19,AU
ORD-000092,2026/04/03,CUST-1092,Ergonomic Office Chair,3,134.84,US
ORD-000093,2026/04/04,CUST-1093,Leather Wallet Classic,2,248.0,CN
ORD-000094,2026/04/05,CUST-1094,External SSD 1TB,2,183.37,FR
ORD-000095,2026/04/06,CUST-1095,Running Shoes Elite,2,41.91,JP
ORD-000096,2026/04/07,CUST-1096,Air Purifier Small,3,187.33,JP
ORD-000097,2026/04/08,CUST-1097,Noise Cancelling Earbuds,5,269.16,UK
ORD-000098,2026/04/09,CUST-1098,Ergonomic Office Chair,3,89.47,DE
ORD-000099,2026/04/10,CUST-1099,Wireless Headphones Pro,2,240.06,AU
ORD-000100,2026/04/11,CUST-1100,Portable Power Bank,2,54.4,JP
ORD-000101,2026/04/12,CUST-1101,Monitor Arm Dual,1,56.33,US
ORD-000102,2026/04/13,CUST-1102,4K Webcam Pro,1,297.52,IN
ORD-000103,2026/04/14,CUST-1103,Standing Desk Converter,3,238.63,CA
ORD-000104,2026/04/15,CUST-1104,Monitor Arm Dual,4,180.84,AU
ORD-000105,2026/04/16,CUST-1105,Noise Cancelling Earbuds,1,243.04,US
ORD-000106,2026/04/17,CUST-1106,Noise Cancelling Earbuds,1,48.15,BR
ORD-000107,2026/04/18,CUST-1107,Running Shoes Elite,2,155.7,DE
ORD-000108,2026/04/19,CUST-1108,Noise Cancelling Earbuds,3,170.17,IN
ORD-000109,2026/04/20,CUST-1109,Stainless Steel Water Bottle,1,183.51,CN
ORD-000110,2026/04/21,CUST-1110,LED Desk Lamp,5,187.79,AU
ORD-000111,2026/04/22,CUST-1111,Portable Power Bank,5,214.32,FR
ORD-000112,2026/04/23,CUST-1112,Stainless Steel Water Bottle,4,59.79,FR
ORD-000113,2026/04/24,CUST-1113,Portable Power Bank,3,291.82,FR
ORD-000114,2026/04/25,CUST-1114,Bluetooth Speaker Mini,5,79.27,UK
ORD-000115,2026/04/26,CUST-1115,Wireless Charger Pad,4,100.47,DE
ORD-000116,2026/04/27,CUST-1116,Mechanical Keyboard RGB,5,84.01,AU
ORD-000117,2026/04/28,CUST-1117,Yoga Mat Premium,2,48.34,AU
ORD-000118,2026/04/29,CUST-1118,Portable Power Bank,4,104.34,CA
ORD-000119,2026/04/30,CUST-1119,Bluetooth Speaker Mini,4,91.42,CN
ORD-000120,2026/05/01,CUST-1120,Running Shoes Elite,3,255.01,CN
ORD-000121,2026/05/02,CUST-1121,Yoga Mat Premium,3,231.17,AU
ORD-000122,2026/05/03,CUST-1122,External SSD 1TB,2,218.6,US
ORD-000123,2026/05/04,CUST-1123,Organic Cotton T-Shirt,1,193.75,US
ORD-000124,2026/05/05,CUST-1124,LED Desk Lamp,3,289.11,US
ORD-000125,2026/05/06,CUST-1125,Wireless Mouse Silent,4,143.24,BR
ORD-000126,2026/05/07,CUST-1126,Ergonomic Office Chair,3,185.57,AU
ORD-000127,2026/05/08,CUST-1127,Yoga Mat Premium,4,286.85,US
ORD-000128,2026/05/09,CUST-1128,Stainless Steel Water Bottle,3,108.82,IN
ORD-000129,2026/05/10,CUST-1129,4K Webcam Pro,3,174.7,DE
ORD-000130,2026/05/11,CUST-1130,External SSD 1TB,1,67.07,IN
ORD-000131,2026/05/12,CUST-1131,Mechanical Keyboard RGB,2,153.95,AU
ORD-000132,2026/05/13,CUST-1132,Ergonomic Office Chair,2,234.61,UK
ORD-000133,2026/05/14,CUST-1133,Smart Watch Series 5,2,151.53,CN
ORD-000134,2026/05/15,CUST-1134,Organic Cotton T-Shirt,4,216.68,CN
ORD-000135,2026/05/16,CUST-1135,Bluetooth Speaker Mini,5,132.72,CA
ORD-000136,2026/05/17,CUST-1136,Ergonomic Office Chair,4,95.02,DE
ORD-000137,2026/05/18,CUST-1137,Standing Desk Converter,3,124.23,CA
ORD-000138,2026/05/19,CUST-1138,Standing Desk Converter,3,131.47,JP
ORD-000139,2026/05/20,CUST-1139,Wireless Headphones Pro,2,140.8,CN
ORD-000140,2026/05/21,CUST-1140,4K Webcam Pro,2,191.01,FR
ORD-000141,2026/05/22,CUST-1141,Wireless Headphones Pro,5,230.38,JP
ORD-000142,2026/05/23,CUST-1142,Running Shoes Elite,4,259.33,FR
ORD-000143,2026/05/24,CUST-1143,Wireless Headphones Pro,4,31.43,IN
ORD-000144,2026/05/25,CUST-1144,Smart Watch Series 5,3,194.32,JP
ORD-000145,2026/05/26,CUST-1145,Portable Power Bank,2,161.97,IN
ORD-000146,2026/05/27,CUST-1146,Stainless Steel Water Bottle,2,91.93,AU
ORD-000147,2026/05/28,CUST-1147,Organic Cotton T-Shirt,3,285.96,CA
ORD-000148,2026/05/29,CUST-1148,Wireless Charger Pad,2,118.9,US
ORD-000149,2026/05/30,CUST-1149,Monitor Arm Dual,1,219.99,JP
ORD-000150,2026/05/31,CUST-1150,Standing Desk Converter,5,69.11,FR
ORD-000151,2026/06/01,CUST-1151,Standing Desk Converter,2,250.84,DE
ORD-000152,2026/06/02,CUST-1152,Mechanical Keyboard RGB,5,263.81,IN
ORD-000153,2026/06/03,CUST-1153,Smart Watch Series 5,5,74.34,FR
ORD-000154,2026/06/04,CUST-1154,4K Webcam Pro,3,110.41,US
ORD-000155,2026/06/05,CUST-1155,Air Purifier Small,2,114.97,BR
ORD-000156,2026/06/06,CUST-1156,LED Desk Lamp,1,129.54,FR
ORD-000157,2026/06/07,CUST-1157,Wireless Headphones Pro,5,144.56,UK
ORD-000158,2026/06/08,CUST-1158,Air Purifier Small,4,32.69,CN
ORD-000159,2026/06/09,CUST-1159,Organic Cotton T-Shirt,5,256.24,IN
ORD-000160,2026/06/10,CUST-1160,Organic Cotton T-Shirt,3,31.57,IN
ORD-000161,2026/06/11,CUST-1161,Yoga Mat Premium,5,245.47,FR
ORD-000162,2026/06/12,CUST-1162,Yoga Mat Premium,1,214.09,CN
ORD-000163,2026/06/13,CUST-1163,Air Purifier Small,3,147.73,FR
ORD-000164,2026/06/14,CUST-1164,Air Purifier Small,5,44.96,CN
ORD-000165,2026/06/15,CUST-1165,Mechanical Keyboard RGB,3,126.95,UK
ORD-000166,2026/06/16,CUST-1166,Running Shoes Elite,4,210.84,CA
ORD-000167,2026/06/17,CUST-1167,Bluetooth Speaker Mini,1,241.89,FR
ORD-000168,2026/06/18,CUST-1168,Noise Cancelling Earbuds,4,33.24,JP
ORD-000169,2026/06/19,CUST-1169,LED Desk Lamp,3,92.35,US
ORD-000170,2026/06/20,CUST-1170,Wireless Charger Pad,5,163.05,UK
ORD-000171,2026/06/21,CUST-1171,Air Purifier Small,3,154.28,UK
ORD-000172,2026/06/22,CUST-1172,LED Desk Lamp,1,233.55,IN
ORD-000173,2026/06/23,CUST-1173,Yoga Mat Premium,2,80.05,AU
ORD-000174,2026/06/24,CUST-1174,Portable Power Bank,1,52.8,CA
ORD-000175,2026/06/25,CUST-1175,Smart Watch Series 5,1,202.08,FR
ORD-000176,2026/06/26,CUST-1176,Organic Cotton T-Shirt,3,116.02,AU
ORD-000177,2026/06/27,CUST-1177,Running Shoes Elite,4,67.65,FR
ORD-000178,2026/06/28,CUST-1178,Standing Desk Converter,2,195.12,UK
ORD-000179,2026/06/29,CUST-1179,Wireless Headphones Pro,2,116.76,FR
ORD-000180,2026/01/01,CUST-1180,Smart Watch Series 5,1,167.73,IN
ORD-000181,2026/01/02,CUST-1181,Wireless Charger Pad,1,54.54,UK
ORD-000182,2026/01/03,CUST-1182,Organic Cotton T-Shirt,1,275.74,US
ORD-000183,2026/01/04,CUST-1183,Air Purifier Small,5,161.2,CN
