order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,2,91.08,CA
ORD-000002,2026/01/03,CUST-1002,LED Desk Lamp,3,52.24,UK
ORD-000003,2026/01/04,CUST-1003,External SSD 1TB,3,21.76,JP
ORD-000004,2026/01/05,CUST-1004,Wireless Headphones Pro,2,75.05,CN
ORD-000005,2026/01/06,CUST-1005,Noise Cancelling Earbuds,3,69.91,JP
ORD-000006,2026/01/07,CUST-1006,External SSD 1TB,3,20.03,UK
ORD-000007,2026/01/08,CUST-1007,Monitor Arm Dual,3,30.41,UK
ORD-000008,2026/01/09,CUST-1008,Wireless Headphones Pro,1,123.26,CA
ORD-000009,2026/01/10,CUST-1009,External SSD 1TB,1,57.74,CA
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,2,95.88,US
ORD-000011,2026/01/12,CUST-1011,4K Webcam Pro,2,55.24,BR
ORD-000012,2026/01/13,CUST-1012,Standing Desk Converter,3,61.62,AU
ORD-000013,2026/01/14,CUST-1013,External SSD 1TB,3,145.28,AU
ORD-000014,2026/01/15,CUST-1014,Leather Wallet Classic,2,67.24,CA
ORD-000015,2026/01/16,CUST-1015,Running Shoes Elite,3,118.06,IN
ORD-000016,2026/01/17,CUST-1016,Standing Desk Converter,1,65.36,UK
ORD-000017,2026/01/18,CUST-1017,Ergonomic Office Chair,2,29.65,JP
ORD-000018,2026/01/19,CUST-1018,Monitor Arm Dual,3,129.44,US
ORD-000019,2026/01/20,CUST-1019,Wireless Headphones Pro,3,68.81,FR
ORD-000020,2026/01/21,CUST-1020,Wireless Charger Pad,2,41.77,DE
ORD-000021,2026/01/22,CUST-1021,Standing Desk Converter,3,46.13,BR
ORD-000022,2026/01/23,CUST-1022,Yoga Mat Premium,1,116.79,BR
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,2,132.47,DE
ORD-000024,2026/01/25,CUST-1024,Standing Desk Converter,2,123.68,CN
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,1,111.33,IN
ORD-000026,2026/01/27,CUST-1026,Portable Power Bank,2,102.51,UK
ORD-000027,2026/01/28,CUST-1027,Ergonomic Office Chair,1,67.06,CN
ORD-000028,2026/01/29,CUST-1028,Noise Cancelling Earbuds,2,134.78,BR
ORD-000029,2026/01/30,CUST-1029,Running Shoes Elite,1,100.45,DE
ORD-000030,2026/01/31,CUST-1030,Standing Desk Converter,2,100.45,JP
ORD-000031,2026/02/01,CUST-1031,Portable Power Bank,3,64.37,FR
ORD-000032,2026/02/02,CUST-1032,Organic Cotton T-Shirt,2,89.81,BR
ORD-000033,2026/02/03,CUST-1033,Mechanical Keyboard RGB,2,55.67,FR
