price,quantity,product_name,country,customer_id,date,order_id
39.01,1,4K Webcam Pro,IN,CUST-1001,2026/01/02,ORD-000001
82.25,1,Wireless Headphones Pro,BR,CUST-1002,2026/01/03,ORD-000002
38.1,2,Monitor Arm Dual,IN,CUST-1003,2026/01/04,ORD-000003
75.2,2,Organic Cotton T-Shirt,DE,CUST-1004,2026/01/05,ORD-000004
62.69,1,Yoga Mat Premium,AU,CUST-1005,2026/01/06,ORD-000005
54.18,1,Wireless Charger Pad,JP,CUST-1006,2026/01/07,ORD-000006
61.87,1,LED Desk Lamp,UK,CUST-1007,2026/01/08,ORD-000007
78.28,1,Ergonomic Office Chair,CA,CUST-1008,2026/01/09,ORD-000008
79.18,3,Smart Watch Series 5,DE,CUST-1009,2026/01/10,ORD-000009
34.45,2,Wireless Headphones Pro,CN,CUST-1010,2026/01/11,ORD-000010
20.33,2,Smart Watch Series 5,UK,CUST-1011,2026/01/12,ORD-000011
50.77,2,Yoga Mat Premium,CN,CUST-1012,2026/01/13,ORD-000012
91.48,1,Running Shoes Elite,IN,CUST-1013,2026/01/14,ORD-000013
29.77,3,Yoga Mat Premium,IN,CUST-1014,2026/01/15,ORD-000014
77.09,2,Organic Cotton T-Shirt,FR,CUST-1015,2026/01/16,ORD-000015
70.88,2,External SSD 1TB,BR,CUST-1016,2026/01/17,ORD-000016
70.33,1,Stainless Steel Water Bottle,DE,CUST-1017,2026/01/18,ORD-000017
75.27,1,Standing Desk Converter,FR,CUST-1018,2026/01/19,ORD-000018
84.75,2,Standing Desk Converter,FR,CUST-1019,2026/01/20,ORD-000019
57.37,1,Organic Cotton T-Shirt,AU,CUST-1020,2026/01/21,ORD-000020
81.78,3,Noise Cancelling Earbuds,CN,CUST-1021,2026/01/22,ORD-000021
74.17,1,4K Webcam Pro,JP,CUST-1022,2026/01/23,ORD-000022
31.5,3,Smart Watch Series 5,JP,CUST-1023,2026/01/24,ORD-000023
73.22,3,Yoga Mat Premium,JP,CUST-1024,2026/01/25,ORD-000024
69.73,2,Portable Power Bank,US,CUST-1025,2026/01/26,ORD-000025
72.99,1,Noise Cancelling Earbuds,US,CUST-1026,2026/01/27,ORD-000026
21.09,2,Wireless Mouse Silent,FR,CUST-1027,2026/01/28,ORD-000027
36.46,3,Portable Power Bank,BR,CUST-1028,2026/01/29,ORD-000028
70.66,1,4K Webcam Pro,DE,CUST-1029,2026/01/30,ORD-000029
56.05,1,Portable Power Bank,FR,CUST-1030,2026/01/31,ORD-000030
71.45,3,Noise Cancelling Earbuds,CN,CUST-1031,2026/02/01,ORD-000031
41.33,3,4K Webcam Pro,CA,CUST-1032,2026/02/02,ORD-000032
80.32,2,Wireless Charger Pad,IN,CUST-1033,2026/02/03,ORD-000033
26.79,2,Wireless Mouse Silent,DE,CUST-1034,2026/02/04,ORD-000034
88.45,1,Organic Cotton T-Shirt,CN,CUST-1035,2026/02/05,ORD-000035
33.69,2,Standing Desk Converter,US,CUST-1036,2026/02/06,ORD-000036
24.09,3,Smart Watch Series 5,BR,CUST-1037,2026/02/07,ORD-000037
99.24,2,Stainless Steel Water Bottle,BR,CUST-1038,2026/02/08,ORD-000038
35.61,1,Wireless Mouse Silent,FR,CUST-1039,2026/02/09,ORD-000039
50.15,2,Organic Cotton T-Shirt,JP,CUST-1040,2026/02/10,ORD-000040
72.15,3,Wireless Mouse Silent,FR,CUST-1041,2026/02/11,ORD-000041
43.21,3,Running Shoes Elite,US,CUST-1042,2026/02/12,ORD-000042
28.32,1,LED Desk Lamp,DE,CUST-1043,2026/02/13,ORD-000043
98.05,2,4K Webcam Pro,IN,CUST-1044,2026/02/14,ORD-000044
