order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Mechanical Keyboard RGB,1,12.95,US
ORD-000002,2026/01/03,CUST-1002,Ergonomic Office Chair,1,38.89,US
ORD-000003,2026/01/04,CUST-1003,Running Shoes Elite,1,27.62,US
ORD-000004,2026/01/05,CUST-1004,Leather Wallet Classic,2,24.03,US
ORD-000005,2026/01/06,CUST-1005,Monitor Arm Dual,2,32.52,US
ORD-000006,2026/01/07,CUST-1006,Leather Wallet Classic,1,12.14,US
ORD-000007,2026/01/08,CUST-1007,Bluetooth Speaker Mini,2,27.05,US
ORD-000008,2026/01/09,CUST-1008,Wireless Headphones Pro,1,10.93,US
ORD-000009,2026/01/10,CUST-1009,Stainless Steel Water Bottle,1,13.27,US
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,1,11.72,US
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,2,33.16,US
ORD-000012,2026/01/13,CUST-1012,Stainless Steel Water Bottle,1,17.12,US
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,2,17.89,US
ORD-000014,2026/01/15,CUST-1014,Air Purifier Small,1,19.22,US
ORD-000015,2026/01/16,CUST-1015,Portable Power Bank,2,33.79,US
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,2,12.26,US
ORD-000017,2026/01/18,CUST-1017,Stainless Steel Water Bottle,2,20.61,US
ORD-000018,2026/01/19,CUST-1018,Portable Power Bank,2,20.55,US
ORD-000019,2026/01/20,CUST-1019,Standing Desk Converter,2,24.8,US
ORD-000020,2026/01/21,CUST-1020,Mechanical Keyboard RGB,2,36.22,US
ORD-000021,2026/01/22,CUST-1021,Running Shoes Elite,2,10.44,US
ORD-000022,2026/01/23,CUST-1022,Wireless Mouse Silent,1,15.69,US
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,1,36.12,US
ORD-000024,2026/01/25,CUST-1024,Bluetooth Speaker Mini,2,17.17,US
ORD-000025,2026/01/26,CUST-1025,4K Webcam Pro,2,28.49,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,1,33.68,US
