order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,1,10.51,US
ORD-000002,2026/01/03,CUST-1002,External SSD 1TB,2,30.38,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,1,17.48,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,1,15.73,US
ORD-000005,2026/01/06,CUST-1005,Yoga Mat Premium,1,20.7,US
ORD-000006,2026/01/07,CUST-1006,Ergonomic Office Chair,1,30.37,US
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,2,12.69,US
ORD-000008,2026/01/09,CUST-1008,LED Desk Lamp,2,30.07,US
ORD-000009,2026/01/10,CUST-1009,Noise Cancelling Earbuds,1,35.65,US
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,1,30.54,US
ORD-000011,2026/01/12,CUST-1011,Standing Desk Converter,2,34.73,US
ORD-000012,2026/01/13,CUST-1012,Wireless Mouse Silent,1,20.98,US
ORD-000013,2026/01/14,CUST-1013,Ergonomic Office Chair,2,34.62,US
ORD-000014,2026/01/15,CUST-1014,External SSD 1TB,2,27.81,US
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,1,22.03,US
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,2,25.71,US
ORD-000017,2026/01/18,CUST-1017,Stainless Steel Water Bottle,1,23.97,US
ORD-000018,2026/01/19,CUST-1018,Monitor Arm Dual,1,20.06,US
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,1,30.43,US
ORD-000020,2026/01/21,CUST-1020,4K Webcam Pro,2,36.72,US
ORD-000021,2026/01/22,CUST-1021,Wireless Charger Pad,1,11.4,US
