order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/06/16,CUST-1001,External SSD 1TB,2,92.13,US
ORD-000002,2026/06/17,CUST-1002,Wireless Headphones Pro,2,42.04,US
ORD-000003,2026/06/18,CUST-1003,Ergonomic Office Chair,1,42.5,US
ORD-000004,2026/06/19,CUST-1004,Portable Power Bank,1,45.18,US
ORD-000005,2026/06/20,CUST-1005,Smart Watch Series 5,3,56.5,US
ORD-000006,2026/06/21,CUST-1006,Monitor Arm Dual,2,43.79,US
ORD-000007,2026/06/22,CUST-1007,Standing Desk Converter,2,74.12,US
ORD-000008,2026/06/23,CUST-1008,Smart Watch Series 5,2,33.31,US
ORD-000009,2026/06/24,CUST-1009,Monitor Arm Dual,3,95.55,US
ORD-000010,2026/06/25,CUST-1010,Noise Cancelling Earbuds,1,21.41,US
ORD-000011,2026/06/26,CUST-1011,Wireless Charger Pad,1,44.37,US
ORD-000012,2026/06/27,CUST-1012,Ergonomic Office Chair,1,88.02,US
ORD-000013,2026/06/28,CUST-1013,Organic Cotton T-Shirt,1,45.32,US
