order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Wireless Headphones Pro,1,52.12,US
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,2,81.54,US
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,2,81.1,US
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,3,65.22,US
ORD-000005,2026/01/06,CUST-1005,Portable Power Bank,3,62.78,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,3,21.06,US
ORD-000007,2026/01/08,CUST-1007,Smart Watch Series 5,3,61.6,US
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,3,27.06,US
ORD-000009,2026/01/10,CUST-1009,Wireless Charger Pad,1,81.96,US
ORD-000010,2026/01/11,CUST-1010,Mechanical Keyboard RGB,1,49.34,US
ORD-000011,2026/01/12,CUST-1011,Smart Watch Series 5,1,24.53,US
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,1,72.61,US
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,3,51.59,US
ORD-000014,2026/01/15,CUST-1014,4K Webcam Pro,1,66.68,US
ORD-000015,2026/01/16,CUST-1015,Standing Desk Converter,2,81.76,US
ORD-000016,2026/01/17,CUST-1016,External SSD 1TB,1,54.59,US
ORD-000017,2026/01/18,CUST-1017,LED Desk Lamp,3,65.76,US
ORD-000018,2026/01/19,CUST-1018,Air Purifier Small,3,69.17,US
ORD-000019,2026/01/20,CUST-1019,Wireless Mouse Silent,2,59.27,US
ORD-000020,2026/01/21,CUST-1020,Bluetooth Speaker Mini,2,59.54,US
ORD-000021,2026/01/22,CUST-1021,Smart Watch Series 5,2,59.98,US
ORD-000022,2026/01/23,CUST-1022,Bluetooth Speaker Mini,2,68.92,US
ORD-000023,2026/01/24,CUST-1023,LED Desk Lamp,3,92.1,US
ORD-000024,2026/01/25,CUST-1024,External SSD 1TB,2,88.17,US
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,1,88.96,US
ORD-000026,2026/01/27,CUST-1026,4K Webcam Pro,2,39.86,US
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,1,47.93,US
ORD-000028,2026/01/29,CUST-1028,Stainless Steel Water Bottle,1,72.64,US
ORD-000029,2026/01/30,CUST-1029,Standing Desk Converter,3,36.86,US
ORD-000030,2026/01/31,CUST-1030,Stainless Steel Water Bottle,3,84.76,US
ORD-000031,2026/02/01,CUST-1031,Monitor Arm Dual,3,64.54,US
ORD-000032,2026/02/02,CUST-1032,Wireless Headphones Pro,3,97.53,US
ORD-000033,2026/02/03,CUST-1033,Wireless Headphones Pro,3,94.2,US
ORD-000034,2026/02/04,CUST-1034,Noise Cancelling Earbuds,2,54.72,US
ORD-000035,2026/02/05,CUST-1035,Wireless Mouse Silent,2,61.28,US
ORD-000036,2026/02/06,CUST-1036,Wireless Mouse Silent,1,41.48,US
ORD-000037,2026/02/07,CUST-1037,Leather Wallet Classic,1,20.57,US
ORD-000038,2026/02/08,CUST-1038,Bluetooth Speaker Mini,1,22.26,US
ORD-000039,2026/02/09,CUST-1039,4K Webcam Pro,1,42.96,US
ORD-000040,2026/02/10,CUST-1040,Ergonomic Office Chair,2,96.7,US
ORD-000041,2026/02/11,CUST-1041,4K Webcam Pro,1,99.93,US
ORD-000042,2026/02/12,CUST-1042,LED Desk Lamp,1,36.75,US
ORD-000043,2026/02/13,CUST-1043,Monitor Arm Dual,1,46.88,US
ORD-000044,2026/02/14,CUST-1044,Yoga Mat Premium,3,22.47,US
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,1,87.77,US
ORD-000046,2026/02/16,CUST-1046,Portable Power Bank,2,46.3,US
