ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,2,39.42,US
ORD-000002,2026/01/03,CUST-1002,Leather Wallet Classic,2,23.3,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,2,15.24,US
ORD-000004,2026/01/05,CUST-1004,Standing Desk Converter,1,19.55,US
ORD-000005,2026/01/06,CUST-1005,Smart Watch Series 5,2,14.16,US
ORD-000006,2026/01/07,CUST-1006,Wireless Headphones Pro,2,10.53,US
ORD-000007,2026/01/08,CUST-1007,Bluetooth Speaker Mini,2,18.03,US
ORD-000008,2026/01/09,CUST-1008,External SSD 1TB,1,12.86,US
ORD-000009,2026/01/10,CUST-1009,Wireless Mouse Silent,1,36.18,US
ORD-000010,2026/01/11,CUST-1010,LED Desk Lamp,2,30.58,US
ORD-000011,2026/01/12,CUST-1011,Monitor Arm Dual,1,31.12,US
ORD-000012,2026/01/13,CUST-1012,Portable Power Bank,2,30.3,US
ORD-000013,2026/01/14,CUST-1013,Noise Cancelling Earbuds,1,26.81,US
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,2,16.17,US
ORD-000015,2026/01/16,CUST-1015,Monitor Arm Dual,1,25.49,US
ORD-000016,2026/01/17,CUST-1016,Running Shoes Elite,1,32.76,US
ORD-000017,2026/01/18,CUST-1017,Monitor Arm Dual,1,38.09,US
ORD-000018,2026/01/19,CUST-1018,Yoga Mat Premium,1,38.11,US
ORD-000019,2026/01/20,CUST-1019,Wireless Headphones Pro,2,12.95,US
ORD-000020,2026/01/21,CUST-1020,Bluetooth Speaker Mini,1,18.35,US
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,1,26.2,US
