order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,2,63.2
ORD-000002,2026/01/03,CUST-1002,Wireless Mouse Silent,3,33.15
ORD-000003,2026/01/04,CUST-1003,Standing Desk Converter,1,35.97
ORD-000004,2026/01/05,CUST-1004,Wireless Headphones Pro,1,46.72
ORD-000005,2026/01/06,CUST-1005,Mechanical Keyboard RGB,2,80.97
ORD-000006,2026/01/07,CUST-1006,Bluetooth Speaker Mini,1,89.13
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,1,55.17
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,3,64.64
ORD-000009,2026/01/10,CUST-1009,Monitor Arm Dual,1,82.58
ORD-000010,2026/01/11,CUST-1010,Running Shoes Elite,3,66.74
ORD-000011,2026/01/12,CUST-1011,Portable Power Bank,3,26.39
ORD-000012,2026/01/13,CUST-1012,Stainless Steel Water Bottle,1,68.41
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,1,80.71
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,2,88.73
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,2,31.16
ORD-000016,2026/01/17,CUST-1016,Monitor Arm Dual,2,63.98
ORD-000017,2026/01/18,CUST-1017,External SSD 1TB,1,44.31
ORD-000018,2026/01/19,CUST-1018,Standing Desk Converter,1,82.87
ORD-000019,2026/01/20,CUST-1019,LED Desk Lamp,2,31.27
ORD-000020,2026/01/21,CUST-1020,Wireless Mouse Silent,1,79.28
ORD-000021,2026/01/22,CUST-1021,Wireless Headphones Pro,2,23.63
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,3,27.74
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,2,31.99
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,3,41.89
ORD-000025,2026/01/26,CUST-1025,Yoga Mat Premium,3,38.57
ORD-000026,2026/01/27,CUST-1026,Mechanical Keyboard RGB,3,78.88
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,1,28.19
ORD-000028,2026/01/29,CUST-1028,Portable Power Bank,3,55.04
ORD-000029,2026/01/30,CUST-1029,Stainless Steel Water Bottle,3,40.35
ORD-000030,2026/01/31,CUST-1030,Mechanical Keyboard RGB,1,61.35
ORD-000031,2026/02/01,CUST-1031,Smart Watch Series 5,1,61.56
ORD-000032,2026/02/02,CUST-1032,Running Shoes Elite,1,87.28
ORD-000033,2026/02/03,CUST-1033,Standing Desk Converter,3,81.14
ORD-000034,2026/02/04,CUST-1034,Ergonomic Office Chair,3,95.38
ORD-000035,2026/02/05,CUST-1035,Monitor Arm Dual,1,94.05
ORD-000036,2026/02/06,CUST-1036,4K Webcam Pro,2,81.72
ORD-000037,2026/02/07,CUST-1037,Leather Wallet Classic,3,29.27
ORD-000038,2026/02/08,CUST-1038,Smart Watch Series 5,1,96.16
ORD-000039,2026/02/09,CUST-1039,Portable Power Bank,1,29.35
ORD-000040,2026/02/10,CUST-1040,Stainless Steel Water Bottle,1,45.87
ORD-000041,2026/02/11,CUST-1041,Standing Desk Converter,3,47.86
ORD-000042,2026/02/12,CUST-1042,Running Shoes Elite,2,95.48
ORD-000043,2026/02/13,CUST-1043,Organic Cotton T-Shirt,2,26.37
ORD-000044,2026/02/14,CUST-1044,Standing Desk Converter,1,46.47
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,2,82.28
ORD-000046,2026/02/16,CUST-1046,Ergonomic Office Chair,3,49.65
ORD-000047,2026/02/17,CUST-1047,Leather Wallet Classic,2,86.87
ORD-000048,2026/02/18,CUST-1048,Organic Cotton T-Shirt,3,57.67
ORD-000049,2026/02/19,CUST-1049,Noise Cancelling Earbuds,1,88.06
ORD-000050,2026/02/20,CUST-1050,Yoga Mat Premium,3,36.17
ORD-000051,2026/02/21,CUST-1051,Stainless Steel Water Bottle,1,61.2
ORD-000052,2026/02/22,CUST-1052,Running Shoes Elite,1,71.82
ORD-000053,2026/02/23,CUST-1053,Running Shoes Elite,3,39.44
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,3,87.62
ORD-000055,2026/02/25,CUST-1055,Air Purifier Small,3,95.61
ORD-000056,2026/02/26,CUST-1056,Ergonomic Office Chair,2,68.87
ORD-000057,2026/02/27,CUST-1057,Noise Cancelling Earbuds,2,44.24
ORD-000058,2026/02/28,CUST-1058,Wireless Headphones Pro,3,36.18
ORD-000059,2026/03/01,CUST-1059,Air Purifier Small,3,86.04
ORD-000060,2026/03/02,CUST-1060,Bluetooth Speaker Mini,3,82.71
