order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,4K Webcam Pro,1,68.79
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,2,91.25
ORD-000003,2026/01/04,CUST-1003,Portable Power Bank,2,53.77
ORD-000004,2026/01/05,CUST-1004,Yoga Mat Premium,1,73.34
ORD-000005,2026/01/06,CUST-1005,Smart Watch Series 5,2,72.55
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,2,99.03
ORD-000007,2026/01/08,CUST-1007,Air Purifier Small,2,53.07
ORD-000008,2026/01/09,CUST-1008,Portable Power Bank,2,85.38
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,2,68.77
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,1,22.25
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,2,93.71
ORD-000012,2026/01/13,CUST-1012,Wireless Mouse Silent,2,87.29
ORD-000013,2026/01/14,CUST-1013,Wireless Mouse Silent,1,88.29
ORD-000014,2026/01/15,CUST-1014,Organic Cotton T-Shirt,1,20.61
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,1,84.78
ORD-000016,2026/01/17,CUST-1016,Noise Cancelling Earbuds,1,55.4
ORD-000017,2026/01/18,CUST-1017,Air Purifier Small,2,59.59
ORD-000018,2026/01/19,CUST-1018,LED Desk Lamp,1,79.33
ORD-000019,2026/01/20,CUST-1019,Wireless Headphones Pro,2,74.91
ORD-000020,2026/01/21,CUST-1020,Yoga Mat Premium,3,72.7
ORD-000021,2026/01/22,CUST-1021,External SSD 1TB,3,40.39
ORD-000022,2026/01/23,CUST-1022,Stainless Steel Water Bottle,3,80.71
ORD-000023,2026/01/24,CUST-1023,Bluetooth Speaker Mini,1,45.43
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,1,80.28
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,1,98.38
ORD-000026,2026/01/27,CUST-1026,Wireless Charger Pad,2,25.04
ORD-000027,2026/01/28,CUST-1027,Ergonomic Office Chair,3,24.89
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,3,91.3
ORD-000029,2026/01/30,CUST-1029,Stainless Steel Water Bottle,1,53.35
ORD-000030,2026/01/31,CUST-1030,Bluetooth Speaker Mini,2,49.51
ORD-000031,2026/02/01,CUST-1031,Wireless Headphones Pro,1,93.95
ORD-000032,2026/02/02,CUST-1032,Ergonomic Office Chair,3,26.47
ORD-000033,2026/02/03,CUST-1033,LED Desk Lamp,2,82.7
ORD-000034,2026/02/04,CUST-1034,External SSD 1TB,1,35.21
ORD-000035,2026/02/05,CUST-1035,4K Webcam Pro,2,64.81
ORD-000036,2026/02/06,CUST-1036,Ergonomic Office Chair,3,97.36
ORD-000037,2026/02/07,CUST-1037,Monitor Arm Dual,1,40.33
ORD-000038,2026/02/08,CUST-1038,Air Purifier Small,3,39.67
ORD-000039,2026/02/09,CUST-1039,Running Shoes Elite,2,36.93
ORD-000040,2026/02/10,CUST-1040,External SSD 1TB,3,85.82
ORD-000041,2026/02/11,CUST-1041,Portable Power Bank,2,22.3
ORD-000042,2026/02/12,CUST-1042,Running Shoes Elite,2,25.1
ORD-000043,2026/02/13,CUST-1043,Stainless Steel Water Bottle,2,95.15
ORD-000044,2026/02/14,CUST-1044,Yoga Mat Premium,1,77.51
ORD-000045,2026/02/15,CUST-1045,Bluetooth Speaker Mini,1,81.8
ORD-000046,2026/02/16,CUST-1046,Stainless Steel Water Bottle,2,53.55
ORD-000047,2026/02/17,CUST-1047,Leather Wallet Classic,3,79.1
ORD-000048,2026/02/18,CUST-1048,Stainless Steel Water Bottle,2,40.69
ORD-000049,2026/02/19,CUST-1049,Monitor Arm Dual,1,64.17
ORD-000050,2026/02/20,CUST-1050,Noise Cancelling Earbuds,1,60.31
ORD-000051,2026/02/21,CUST-1051,Running Shoes Elite,2,69.88
ORD-000052,2026/02/22,CUST-1052,Portable Power Bank,2,52.05
ORD-000053,2026/02/23,CUST-1053,External SSD 1TB,2,35.22
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,2,69.86
ORD-000055,2026/02/25,CUST-1055,Stainless Steel Water Bottle,1,78.95
ORD-000056,2026/02/26,CUST-1056,Running Shoes Elite,1,34.6
ORD-000057,2026/02/27,CUST-1057,Wireless Mouse Silent,2,74.39
ORD-000058,2026/02/28,CUST-1058,Wireless Mouse Silent,2,53.51
ORD-000059,2026/03/01,CUST-1059,Portable Power Bank,2,51.28
ORD-000060,2026/03/02,CUST-1060,Wireless Charger Pad,2,77.69
ORD-000061,2026/03/03,CUST-1061,Leather Wallet Classic,1,37.11
ORD-000062,2026/03/04,CUST-1062,Wireless Headphones Pro,1,82.58
ORD-000063,2026/03/05,CUST-1063,Yoga Mat Premium,3,90.36
ORD-000064,2026/03/06,CUST-1064,Ergonomic Office Chair,1,83.62
ORD-000065,2026/03/07,CUST-1065,External SSD 1TB,2,31.28
ORD-000066,2026/03/08,CUST-1066,Leather Wallet Classic,1,64.13
ORD-000067,2026/03/09,CUST-1067,Monitor Arm Dual,3,77.64
ORD-000068,2026/03/10,CUST-1068,Stainless Steel Water Bottle,1,61.34
ORD-000069,2026/03/11,CUST-1069,4K Webcam Pro,3,66.67
ORD-000070,2026/03/12,CUST-1070,Ergonomic Office Chair,1,55.62
ORD-000071,2026/03/13,CUST-1071,Mechanical Keyboard RGB,3,57.57
ORD-000072,2026/03/14,CUST-1072,Wireless Headphones Pro,2,83.89
ORD-000073,2026/03/15,CUST-1073,Wireless Charger Pad,1,24.39
ORD-000074,2026/03/16,CUST-1074,Leather Wallet Classic,3,46.17
ORD-000075,2026/03/17,CUST-1075,Stainless Steel Water Bottle,3,58.57
