order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,3,216.12,UK
ORD-000002,2026/01/03,CUST-1002,Bluetooth Speaker Mini,3,299.75,FR
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,4,114.95,CA
ORD-000004,2026/01/05,CUST-1004,Bluetooth Speaker Mini,5,212.26,US
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,2,100.55,JP
ORD-000006,2026/01/07,CUST-1006,Portable Power Bank,1,154.41,IN
ORD-000007,2026/01/08,CUST-1007,Air Purifier Small,5,281.84,UK
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,3,161.73,CN
ORD-000009,2026/01/10,CUST-1009,Wireless Mouse Silent,4,287.41,CA
ORD-000010,2026/01/11,CUST-1010,Wireless Mouse Silent,2,298.89,BR
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,4,62.67,AU
ORD-000012,2026/01/13,CUST-1012,Organic Cotton T-Shirt,5,251.16,FR
ORD-000013,2026/01/14,CUST-1013,Organic Cotton T-Shirt,1,54.49,CN
ORD-000014,2026/01/15,CUST-1014,Leather Wallet Classic,4,39.75,FR
ORD-000015,2026/01/16,CUST-1015,Portable Power Bank,5,99.77,US
ORD-000016,2026/01/17,CUST-1016,External SSD 1TB,5,96.58,BR
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,2,84.64,DE
ORD-000018,2026/01/19,CUST-1018,Smart Watch Series 5,3,96.71,US
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,4,222.18,JP
ORD-000020,2026/01/21,CUST-1020,Monitor Arm Dual,5,208.61,BR
ORD-000021,2026/01/22,CUST-1021,Running Shoes Elite,3,187.56,UK
ORD-000022,2026/01/23,CUST-1022,Organic Cotton T-Shirt,1,54.72,CN
ORD-000023,2026/01/24,CUST-1023,Stainless Steel Water Bottle,4,80.45,BR
ORD-000024,2026/01/25,CUST-1024,LED Desk Lamp,4,73.13,US
ORD-000025,2026/01/26,CUST-1025,Wireless Mouse Silent,4,40.61,CA
ORD-000026,2026/01/27,CUST-1026,External SSD 1TB,1,65.22,CA
ORD-000027,2026/01/28,CUST-1027,LED Desk Lamp,3,277.25,US
ORD-000028,2026/01/29,CUST-1028,Portable Power Bank,3,180.24,US
ORD-000029,2026/01/30,CUST-1029,Monitor Arm Dual,2,50.57,AU
ORD-000030,2026/01/31,CUST-1030,Ergonomic Office Chair,2,194.99,CA
ORD-000031,2026/02/01,CUST-1031,Monitor Arm Dual,1,198.99,DE
ORD-000032,2026/02/02,CUST-1032,Yoga Mat Premium,3,48.68,FR
ORD-000033,2026/02/03,CUST-1033,Monitor Arm Dual,3,97.06,US
ORD-000034,2026/02/04,CUST-1034,Yoga Mat Premium,3,215.9,UK
ORD-000035,2026/02/05,CUST-1035,External SSD 1TB,4,118.64,FR
ORD-000036,2026/02/06,CUST-1036,Ergonomic Office Chair,4,262.69,CN
ORD-000037,2026/02/07,CUST-1037,Noise Cancelling Earbuds,4,255.97,AU
ORD-000038,2026/02/08,CUST-1038,Monitor Arm Dual,4,178.0,DE
ORD-000039,2026/02/09,CUST-1039,Air Purifier Small,3,142.11,AU
ORD-000040,2026/02/10,CUST-1040,Air Purifier Small,2,274.51,JP
ORD-000041,2026/02/11,CUST-1041,4K Webcam Pro,2,173.63,FR
ORD-000042,2026/02/12,CUST-1042,Bluetooth Speaker Mini,3,105.69,UK
