order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Noise Cancelling Earbuds,1,112.17,AU
ORD-000002,2026/01/03,CUST-1002,Noise Cancelling Earbuds,2,38.03,BR
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,2,79.22,CA
ORD-000004,2026/01/05,CUST-1004,Noise Cancelling Earbuds,1,54.81,UK
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,3,147.03,AU
ORD-000006,2026/01/07,CUST-1006,Organic Cotton T-Shirt,2,79.73,CA
ORD-000007,2026/01/08,CUST-1007,Running Shoes Elite,3,47.95,JP
ORD-000008,2026/01/09,CUST-1008,4K Webcam Pro,2,121.14,IN
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,1,80.85,BR
ORD-000010,2026/01/11,CUST-1010,LED Desk Lamp,2,67.81,FR
ORD-000011,2026/01/12,CUST-1011,Wireless Charger Pad,3,105.1,BR
ORD-000012,2026/01/13,CUST-1012,Yoga Mat Premium,3,49.13,JP
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,1,145.87,UK
ORD-000014,2026/01/15,CUST-1014,Standing Desk Converter,1,93.63,FR
ORD-000015,2026/01/16,CUST-1015,Ergonomic Office Chair,1,91.57,JP
ORD-000016,2026/01/17,CUST-1016,Standing Desk Converter,1,65.45,IN
ORD-000017,2026/01/18,CUST-1017,Wireless Headphones Pro,2,86.33,JP
ORD-000018,2026/01/19,CUST-1018,LED Desk Lamp,1,32.94,JP
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,2,117.73,CA
ORD-000020,2026/01/21,CUST-1020,Portable Power Bank,3,129.24,IN
ORD-000021,2026/01/22,CUST-1021,Ergonomic Office Chair,3,76.87,US
ORD-000022,2026/01/23,CUST-1022,Portable Power Bank,2,103.29,US
ORD-000023,2026/01/24,CUST-1023,Bluetooth Speaker Mini,1,114.69,AU
ORD-000024,2026/01/25,CUST-1024,Standing Desk Converter,3,128.67,FR
ORD-000025,2026/01/26,CUST-1025,Yoga Mat Premium,1,44.96,US
ORD-000026,2026/01/27,CUST-1026,4K Webcam Pro,3,125.25,JP
ORD-000027,2026/01/28,CUST-1027,Standing Desk Converter,1,89.7,IN
ORD-000028,2026/01/29,CUST-1028,Mechanical Keyboard RGB,1,26.79,CA
ORD-000029,2026/01/30,CUST-1029,Running Shoes Elite,1,114.16,AU
ORD-000030,2026/01/31,CUST-1030,Ergonomic Office Chair,3,88.92,US
ORD-000031,2026/02/01,CUST-1031,Noise Cancelling Earbuds,1,126.35,US
ORD-000032,2026/02/02,CUST-1032,Wireless Mouse Silent,2,87.05,AU
ORD-000033,2026/02/03,CUST-1033,Wireless Mouse Silent,3,39.2,CN
ORD-000034,2026/02/04,CUST-1034,Bluetooth Speaker Mini,3,125.95,BR
ORD-000035,2026/02/05,CUST-1035,Organic Cotton T-Shirt,3,90.29,FR
ORD-000036,2026/02/06,CUST-1036,Noise Cancelling Earbuds,1,20.64,UK
ORD-000037,2026/02/07,CUST-1037,Smart Watch Series 5,2,58.38,AU
ORD-000038,2026/02/08,CUST-1038,Organic Cotton T-Shirt,1,68.19,JP
ORD-000039,2026/02/09,CUST-1039,Running Shoes Elite,3,144.79,DE
ORD-000040,2026/02/10,CUST-1040,Wireless Charger Pad,2,141.04,CN
ORD-000041,2026/02/11,CUST-1041,Wireless Charger Pad,3,87.11,DE
ORD-000042,2026/02/12,CUST-1042,Monitor Arm Dual,1,98.85,US
ORD-000043,2026/02/13,CUST-1043,Ergonomic Office Chair,2,54.03,IN
ORD-000044,2026/02/14,CUST-1044,Wireless Headphones Pro,3,121.69,FR
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,2,110.59,JP
ORD-000046,2026/02/16,CUST-1046,Smart Watch Series 5,2,56.97,CA
ORD-000047,2026/02/17,CUST-1047,Standing Desk Converter,1,138.78,CA
ORD-000048,2026/02/18,CUST-1048,Wireless Headphones Pro,2,79.3,IN
ORD-000049,2026/02/19,CUST-1049,Organic Cotton T-Shirt,1,36.51,JP
ORD-000050,2026/02/20,CUST-1050,Air Purifier Small,3,136.1,DE
ORD-000051,2026/02/21,CUST-1051,Mechanical Keyboard RGB,3,94.85,US
ORD-000052,2026/02/22,CUST-1052,Portable Power Bank,2,130.85,CA
ORD-000053,2026/02/23,CUST-1053,4K Webcam Pro,2,141.0,AU
ORD-000054,2026/02/24,CUST-1054,Portable Power Bank,2,69.07,UK
ORD-000055,2026/02/25,CUST-1055,Running Shoes Elite,1,115.67,FR
