order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Organic Cotton T-Shirt,2,39.27,US
ORD-000002,2026/01/03,CUST-1002,4K Webcam Pro,1,23.78,US
ORD-000003,2026/01/04,CUST-1003,Yoga Mat Premium,1,10.29,US
ORD-000004,2026/01/05,CUST-1004,Air Purifier Small,1,26.18,US
ORD-000005,2026/01/06,CUST-1005,External SSD 1TB,2,34.69,US
ORD-000006,2026/01/07,CUST-1006,Smart Watch Series 5,2,27.8,US
ORD-000007,2026/01/08,CUST-1007,Mechanical Keyboard RGB,2,10.98,US
ORD-000008,2026/01/09,CUST-1008,Stainless Steel Water Bottle,1,19.38,US
ORD-000009,2026/01/10,CUST-1009,Stainless Steel Water Bottle,1,34.2,US
ORD-000010,2026/01/11,CUST-1010,External SSD 1TB,1,35.66,US
ORD-000011,2026/01/12,CUST-1011,Leather Wallet Classic,1,35.28,US
ORD-000012,2026/01/13,CUST-1012,Stainless Steel Water Bottle,2,27.42,US
ORD-000013,2026/01/14,CUST-1013,Wireless Charger Pad,2,36.45,US
ORD-000014,2026/01/15,CUST-1014,Wireless Mouse Silent,1,10.84,US
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,1,19.47,US
ORD-000016,2026/01/17,CUST-1016,Ergonomic Office Chair,1,13.57,US
ORD-000017,2026/01/18,CUST-1017,Ergonomic Office Chair,1,32.35,US
ORD-000018,2026/01/19,CUST-1018,Smart Watch Series 5,2,34.48,US
