order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,2,148.9,UK
ORD-000002,2026/01/03,CUST-1002,Yoga Mat Premium,1,116.56,JP
ORD-000003,2026/01/04,CUST-1003,Standing Desk Converter,2,23.51,CA
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,3,138.52,CN
ORD-000005,2026/01/06,CUST-1005,Monitor Arm Dual,1,86.36,US
ORD-000006,2026/01/07,CUST-1006,4K Webcam Pro,3,79.76,DE
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,1,80.67,CA
ORD-000008,2026/01/09,CUST-1008,Portable Power Bank,1,126.85,AU
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,2,99.4,US
ORD-000010,2026/01/11,CUST-1010,4K Webcam Pro,2,88.89,CA
ORD-000011,2026/01/12,CUST-1011,Mechanical Keyboard RGB,1,97.67,CN
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones Pro,1,69.18,IN
ORD-000013,2026/01/14,CUST-1013,Running Shoes Elite,3,92.98,JP
ORD-000014,2026/01/15,CUST-1014,Wireless Charger Pad,2,92.02,FR
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,3,99.93,BR
ORD-000016,2026/01/17,CUST-1016,Stainless Steel Water Bottle,1,109.03,FR
ORD-000017,2026/01/18,CUST-1017,Running Shoes Elite,2,32.0,JP
ORD-000018,2026/01/19,CUST-1018,Wireless Headphones Pro,3,40.5,BR
ORD-000019,2026/01/20,CUST-1019,Running Shoes Elite,2,119.75,IN
ORD-000020,2026/01/21,CUST-1020,Noise Cancelling Earbuds,3,86.8,US
ORD-000021,2026/01/22,CUST-1021,Noise Cancelling Earbuds,2,34.62,UK
ORD-000022,2026/01/23,CUST-1022,Smart Watch Series 5,1,119.47,BR
ORD-000023,2026/01/24,CUST-1023,Wireless Mouse Silent,1,145.77,BR
ORD-000024,2026/01/25,CUST-1024,Wireless Charger Pad,2,69.03,IN
ORD-000025,2026/01/26,CUST-1025,Stainless Steel Water Bottle,3,46.85,CN
ORD-000026,2026/01/27,CUST-1026,Stainless Steel Water Bottle,3,139.04,AU
ORD-000027,2026/01/28,CUST-1027,4K Webcam Pro,3,89.36,US
ORD-000028,2026/01/29,CUST-1028,External SSD 1TB,3,144.91,JP
ORD-000029,2026/01/30,CUST-1029,4K Webcam Pro,2,110.74,BR
ORD-000030,2026/01/31,CUST-1030,Bluetooth Speaker Mini,2,95.41,IN
ORD-000031,2026/02/01,CUST-1031,Bluetooth Speaker Mini,3,36.6,UK
ORD-000032,2026/02/02,CUST-1032,Monitor Arm Dual,1,124.68,CN
ORD-000033,2026/02/03,CUST-1033,Leather Wallet Classic,3,67.73,JP
ORD-000034,2026/02/04,CUST-1034,Ergonomic Office Chair,2,70.76,US
ORD-000035,2026/02/05,CUST-1035,Air Purifier Small,3,113.04,JP
ORD-000036,2026/02/06,CUST-1036,Bluetooth Speaker Mini,2,110.54,JP
