order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Portable Power Bank,1,33.32,US
ORD-000002,2026/01/03,CUST-1002,Leather Wallet Classic,1,13.13,US
ORD-000003,2026/01/04,CUST-1003,Mechanical Keyboard RGB,2,33.87,US
ORD-000004,2026/01/05,CUST-1004,Running Shoes Elite,1,39.42,US
ORD-000005,2026/01/06,CUST-1005,Noise Cancelling Earbuds,1,20.59,US
ORD-000006,2026/01/07,CUST-1006,Monitor Arm Dual,1,16.26,US
ORD-000007,2026/01/08,CUST-1007,Running Shoes Elite,2,28.56,US
ORD-000008,2026/01/09,CUST-1008,Ergonomic Office Chair,1,19.71,US
ORD-000009,2026/01/10,CUST-1009,Smart Watch Series 5,1,29.32,US
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,1,28.01,US
ORD-000011,2026/01/12,CUST-1011,Wireless Mouse Silent,2,26.11,US
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,1,22.62,US
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,1,31.48,US
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,1,28.31,US
ORD-000015,2026/01/16,CUST-1015,Yoga Mat Premium,1,25.32,US
ORD-000016,2026/01/17,CUST-1016,Leather Wallet Classic,2,16.83,US
