order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Smart Watch Series 5,1,55.48,US
ORD-000002,2026/01/03,CUST-1002,Portable Power Bank,2,89.87,US
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,2,68.33,US
ORD-000004,2026/01/05,CUST-1004,Stainless Steel Water Bottle,2,36.55,US
ORD-000005,2026/01/06,CUST-1005,Running Shoes Elite,3,48.51,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,1,54.61,US
ORD-000007,2026/01/08,CUST-1007,Leather Wallet Classic,1,86.29,US
ORD-000008,2026/01/09,CUST-1008,Yoga Mat Premium,2,35.02,US
ORD-000009,2026/01/10,CUST-1009,Yoga Mat Premium,2,78.71,US
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,3,24.43,US
ORD-000011,2026/01/12,CUST-1011,Wireless Mouse Silent,2,89.51,US
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,1,47.0,US
ORD-000013,2026/01/14,CUST-1013,Monitor Arm Dual,3,66.15,US
ORD-000014,2026/01/15,CUST-1014,Running Shoes Elite,2,72.94,US
ORD-000015,2026/01/16,CUST-1015,Noise Cancelling Earbuds,2,88.04,US
ORD-000016,2026/01/17,CUST-1016,Wireless Charger Pad,3,54.0,US
ORD-000017,2026/01/18,CUST-1017,Standing Desk Converter,1,88.68,US
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,2,60.0,US
ORD-000019,2026/01/20,CUST-1019,Running Shoes Elite,1,83.29,US
ORD-000020,2026/01/21,CUST-1020,Stainless Steel Water Bottle,1,84.51,US
ORD-000021,2026/01/22,CUST-1021,Standing Desk Converter,3,78.33,US
ORD-000022,2026/01/23,CUST-1022,Portable Power Bank,1,53.35,US
ORD-000023,2026/01/24,CUST-1023,Portable Power Bank,1,35.34,US
ORD-000024,2026/01/25,CUST-1024,4K Webcam Pro,3,32.92,US
ORD-000025,2026/01/26,CUST-1025,Monitor Arm Dual,2,80.93,US
ORD-000026,2026/01/27,CUST-1026,Noise Cancelling Earbuds,3,89.66,US
ORD-000027,2026/01/28,CUST-1027,Ergonomic Office Chair,2,33.75,US
ORD-000028,2026/01/29,CUST-1028,Portable Power Bank,2,78.56,US
ORD-000029,2026/01/30,CUST-1029,Monitor Arm Dual,3,85.4,US
ORD-000030,2026/01/31,CUST-1030,4K Webcam Pro,3,57.36,US
ORD-000031,2026/02/01,CUST-1031,Bluetooth Speaker Mini,2,66.39,US
ORD-000032,2026/02/02,CUST-1032,Noise Cancelling Earbuds,1,73.1,US
ORD-000033,2026/02/03,CUST-1033,Yoga Mat Premium,2,20.62,US
ORD-000034,2026/02/04,CUST-1034,Stainless Steel Water Bottle,3,70.37,US
ORD-000035,2026/02/05,CUST-1035,Ergonomic Office Chair,1,28.7,US
ORD-000036,2026/02/06,CUST-1036,Smart Watch Series 5,3,86.26,US
ORD-000037,2026/02/07,CUST-1037,Monitor Arm Dual,2,93.47,US
ORD-000038,2026/02/08,CUST-1038,Ergonomic Office Chair,1,63.14,US
ORD-000039,2026/02/09,CUST-1039,Ergonomic Office Chair,2,86.07,US
ORD-000040,2026/02/10,CUST-1040,Stainless Steel Water Bottle,1,70.83,US
ORD-000041,2026/02/11,CUST-1041,LED Desk Lamp,1,49.85,US
ORD-000042,2026/02/12,CUST-1042,Air Purifier Small,1,64.03,US
ORD-000043,2026/02/13,CUST-1043,Monitor Arm Dual,1,31.11,US
ORD-000044,2026/02/14,CUST-1044,Monitor Arm Dual,2,90.08,US
ORD-000045,2026/02/15,CUST-1045,Standing Desk Converter,3,99.73,US
ORD-000046,2026/02/16,CUST-1046,Running Shoes Elite,2,45.19,US
ORD-000047,2026/02/17,CUST-1047,Smart Watch Series 5,1,88.9,US
ORD-000048,2026/02/18,CUST-1048,Standing Desk Converter,1,43.74,US
ORD-000049,2026/02/19,CUST-1049,Air Purifier Small,2,89.04,US
ORD-000050,2026/02/20,CUST-1050,Bluetooth Speaker Mini,3,44.5,US
ORD-000051,2026/02/21,CUST-1051,4K Webcam Pro,1,54.2,US
ORD-000052,2026/02/22,CUST-1052,Yoga Mat Premium,3,77.09,US
ORD-000053,2026/02/23,CUST-1053,Monitor Arm Dual,1,48.87,US
ORD-000054,2026/02/24,CUST-1054,LED Desk Lamp,2,31.8,US
ORD-000055,2026/02/25,CUST-1055,Bluetooth Speaker Mini,1,83.23,US
ORD-000056,2026/02/26,CUST-1056,4K Webcam Pro,2,58.93,US
ORD-000057,2026/02/27,CUST-1057,Bluetooth Speaker Mini,2,90.7,US
ORD-000058,2026/02/28,CUST-1058,4K Webcam Pro,1,32.78,US
ORD-000059,2026/03/01,CUST-1059,Leather Wallet Classic,2,54.12,US
ORD-000060,2026/03/02,CUST-1060,Portable Power Bank,3,56.96,US
