price,quantity,product_name,country,customer_id,date,order_id
73.02,1,Ergonomic Office Chair,FR,CUST-1001,2026/01/02,ORD-000001
62.51,1,Air Purifier Small,DE,CUST-1002,2026/01/03,ORD-000002
36.58,1,4K Webcam Pro,CN,CUST-1003,2026/01/04,ORD-000003
58.53,1,Leather Wallet Classic,IN,CUST-1004,2026/01/05,ORD-000004
73.52,2,Running Shoes Elite,IN,CUST-1005,2026/01/06,ORD-000005
79.32,2,Portable Power Bank,FR,CUST-1006,2026/01/07,ORD-000006
84.35,2,Wireless Mouse Silent,UK,CUST-1007,2026/01/08,ORD-000007
52.41,3,Running Shoes Elite,UK,CUST-1008,2026/01/09,ORD-000008
61.83,3,Monitor Arm Dual,IN,CUST-1009,2026/01/10,ORD-000009
51.39,1,Wireless Mouse Silent,DE,CUST-1010,2026/01/11,ORD-000010
72.09,1,Running Shoes Elite,BR,CUST-1011,2026/01/12,ORD-000011
93.81,3,Yoga Mat Premium,IN,CUST-1012,2026/01/13,ORD-000012
98.49,2,Ergonomic Office Chair,BR,CUST-1013,2026/01/14,ORD-000013
87.49,3,Noise Cancelling Earbuds,DE,CUST-1014,2026/01/15,ORD-000014
29.12,2,Stainless Steel Water Bottle,AU,CUST-1015,2026/01/16,ORD-000015
28.96,2,Noise Cancelling Earbuds,CN,CUST-1016,2026/01/17,ORD-000016
45.82,1,Wireless Mouse Silent,FR,CUST-1017,2026/01/18,ORD-000017
64.99,2,Leather Wallet Classic,FR,CUST-1018,2026/01/19,ORD-000018
40.84,3,Yoga Mat Premium,US,CUST-1019,2026/01/20,ORD-000019
53.47,1,4K Webcam Pro,UK,CUST-1020,2026/01/21,ORD-000020
52.62,3,Stainless Steel Water Bottle,CN,CUST-1021,2026/01/22,ORD-000021
93.92,3,LED Desk Lamp,AU,CUST-1022,2026/01/23,ORD-000022
76.78,2,Wireless Headphones Pro,AU,CUST-1023,2026/01/24,ORD-000023
52.52,3,Wireless Charger Pad,DE,CUST-1024,2026/01/25,ORD-000024
51.46,2,Air Purifier Small,DE,CUST-1025,2026/01/26,ORD-000025
