price,quantity,product_name,country,customer_id,date,order_id
87.36,3,Monitor Arm Dual,UK,CUST-1001,2026/01/02,ORD-000001
61.53,1,Portable Power Bank,UK,CUST-1002,2026/01/03,ORD-000002
97.65,1,Leather Wallet Classic,CA,CUST-1003,2026/01/04,ORD-000003
36.91,2,Smart Watch Series 5,BR,CUST-1004,2026/01/05,ORD-000004
37.39,2,Noise Cancelling Earbuds,CA,CUST-1005,2026/01/06,ORD-000005
74.52,1,Ergonomic Office Chair,IN,CUST-1006,2026/01/07,ORD-000006
58.18,1,Smart Watch Series 5,UK,CUST-1007,2026/01/08,ORD-000007
80.5,1,Running Shoes Elite,UK,CUST-1008,2026/01/09,ORD-000008
80.3,1,Organic Cotton T-Shirt,JP,CUST-1009,2026/01/10,ORD-000009
47.05,3,Monitor Arm Dual,CN,CUST-1010,2026/01/11,ORD-000010
90.46,3,Wireless Headphones Pro,JP,CUST-1011,2026/01/12,ORD-000011
66.4,3,Yoga Mat Premium,IN,CUST-1012,2026/01/13,ORD-000012
46.31,2,Smart Watch Series 5,US,CUST-1013,2026/01/14,ORD-000013
33.62,2,Stainless Steel Water Bottle,CN,CUST-1014,2026/01/15,ORD-000014
43.71,1,LED Desk Lamp,CA,CUST-1015,2026/01/16,ORD-000015
38.75,1,Noise Cancelling Earbuds,JP,CUST-1016,2026/01/17,ORD-000016
64.11,1,Running Shoes Elite,UK,CUST-1017,2026/01/18,ORD-000017
22.52,1,Mechanical Keyboard RGB,BR,CUST-1018,2026/01/19,ORD-000018
41.08,1,Wireless Charger Pad,AU,CUST-1019,2026/01/20,ORD-000019
73.5,1,Organic Cotton T-Shirt,CA,CUST-1020,2026/01/21,ORD-000020
54.52,3,4K Webcam Pro,FR,CUST-1021,2026/01/22,ORD-000021
59.99,1,External SSD 1TB,CN,CUST-1022,2026/01/23,ORD-000022
41.47,2,LED Desk Lamp,UK,CUST-1023,2026/01/24,ORD-000023
72.52,2,Stainless Steel Water Bottle,AU,CUST-1024,2026/01/25,ORD-000024
68.78,3,Wireless Charger Pad,CN,CUST-1025,2026/01/26,ORD-000025
82.66,1,Stainless Steel Water Bottle,US,CUST-1026,2026/01/27,ORD-000026
93.21,3,Wireless Mouse Silent,UK,CUST-1027,2026/01/28,ORD-000027
80.67,3,Ergonomic Office Chair,IN,CUST-1028,2026/01/29,ORD-000028
68.48,3,External SSD 1TB,US,CUST-1029,2026/01/30,ORD-000029
56.93,3,Wireless Headphones Pro,CA,CUST-1030,2026/01/31,ORD-000030
67.0,2,Mechanical Keyboard RGB,UK,CUST-1031,2026/02/01,ORD-000031
23.11,2,Smart Watch Series 5,JP,CUST-1032,2026/02/02,ORD-000032
49.65,3,Running Shoes Elite,CA,CUST-1033,2026/02/03,ORD-000033
26.51,2,Ergonomic Office Chair,JP,CUST-1034,2026/02/04,ORD-000034
82.04,2,Noise Cancelling Earbuds,AU,CUST-1035,2026/02/05,ORD-000035
26.08,3,Organic Cotton T-Shirt,DE,CUST-1036,2026/02/06,ORD-000036
71.48,2,Monitor Arm Dual,CN,CUST-1037,2026/02/07,ORD-000037
93.89,3,Stainless Steel Water Bottle,UK,CUST-1038,2026/02/08,ORD-000038
57.64,1,Leather Wallet Classic,CA,CUST-1039,2026/02/09,ORD-000039
27.28,2,Mechanical Keyboard RGB,CN,CUST-1040,2026/02/10,ORD-000040
38.72,1,Ergonomic Office Chair,JP,CUST-1041,2026/02/11,ORD-000041
85.75,2,4K Webcam Pro,JP,CUST-1042,2026/02/12,ORD-000042
72.75,2,Portable Power Bank,CA,CUST-1043,2026/02/13,ORD-000043
88.75,1,Wireless Charger Pad,IN,CUST-1044,2026/02/14,ORD-000044
66.16,2,Running Shoes Elite,BR,CUST-1045,2026/02/15,ORD-000045
37.99,2,Monitor Arm Dual,US,CUST-1046,2026/02/16,ORD-000046
51.58,3,Smart Watch Series 5,JP,CUST-1047,2026/02/17,ORD-000047
90.49,2,Air Purifier Small,IN,CUST-1048,2026/02/18,ORD-000048
74.28,1,External SSD 1TB,FR,CUST-1049,2026/02/19,ORD-000049
20.04,1,Running Shoes Elite,DE,CUST-1050,2026/02/20,ORD-000050
87.54,2,Wireless Charger Pad,CA,CUST-1051,2026/02/21,ORD-000051
37.89,2,Ergonomic Office Chair,BR,CUST-1052,2026/02/22,ORD-000052
28.31,2,Monitor Arm Dual,DE,CUST-1053,2026/02/23,ORD-000053
31.32,1,Mechanical Keyboard RGB,US,CUST-1054,2026/02/24,ORD-000054
21.16,2,Mechanical Keyboard RGB,DE,CUST-1055,2026/02/25,ORD-000055
71.69,1,External SSD 1TB,DE,CUST-1056,2026/02/26,ORD-000056
52.15,3,Yoga Mat Premium,CN,CUST-1057,2026/02/27,ORD-000057
57.78,3,External SSD 1TB,FR,CUST-1058,2026/02/28,ORD-000058
61.17,3,Yoga Mat Premium,IN,CUST-1059,2026/03/01,ORD-000059
97.38,1,Ergonomic Office Chair,IN,CUST-1060,2026/03/02,ORD-000060
81.85,3,External SSD 1TB,US,CUST-1061,2026/03/03,ORD-000061
33.78,2,Mechanical Keyboard RGB,JP,CUST-1062,2026/03/04,ORD-000062
62.07,1,Smart Watch Series 5,DE,CUST-1063,2026/03/05,ORD-000063
26.97,2,Smart Watch Series 5,JP,CUST-1064,2026/03/06,ORD-000064
80.44,1,Organic Cotton T-Shirt,IN,CUST-1065,2026/03/07,ORD-000065
92.35,1,Bluetooth Speaker Mini,JP,CUST-1066,2026/03/08,ORD-000066
37.57,1,Smart Watch Series 5,US,CUST-1067,2026/03/09,ORD-000067
96.62,1,Leather Wallet Classic,DE,CUST-1068,2026/03/10,ORD-000068
40.2,3,Yoga Mat Premium,JP,CUST-1069,2026/03/11,ORD-000069
