order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Monitor Arm Dual,1,36.71,US
ORD-000002,2026/01/03,CUST-1002,Running Shoes Elite,2,46.16,US
ORD-000003,2026/01/04,CUST-1003,Portable Power Bank,2,36.34,US
ORD-000004,2026/01/05,CUST-1004,Organic Cotton T-Shirt,1,26.62,US
ORD-000005,2026/01/06,CUST-1005,Organic Cotton T-Shirt,2,44.94,US
ORD-000006,2026/01/07,CUST-1006,Noise Cancelling Earbuds,1,20.29,US
ORD-000007,2026/01/08,CUST-1007,Stainless Steel Water Bottle,2,36.54,US
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,2,46.69,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,2,33.24,US
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,6,151.52,US
ORD-000011,2026/01/12,CUST-1011,Wireless Headphones Pro,3,83.22,US
ORD-000012,2026/01/13,CUST-1012,Smart Watch Series 5,7,77.71,US
ORD-000013,2026/01/14,CUST-1013,Wireless Mouse Silent,1,31.12,US
ORD-000014,2026/01/15,CUST-1014,Wireless Charger Pad,2,57.75,US
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,2,26.15,US
ORD-000016,2026/01/17,CUST-1016,Leather Wallet Classic,2,52.44,US
ORD-000017,2026/01/18,CUST-1017,LED Desk Lamp,2,49.17,US
ORD-000018,2026/01/19,CUST-1018,Ergonomic Office Chair,1,23.41,US
ORD-000019,2026/01/20,CUST-1019,Ergonomic Office Chair,2,48.97,US
ORD-000020,2026/01/21,CUST-1020,Leather Wallet Classic,1,57.7,US
ORD-000021,2026/01/22,CUST-1021,Organic Cotton T-Shirt,2,30.69,US
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,6,169.72,US
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,4,160.78,US
ORD-000024,2026/01/25,CUST-1024,Leather Wallet Classic,7,90.02,US
ORD-000025,2026/01/26,CUST-1025,Air Purifier Small,2,54.66,US
ORD-000026,2026/01/27,CUST-1026,Wireless Mouse Silent,2,55.88,US
ORD-000027,2026/01/28,CUST-1027,Smart Watch Series 5,2,32.68,US
ORD-000028,2026/01/29,CUST-1028,Bluetooth Speaker Mini,2,29.55,US
ORD-000029,2026/01/30,CUST-1029,Wireless Mouse Silent,1,39.18,US
