order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,Monitor Arm Dual,1,68.94
ORD-000002,2026/01/03,CUST-1002,Wireless Charger Pad,3,95.72
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,2,76.35
ORD-000004,2026/01/05,CUST-1004,Wireless Charger Pad,1,52.06
ORD-000005,2026/01/06,CUST-1005,Wireless Headphones Pro,1,36.81
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,3,27.79
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,2,37.67
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,2,65.31
ORD-000009,2026/01/10,CUST-1009,Wireless Headphones Pro,3,48.0
ORD-000010,2026/01/11,CUST-1010,Standing Desk Converter,3,78.48
ORD-000011,2026/01/12,CUST-1011,Running Shoes Elite,1,47.3
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,2,79.79
ORD-000013,2026/01/14,CUST-1013,Air Purifier Small,3,38.14
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,1,48.05
ORD-000015,2026/01/16,CUST-1015,External SSD 1TB,3,69.33
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,1,69.42
ORD-000017,2026/01/18,CUST-1017,Running Shoes Elite,2,34.49
ORD-000018,2026/01/19,CUST-1018,Yoga Mat Premium,2,76.71
ORD-000019,2026/01/20,CUST-1019,External SSD 1TB,1,59.06
ORD-000020,2026/01/21,CUST-1020,Air Purifier Small,2,21.66
ORD-000021,2026/01/22,CUST-1021,Standing Desk Converter,3,89.13
ORD-000022,2026/01/23,CUST-1022,Wireless Charger Pad,3,98.51
ORD-000023,2026/01/24,CUST-1023,4K Webcam Pro,2,99.76
ORD-000024,2026/01/25,CUST-1024,Running Shoes Elite,3,89.94
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,3,79.74
ORD-000026,2026/01/27,CUST-1026,Wireless Headphones Pro,2,80.97
ORD-000027,2026/01/28,CUST-1027,Portable Power Bank,3,38.75
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,1,34.61
ORD-000029,2026/01/30,CUST-1029,Bluetooth Speaker Mini,1,61.93
ORD-000030,2026/01/31,CUST-1030,External SSD 1TB,3,71.74
ORD-000031,2026/02/01,CUST-1031,Monitor Arm Dual,2,69.73
ORD-000032,2026/02/02,CUST-1032,Noise Cancelling Earbuds,3,70.45
ORD-000033,2026/02/03,CUST-1033,Air Purifier Small,3,95.96
ORD-000034,2026/02/04,CUST-1034,External SSD 1TB,2,46.63
ORD-000035,2026/02/05,CUST-1035,Wireless Headphones Pro,1,42.02
ORD-000036,2026/02/06,CUST-1036,Running Shoes Elite,3,75.07
ORD-000037,2026/02/07,CUST-1037,Leather Wallet Classic,2,73.49
ORD-000038,2026/02/08,CUST-1038,Standing Desk Converter,1,63.04
ORD-000039,2026/02/09,CUST-1039,Standing Desk Converter,3,36.12
ORD-000040,2026/02/10,CUST-1040,Standing Desk Converter,3,53.77
ORD-000041,2026/02/11,CUST-1041,Leather Wallet Classic,3,98.61
ORD-000042,2026/02/12,CUST-1042,Bluetooth Speaker Mini,3,84.93
ORD-000043,2026/02/13,CUST-1043,Wireless Headphones Pro,2,50.66
ORD-000044,2026/02/14,CUST-1044,LED Desk Lamp,2,60.38
ORD-000045,2026/02/15,CUST-1045,Portable Power Bank,1,74.97
ORD-000046,2026/02/16,CUST-1046,Yoga Mat Premium,2,24.15
