order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Yoga Mat Premium,1,0.0,US
ORD-000002,2026/01/03,CUST-1002,Yoga Mat Premium,2,0.0,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,1,91.09,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,2,52.75,US
ORD-000005,2026/01/06,CUST-1005,Noise Cancelling Earbuds,2,41.37,US
ORD-000006,2026/01/07,CUST-1006,Noise Cancelling Earbuds,2,0.0,US
ORD-000007,2026/01/08,CUST-1007,Yoga Mat Premium,2,40.04,US
ORD-000008,2026/01/09,CUST-1008,Monitor Arm Dual,2,0.0,US
ORD-000009,2026/01/10,CUST-1009,Wireless Charger Pad,2,86.87,US
ORD-000010,2026/01/11,CUST-1010,Standing Desk Converter,1,95.71,US
ORD-000011,2026/01/12,CUST-1011,Stainless Steel Water Bottle,2,0.0,US
ORD-000012,2026/01/13,CUST-1012,Organic Cotton T-Shirt,1,0.0,US
ORD-000013,2026/01/14,CUST-1013,Smart Watch Series 5,1,97.9,US
ORD-000014,2026/01/15,CUST-1014,Wireless Headphones Pro,2,64.65,US
ORD-000015,2026/01/16,CUST-1015,Noise Cancelling Earbuds,2,42.62,US
ORD-000016,2026/01/17,CUST-1016,External SSD 1TB,1,33.84,US
ORD-000017,2026/01/18,CUST-1017,Wireless Mouse Silent,2,0.0,US
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,1,61.68,US
ORD-000019,2026/01/20,CUST-1019,Wireless Charger Pad,2,56.48,US
ORD-000020,2026/01/21,CUST-1020,Portable Power Bank,1,75.03,US
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,1,93.43,US
ORD-000022,2026/01/23,CUST-1022,Leather Wallet Classic,1,0.0,US
ORD-000023,2026/01/24,CUST-1023,Air Purifier Small,2,77.51,US
ORD-000024,2026/01/25,CUST-1024,Noise Cancelling Earbuds,2,0.0,US
ORD-000025,2026/01/26,CUST-1025,Yoga Mat Premium,1,97.33,US
ORD-000026,2026/01/27,CUST-1026,Wireless Headphones Pro,1,0.0,US
ORD-000027,2026/01/28,CUST-1027,Wireless Headphones Pro,1,0.0,US
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,2,80.42,US
ORD-000029,2026/01/30,CUST-1029,Wireless Headphones Pro,1,67.09,US
ORD-000030,2026/01/31,CUST-1030,Smart Watch Series 5,1,41.19,US
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,1,61.91,US
ORD-000032,2026/02/02,CUST-1032,4K Webcam Pro,2,0.0,US
ORD-000033,2026/02/03,CUST-1033,External SSD 1TB,2,0.0,US
ORD-000034,2026/02/04,CUST-1034,Ergonomic Office Chair,1,50.39,US
ORD-000035,2026/02/05,CUST-1035,External SSD 1TB,2,0.0,US
ORD-000036,2026/02/06,CUST-1036,Smart Watch Series 5,2,79.67,US
ORD-000037,2026/02/07,CUST-1037,Air Purifier Small,2,66.76,US
ORD-000038,2026/02/08,CUST-1038,Mechanical Keyboard RGB,1,95.27,US
ORD-000039,2026/02/09,CUST-1039,Noise Cancelling Earbuds,1,0.0,US
ORD-000040,2026/02/10,CUST-1040,Wireless Mouse Silent,1,0.0,US
ORD-000041,2026/02/11,CUST-1041,Stainless Steel Water Bottle,2,78.55,US
ORD-000042,2026/02/12,CUST-1042,LED Desk Lamp,1,91.08,US
ORD-000043,2026/02/13,CUST-1043,Yoga Mat Premium,1,73.21,US
ORD-000044,2026/02/14,CUST-1044,Leather Wallet Classic,2,80.63,US
ORD-000045,2026/02/15,CUST-1045,Noise Cancelling Earbuds,1,54.1,US
ORD-000046,2026/02/16,CUST-1046,Standing Desk Converter,1,76.89,US
ORD-000047,2026/02/17,CUST-1047,4K Webcam Pro,2,0.0,US
ORD-000048,2026/02/18,CUST-1048,Wireless Charger Pad,1,75.27,US
ORD-000049,2026/02/19,CUST-1049,Yoga Mat Premium,1,74.76,US
ORD-000050,2026/02/20,CUST-1050,LED Desk Lamp,2,51.64,US
ORD-000051,2026/02/21,CUST-1051,Air Purifier Small,1,36.27,US
ORD-000052,2026/02/22,CUST-1052,Running Shoes Elite,1,0.0,US
ORD-000053,2026/02/23,CUST-1053,Smart Watch Series 5,2,50.57,US
ORD-000054,2026/02/24,CUST-1054,Wireless Mouse Silent,1,54.69,US
ORD-000055,2026/02/25,CUST-1055,Air Purifier Small,1,94.26,US
ORD-000056,2026/02/26,CUST-1056,Noise Cancelling Earbuds,2,42.17,US
ORD-000057,2026/02/27,CUST-1057,Smart Watch Series 5,2,0.0,US
ORD-000058,2026/02/28,CUST-1058,Running Shoes Elite,1,95.37,US
ORD-000059,2026/03/01,CUST-1059,4K Webcam Pro,1,0.0,US
ORD-000060,2026/03/02,CUST-1060,Smart Watch Series 5,1,38.4,US
ORD-000061,2026/03/03,CUST-1061,Stainless Steel Water Bottle,2,55.15,US
ORD-000062,2026/03/04,CUST-1062,Leather Wallet Classic,1,79.07,US
ORD-000063,2026/03/05,CUST-1063,Air Purifier Small,2,98.06,US
ORD-000064,2026/03/06,CUST-1064,External SSD 1TB,1,49.01,US
ORD-000065,2026/03/07,CUST-1065,Smart Watch Series 5,2,44.49,US
ORD-000066,2026/03/08,CUST-1066,Organic Cotton T-Shirt,2,33.05,US
