order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,External SSD 1TB,2,22.47,US
ORD-000002,2026/01/03,CUST-1002,Wireless Charger Pad,2,68.7,US
ORD-000003,2026/01/04,CUST-1003,Noise Cancelling Earbuds,1,51.52,US
ORD-000004,2026/01/05,CUST-1004,Stainless Steel Water Bottle,2,84.25,US
ORD-000005,2026/01/06,CUST-1005,Yoga Mat Premium,2,51.69,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,3,45.97,US
ORD-000007,2026/01/08,CUST-1007,4K Webcam Pro,2,24.84,US
ORD-000008,2026/01/09,CUST-1008,Portable Power Bank,1,91.76,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,3,96.44,US
ORD-000010,2026/01/11,CUST-1010,Standing Desk Converter,2,95.97,US
ORD-000011,2026/01/12,CUST-1011,Wireless Headphones Pro,2,95.69,US
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,1,84.22,US
ORD-000013,2026/01/14,CUST-1013,External SSD 1TB,1,96.96,US
ORD-000014,2026/01/15,CUST-1014,Running Shoes Elite,3,27.92,US
ORD-000015,2026/01/16,CUST-1015,Yoga Mat Premium,2,45.09,US
ORD-000016,2026/01/17,CUST-1016,Yoga Mat Premium,2,54.49,US
ORD-000017,2026/01/18,CUST-1017,Ergonomic Office Chair,1,48.62,US
ORD-000018,2026/01/19,CUST-1018,Air Purifier Small,1,58.64,US
ORD-000019,2026/01/20,CUST-1019,Wireless Mouse Silent,2,78.46,US
ORD-000020,2026/01/21,CUST-1020,Portable Power Bank,3,88.11,US
ORD-000021,2026/01/22,CUST-1021,Smart Watch Series 5,1,56.24,US
ORD-000022,2026/01/23,CUST-1022,Monitor Arm Dual,2,63.17,US
ORD-000023,2026/01/24,CUST-1023,Monitor Arm Dual,1,69.87,US
ORD-000024,2026/01/25,CUST-1024,Wireless Charger Pad,1,29.49,US
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,2,94.95,US
ORD-000026,2026/01/27,CUST-1026,Wireless Mouse Silent,2,20.16,US
ORD-000027,2026/01/28,CUST-1027,Standing Desk Converter,1,94.76,US
ORD-000028,2026/01/29,CUST-1028,Stainless Steel Water Bottle,3,95.33,US
ORD-000029,2026/01/30,CUST-1029,External SSD 1TB,3,90.9,US
ORD-000030,2026/01/31,CUST-1030,LED Desk Lamp,1,65.2,US
ORD-000031,2026/02/01,CUST-1031,Organic Cotton T-Shirt,2,71.63,US
ORD-000032,2026/02/02,CUST-1032,Running Shoes Elite,1,44.73,US
ORD-000033,2026/02/03,CUST-1033,Ergonomic Office Chair,1,37.51,US
ORD-000034,2026/02/04,CUST-1034,Monitor Arm Dual,3,29.4,US
ORD-000035,2026/02/05,CUST-1035,Wireless Charger Pad,1,83.72,US
ORD-000036,2026/02/06,CUST-1036,LED Desk Lamp,2,60.27,US
ORD-000037,2026/02/07,CUST-1037,Air Purifier Small,2,22.06,US
ORD-000038,2026/02/08,CUST-1038,Portable Power Bank,2,67.69,US
ORD-000039,2026/02/09,CUST-1039,Organic Cotton T-Shirt,2,97.49,US
ORD-000040,2026/02/10,CUST-1040,Leather Wallet Classic,3,33.85,US
ORD-000041,2026/02/11,CUST-1041,Bluetooth Speaker Mini,1,40.49,US
ORD-000042,2026/02/12,CUST-1042,Monitor Arm Dual,3,90.28,US
ORD-000043,2026/02/13,CUST-1043,Monitor Arm Dual,1,69.28,US
ORD-000044,2026/02/14,CUST-1044,Running Shoes Elite,2,80.74,US
ORD-000045,2026/02/15,CUST-1045,Monitor Arm Dual,1,98.59,US
ORD-000046,2026/02/16,CUST-1046,LED Desk Lamp,1,25.98,US
ORD-000047,2026/02/17,CUST-1047,Standing Desk Converter,2,46.8,US
ORD-000048,2026/02/18,CUST-1048,Portable Power Bank,2,46.84,US
ORD-000049,2026/02/19,CUST-1049,Running Shoes Elite,2,52.63,US
ORD-000050,2026/02/20,CUST-1050,Standing Desk Converter,3,22.18,US
ORD-000051,2026/02/21,CUST-1051,Wireless Charger Pad,2,81.37,US
ORD-000052,2026/02/22,CUST-1052,External SSD 1TB,3,96.6,US
ORD-000053,2026/02/23,CUST-1053,Air Purifier Small,3,43.24,US
ORD-000054,2026/02/24,CUST-1054,Wireless Charger Pad,2,81.64,US
ORD-000055,2026/02/25,CUST-1055,Mechanical Keyboard RGB,1,39.91,US
ORD-000056,2026/02/26,CUST-1056,LED Desk Lamp,1,71.68,US
ORD-000057,2026/02/27,CUST-1057,Mechanical Keyboard RGB,3,25.15,US
ORD-000058,2026/02/28,CUST-1058,Bluetooth Speaker Mini,1,59.82,US
ORD-000059,2026/03/01,CUST-1059,Running Shoes Elite,1,73.5,US
ORD-000060,2026/03/02,CUST-1060,Wireless Headphones Pro,2,89.94,US
ORD-000061,2026/03/03,CUST-1061,Yoga Mat Premium,3,24.89,US
ORD-000062,2026/03/04,CUST-1062,Leather Wallet Classic,3,20.39,US
ORD-000063,2026/03/05,CUST-1063,Organic Cotton T-Shirt,2,49.27,US
ORD-000064,2026/03/06,CUST-1064,Wireless Mouse Silent,2,51.17,US
ORD-000065,2026/03/07,CUST-1065,Wireless Charger Pad,2,27.18,US
ORD-000066,2026/03/08,CUST-1066,Mechanical Keyboard RGB,2,31.51,US
ORD-000067,2026/03/09,CUST-1067,Noise Cancelling Earbuds,3,51.2,US
ORD-000068,2026/03/10,CUST-1068,Stainless Steel Water Bottle,1,36.17,US
ORD-000069,2026/03/11,CUST-1069,Running Shoes Elite,2,50.4,US
ORD-000070,2026/03/12,CUST-1070,Standing Desk Converter,2,33.0,US
ORD-000071,2026/03/13,CUST-1071,4K Webcam Pro,3,28.98,US
ORD-000072,2026/03/14,CUST-1072,Yoga Mat Premium,3,98.51,US
ORD-000073,2026/03/15,CUST-1073,4K Webcam Pro,3,53.15,US
ORD-000074,2026/03/16,CUST-1074,LED Desk Lamp,3,48.59,US
ORD-000075,2026/03/17,CUST-1075,Portable Power Bank,1,38.32,US
ORD-000076,2026/03/18,CUST-1076,Leather Wallet Classic,1,98.75,US
ORD-000077,2026/03/19,CUST-1077,Bluetooth Speaker Mini,3,35.12,US
ORD-000078,2026/03/20,CUST-1078,Yoga Mat Premium,3,63.45,US
ORD-000079,2026/03/21,CUST-1079,Stainless Steel Water Bottle,1,36.33,US
ORD-000080,2026/03/22,CUST-1080,4K Webcam Pro,3,48.84,US
ORD-000081,2026/03/23,CUST-1081,Wireless Mouse Silent,3,20.6,US
ORD-000082,2026/03/24,CUST-1082,Wireless Headphones Pro,3,58.05,US
ORD-000083,2026/03/25,CUST-1083,Standing Desk Converter,2,64.46,US
ORD-000084,2026/03/26,CUST-1084,Wireless Mouse Silent,1,26.42,US
ORD-000085,2026/03/27,CUST-1085,Running Shoes Elite,3,65.84,US
ORD-000086,2026/03/28,CUST-1086,Yoga Mat Premium,3,98.39,US
ORD-000087,2026/03/29,CUST-1087,Wireless Mouse Silent,2,86.18,US
