price,quantity,product_name,country,customer_id,date,order_id
58.23,3,Portable Power Bank,IN,CUST-1001,2026/01/02,ORD-000001
94.54,3,Stainless Steel Water Bottle,DE,CUST-1002,2026/01/03,ORD-000002
44.65,1,External SSD 1TB,US,CUST-1003,2026/01/04,ORD-000003
48.39,3,Standing Desk Converter,FR,CUST-1004,2026/01/05,ORD-000004
78.72,1,Smart Watch Series 5,BR,CUST-1005,2026/01/06,ORD-000005
40.14,1,Yoga Mat Premium,AU,CUST-1006,2026/01/07,ORD-000006
80.51,1,Yoga Mat Premium,UK,CUST-1007,2026/01/08,ORD-000007
40.32,1,Organic Cotton T-Shirt,JP,CUST-1008,2026/01/09,ORD-000008
59.34,1,Monitor Arm Dual,JP,CUST-1009,2026/01/10,ORD-000009
90.69,2,Yoga Mat Premium,BR,CUST-1010,2026/01/11,ORD-000010
38.91,3,Wireless Mouse Silent,UK,CUST-1011,2026/01/12,ORD-000011
20.97,2,Running Shoes Elite,AU,CUST-1012,2026/01/13,ORD-000012
27.04,3,Wireless Charger Pad,IN,CUST-1013,2026/01/14,ORD-000013
22.51,1,Mechanical Keyboard RGB,US,CUST-1014,2026/01/15,ORD-000014
42.26,3,Ergonomic Office Chair,JP,CUST-1015,2026/01/16,ORD-000015
87.43,1,4K Webcam Pro,US,CUST-1016,2026/01/17,ORD-000016
98.49,1,Bluetooth Speaker Mini,JP,CUST-1017,2026/01/18,ORD-000017
53.23,2,Noise Cancelling Earbuds,DE,CUST-1018,2026/01/19,ORD-000018
85.14,2,Stainless Steel Water Bottle,US,CUST-1019,2026/01/20,ORD-000019
84.29,2,Bluetooth Speaker Mini,IN,CUST-1020,2026/01/21,ORD-000020
88.62,3,4K Webcam Pro,CN,CUST-1021,2026/01/22,ORD-000021
44.21,1,Smart Watch Series 5,UK,CUST-1022,2026/01/23,ORD-000022
43.47,3,Air Purifier Small,FR,CUST-1023,2026/01/24,ORD-000023
65.17,1,Noise Cancelling Earbuds,UK,CUST-1024,2026/01/25,ORD-000024
79.48,3,Noise Cancelling Earbuds,CN,CUST-1025,2026/01/26,ORD-000025
91.66,1,Wireless Mouse Silent,CA,CUST-1026,2026/01/27,ORD-000026
33.98,3,Leather Wallet Classic,IN,CUST-1027,2026/01/28,ORD-000027
42.62,2,Bluetooth Speaker Mini,US,CUST-1028,2026/01/29,ORD-000028
31.43,1,Ergonomic Office Chair,UK,CUST-1029,2026/01/30,ORD-000029
39.87,1,Wireless Charger Pad,IN,CUST-1030,2026/01/31,ORD-000030
33.07,3,LED Desk Lamp,UK,CUST-1031,2026/02/01,ORD-000031
34.64,3,Monitor Arm Dual,CN,CUST-1032,2026/02/02,ORD-000032
22.46,2,External SSD 1TB,CN,CUST-1033,2026/02/03,ORD-000033
38.23,1,Yoga Mat Premium,CN,CUST-1034,2026/02/04,ORD-000034
23.02,3,Yoga Mat Premium,BR,CUST-1035,2026/02/05,ORD-000035
67.55,3,Wireless Mouse Silent,JP,CUST-1036,2026/02/06,ORD-000036
83.88,1,Stainless Steel Water Bottle,AU,CUST-1037,2026/02/07,ORD-000037
66.26,3,Ergonomic Office Chair,AU,CUST-1038,2026/02/08,ORD-000038
30.23,3,Stainless Steel Water Bottle,CN,CUST-1039,2026/02/09,ORD-000039
87.43,2,Running Shoes Elite,IN,CUST-1040,2026/02/10,ORD-000040
35.12,1,Wireless Headphones Pro,BR,CUST-1041,2026/02/11,ORD-000041
38.34,3,Wireless Mouse Silent,CA,CUST-1042,2026/02/12,ORD-000042
70.47,1,Standing Desk Converter,AU,CUST-1043,2026/02/13,ORD-000043
37.25,3,Organic Cotton T-Shirt,CN,CUST-1044,2026/02/14,ORD-000044
56.44,1,Monitor Arm Dual,FR,CUST-1045,2026/02/15,ORD-000045
92.19,1,LED Desk Lamp,US,CUST-1046,2026/02/16,ORD-000046
56.72,1,Noise Cancelling Earbuds,JP,CUST-1047,2026/02/17,ORD-000047
20.54,3,Mechanical Keyboard RGB,JP,CUST-1048,2026/02/18,ORD-000048
38.1,3,Air Purifier Small,CA,CUST-1049,2026/02/19,ORD-000049
51.3,3,Ergonomic Office Chair,FR,CUST-1050,2026/02/20,ORD-000050
70.75,1,Wireless Mouse Silent,CN,CUST-1051,2026/02/21,ORD-000051
38.87,1,Smart Watch Series 5,AU,CUST-1052,2026/02/22,ORD-000052
97.39,1,Mechanical Keyboard RGB,BR,CUST-1053,2026/02/23,ORD-000053
73.39,2,Noise Cancelling Earbuds,FR,CUST-1054,2026/02/24,ORD-000054
57.46,2,Yoga Mat Premium,UK,CUST-1055,2026/02/25,ORD-000055
35.68,3,Wireless Headphones Pro,CA,CUST-1056,2026/02/26,ORD-000056
25.3,2,4K Webcam Pro,FR,CUST-1057,2026/02/27,ORD-000057
21.36,1,Air Purifier Small,BR,CUST-1058,2026/02/28,ORD-000058
96.4,1,Leather Wallet Classic,FR,CUST-1059,2026/03/01,ORD-000059
82.27,3,Organic Cotton T-Shirt,CA,CUST-1060,2026/03/02,ORD-000060
48.29,1,Standing Desk Converter,FR,CUST-1061,2026/03/03,ORD-000061
68.31,1,Yoga Mat Premium,FR,CUST-1062,2026/03/04,ORD-000062
36.84,1,Organic Cotton T-Shirt,AU,CUST-1063,2026/03/05,ORD-000063
88.93,2,Wireless Mouse Silent,FR,CUST-1064,2026/03/06,ORD-000064
64.85,2,Wireless Charger Pad,CN,CUST-1065,2026/03/07,ORD-000065
81.16,2,Portable Power Bank,BR,CUST-1066,2026/03/08,ORD-000066
93.92,1,Air Purifier Small,CN,CUST-1067,2026/03/09,ORD-000067
23.2,2,Organic Cotton T-Shirt,CN,CUST-1068,2026/03/10,ORD-000068
