order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,1,109.33,US
ORD-000002,2026/01/03,CUST-1002,Wireless Headphones Pro,1,119.02,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,1,106.06,US
ORD-000004,2026/01/05,CUST-1004,Bluetooth Speaker Mini,2,172.37,US
ORD-000005,2026/01/06,CUST-1005,Stainless Steel Water Bottle,1,175.58,US
ORD-000006,2026/01/07,CUST-1006,Wireless Headphones Pro,2,193.96,US
ORD-000007,2026/01/08,CUST-1007,Noise Cancelling Earbuds,1,123.57,US
ORD-000008,2026/01/09,CUST-1008,Wireless Headphones Pro,1,127.67,US
ORD-000009,2026/01/10,CUST-1009,Running Shoes Elite,1,173.46,US
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,2,139.59,US
ORD-000011,2026/01/12,CUST-1011,Ergonomic Office Chair,1,149.77,US
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,1,153.68,US
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,2,158.38,US
ORD-000014,2026/01/15,CUST-1014,Stainless Steel Water Bottle,1,183.24,US
ORD-000015,2026/01/16,CUST-1015,Stainless Steel Water Bottle,2,146.69,US
ORD-000016,2026/01/17,CUST-1016,Air Purifier Small,1,170.73,US
ORD-000017,2026/01/18,CUST-1017,Portable Power Bank,1,104.72,US
ORD-000018,2026/01/19,CUST-1018,Bluetooth Speaker Mini,2,127.33,US
ORD-000019,2026/01/20,CUST-1019,Yoga Mat Premium,1,137.92,US
ORD-000020,2026/01/21,CUST-1020,Stainless Steel Water Bottle,2,167.36,US
ORD-000021,2026/01/22,CUST-1021,External SSD 1TB,2,179.19,US
ORD-000022,2026/01/23,CUST-1022,Yoga Mat Premium,2,179.27,US
ORD-000023,2026/01/24,CUST-1023,Organic Cotton T-Shirt,2,163.7,US
ORD-000024,2026/01/25,CUST-1024,Running Shoes Elite,2,111.12,US
ORD-000025,2026/01/26,CUST-1025,4K Webcam Pro,1,176.1,US
ORD-000026,2026/01/27,CUST-1026,Smart Watch Series 5,2,159.36,US
