order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,2,42.51
ORD-000002,2026/01/03,CUST-1002,Leather Wallet Classic,3,31.8
ORD-000003,2026/01/04,CUST-1003,Bluetooth Speaker Mini,2,67.79
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,2,39.0
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,1,54.71
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,3,34.65
ORD-000007,2026/01/08,CUST-1007,Ergonomic Office Chair,1,59.29
ORD-000008,2026/01/09,CUST-1008,Wireless Charger Pad,3,33.23
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,1,62.4
ORD-000010,2026/01/11,CUST-1010,Bluetooth Speaker Mini,1,43.84
ORD-000011,2026/01/12,CUST-1011,Bluetooth Speaker Mini,2,23.98
ORD-000012,2026/01/13,CUST-1012,Leather Wallet Classic,2,43.91
ORD-000013,2026/01/14,CUST-1013,Air Purifier Small,2,75.78
ORD-000014,2026/01/15,CUST-1014,Monitor Arm Dual,3,75.28
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,2,24.65
ORD-000016,2026/01/17,CUST-1016,Portable Power Bank,1,79.51
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,1,98.39
ORD-000018,2026/01/19,CUST-1018,Wireless Mouse Silent,2,54.07
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,2,48.06
ORD-000020,2026/01/21,CUST-1020,Organic Cotton T-Shirt,1,89.37
ORD-000021,2026/01/22,CUST-1021,Leather Wallet Classic,2,49.08
ORD-000022,2026/01/23,CUST-1022,Standing Desk Converter,2,53.76
ORD-000023,2026/01/24,CUST-1023,Running Shoes Elite,1,63.27
ORD-000024,2026/01/25,CUST-1024,Smart Watch Series 5,1,95.67
ORD-000025,2026/01/26,CUST-1025,External SSD 1TB,2,90.88
ORD-000026,2026/01/27,CUST-1026,Smart Watch Series 5,1,74.8
ORD-000027,2026/01/28,CUST-1027,Running Shoes Elite,2,69.03
ORD-000028,2026/01/29,CUST-1028,Portable Power Bank,1,28.46
ORD-000029,2026/01/30,CUST-1029,Wireless Mouse Silent,1,66.41
ORD-000030,2026/01/31,CUST-1030,Running Shoes Elite,2,66.25
ORD-000031,2026/02/01,CUST-1031,Noise Cancelling Earbuds,1,77.71
ORD-000032,2026/02/02,CUST-1032,Running Shoes Elite,2,78.24
ORD-000033,2026/02/03,CUST-1033,Leather Wallet Classic,1,24.36
ORD-000034,2026/02/04,CUST-1034,Monitor Arm Dual,2,20.22
ORD-000035,2026/02/05,CUST-1035,Monitor Arm Dual,2,22.76
