ORD-000001,2026/01/02,CUST-1001,Noise Cancelling Earbuds,1,36.21,US
ORD-000002,2026/01/03,CUST-1002,Noise Cancelling Earbuds,2,20.54,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,2,11.81,US
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,1,20.16,US
ORD-000005,2026/01/06,CUST-1005,4K Webcam Pro,1,33.18,US
ORD-000006,2026/01/07,CUST-1006,Wireless Headphones Pro,2,32.09,US
ORD-000007,2026/01/08,CUST-1007,Wireless Mouse Silent,2,18.71,US
ORD-000008,2026/01/09,CUST-1008,Leather Wallet Classic,1,34.86,US
ORD-000009,2026/01/10,CUST-1009,Wireless Headphones Pro,2,18.11,US
ORD-000010,2026/01/11,CUST-1010,Portable Power Bank,1,11.12,US
ORD-000011,2026/01/12,CUST-1011,Running Shoes Elite,2,17.35,US
ORD-000012,2026/01/13,CUST-1012,Bluetooth Speaker Mini,1,19.23,US
ORD-000013,2026/01/14,CUST-1013,Smart Watch Series 5,2,17.39,US
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,1,12.12,US
ORD-000015,2026/01/16,CUST-1015,Portable Power Bank,2,31.01,US
ORD-000016,2026/01/17,CUST-1016,Wireless Mouse Silent,1,26.45,US
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,1,34.31,US
ORD-000018,2026/01/19,CUST-1018,Smart Watch Series 5,2,15.89,US
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,1,12.8,US
ORD-000020,2026/01/21,CUST-1020,Wireless Mouse Silent,1,20.09,US
ORD-000021,2026/01/22,CUST-1021,Monitor Arm Dual,2,25.99,US
ORD-000022,2026/01/23,CUST-1022,Bluetooth Speaker Mini,2,35.48,US
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,2,10.07,US
ORD-000024,2026/01/25,CUST-1024,Bluetooth Speaker Mini,1,19.29,US
ORD-000025,2026/01/26,CUST-1025,Wireless Mouse Silent,1,33.95,US
ORD-000026,2026/01/27,CUST-1026,Wireless Charger Pad,2,32.74,US
ORD-000027,2026/01/28,CUST-1027,Yoga Mat Premium,2,31.81,US
ORD-000028,2026/01/29,CUST-1028,Leather Wallet Classic,2,32.24,US
ORD-000029,2026/01/30,CUST-1029,Stainless Steel Water Bottle,2,21.63,US
