order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/06/16,CUST-1001,4K Webcam Pro,2,55.99,US
ORD-000002,2026/06/17,CUST-1002,Smart Watch Series 5,2,47.29,US
ORD-000003,2026/06/18,CUST-1003,Ergonomic Office Chair,3,62.19,US
ORD-000004,2026/06/19,CUST-1004,Running Shoes Elite,1,60.65,US
ORD-000005,2026/06/20,CUST-1005,Monitor Arm Dual,1,70.59,US
ORD-000006,2026/06/21,CUST-1006,Leather Wallet Classic,1,94.98,US
ORD-000007,2026/06/22,CUST-1007,Smart Watch Series 5,3,28.61,US
ORD-000008,2026/06/23,CUST-1008,Bluetooth Speaker Mini,3,61.69,US
ORD-000009,2026/06/24,CUST-1009,4K Webcam Pro,1,43.98,US
ORD-000010,2026/06/25,CUST-1010,Noise Cancelling Earbuds,1,69.65,US
ORD-000011,2026/06/26,CUST-1011,Portable Power Bank,3,46.97,US
ORD-000012,2026/06/27,CUST-1012,Organic Cotton T-Shirt,2,64.56,US
ORD-000013,2026/06/28,CUST-1013,Bluetooth Speaker Mini,1,41.67,US
ORD-000014,2026/06/29,CUST-1014,Running Shoes Elite,2,70.73,US
