order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/06/16,CUST-1001,Wireless Charger Pad,3,68.76,US
ORD-000002,2026/06/17,CUST-1002,Smart Watch Series 5,3,59.5,US
ORD-000003,2026/06/18,CUST-1003,External SSD 1TB,1,22.46,US
ORD-000004,2026/06/19,CUST-1004,Mechanical Keyboard RGB,3,53.72,US
ORD-000005,2026/06/20,CUST-1005,Leather Wallet Classic,1,87.25,US
ORD-000006,2026/06/21,CUST-1006,Mechanical Keyboard RGB,2,98.08,US
ORD-000007,2026/06/22,CUST-1007,Leather Wallet Classic,3,89.68,US
ORD-000008,2026/06/23,CUST-1008,Smart Watch Series 5,1,53.17,US
ORD-000009,2026/06/24,CUST-1009,Portable Power Bank,3,46.92,US
ORD-000010,2026/06/25,CUST-1010,Mechanical Keyboard RGB,1,30.09,US
ORD-000011,2026/06/26,CUST-1011,Smart Watch Series 5,3,77.83,US
ORD-000012,2026/06/27,CUST-1012,Wireless Headphones Pro,3,49.9,US
ORD-000013,2026/06/28,CUST-1013,Noise Cancelling Earbuds,1,33.9,US
ORD-000014,2026/06/29,CUST-1014,LED Desk Lamp,2,40.56,US
