order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Wireless Mouse Silent,2,59.22,US
ORD-000002,2026/01/03,CUST-1002,Ergonomic Office Chair,1,96.39,US
ORD-000003,2026/01/04,CUST-1003,Portable Power Bank,2,98.14,US
ORD-000004,2026/01/05,CUST-1004,Monitor Arm Dual,1,0.0,US
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,1,30.77,US
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,2,0.0,US
ORD-000007,2026/01/08,CUST-1007,Stainless Steel Water Bottle,1,0.0,US
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,1,49.81,US
ORD-000009,2026/01/10,CUST-1009,Wireless Charger Pad,1,91.35,US
ORD-000010,2026/01/11,CUST-1010,Stainless Steel Water Bottle,1,0.0,US
ORD-000011,2026/01/12,CUST-1011,Wireless Headphones Pro,2,74.05,US
ORD-000012,2026/01/13,CUST-1012,Mechanical Keyboard RGB,2,49.13,US
ORD-000013,2026/01/14,CUST-1013,Running Shoes Elite,1,68.57,US
ORD-000014,2026/01/15,CUST-1014,Wireless Headphones Pro,2,0.0,US
ORD-000015,2026/01/16,CUST-1015,Organic Cotton T-Shirt,2,71.07,US
ORD-000016,2026/01/17,CUST-1016,Air Purifier Small,2,66.08,US
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,2,99.75,US
ORD-000018,2026/01/19,CUST-1018,Bluetooth Speaker Mini,1,75.09,US
ORD-000019,2026/01/20,CUST-1019,Air Purifier Small,1,96.68,US
ORD-000020,2026/01/21,CUST-1020,LED Desk Lamp,1,48.17,US
ORD-000021,2026/01/22,CUST-1021,Bluetooth Speaker Mini,1,99.44,US
ORD-000022,2026/01/23,CUST-1022,Standing Desk Converter,2,82.76,US
ORD-000023,2026/01/24,CUST-1023,Wireless Charger Pad,1,68.89,US
ORD-000024,2026/01/25,CUST-1024,Air Purifier Small,1,58.44,US
ORD-000025,2026/01/26,CUST-1025,Wireless Mouse Silent,1,0.0,US
ORD-000026,2026/01/27,CUST-1026,Yoga Mat Premium,2,97.14,US
ORD-000027,2026/01/28,CUST-1027,Running Shoes Elite,2,0.0,US
ORD-000028,2026/01/29,CUST-1028,Bluetooth Speaker Mini,2,46.79,US
ORD-000029,2026/01/30,CUST-1029,Stainless Steel Water Bottle,1,36.75,US
ORD-000030,2026/01/31,CUST-1030,Wireless Headphones Pro,2,56.03,US
ORD-000031,2026/02/01,CUST-1031,Noise Cancelling Earbuds,2,90.32,US
ORD-000032,2026/02/02,CUST-1032,Leather Wallet Classic,2,44.1,US
ORD-000033,2026/02/03,CUST-1033,Leather Wallet Classic,2,0.0,US
ORD-000034,2026/02/04,CUST-1034,LED Desk Lamp,1,33.41,US
ORD-000035,2026/02/05,CUST-1035,Standing Desk Converter,2,44.98,US
ORD-000036,2026/02/06,CUST-1036,LED Desk Lamp,1,0.0,US
ORD-000037,2026/02/07,CUST-1037,Ergonomic Office Chair,1,99.24,US
ORD-000038,2026/02/08,CUST-1038,Monitor Arm Dual,1,44.53,US
ORD-000039,2026/02/09,CUST-1039,Wireless Charger Pad,1,55.67,US
ORD-000040,2026/02/10,CUST-1040,4K Webcam Pro,2,33.33,US
ORD-000041,2026/02/11,CUST-1041,Bluetooth Speaker Mini,1,36.61,US
ORD-000042,2026/02/12,CUST-1042,Bluetooth Speaker Mini,1,0.0,US
ORD-000043,2026/02/13,CUST-1043,Stainless Steel Water Bottle,1,0.0,US
ORD-000044,2026/02/14,CUST-1044,Yoga Mat Premium,2,0.0,US
ORD-000045,2026/02/15,CUST-1045,Smart Watch Series 5,2,85.78,US
ORD-000046,2026/02/16,CUST-1046,Wireless Charger Pad,1,35.95,US
ORD-000047,2026/02/17,CUST-1047,Ergonomic Office Chair,1,97.59,US
ORD-000048,2026/02/18,CUST-1048,LED Desk Lamp,1,70.95,US
ORD-000049,2026/02/19,CUST-1049,Smart Watch Series 5,1,54.31,US
ORD-000050,2026/02/20,CUST-1050,Organic Cotton T-Shirt,1,66.28,US
ORD-000051,2026/02/21,CUST-1051,Ergonomic Office Chair,1,31.35,US
ORD-000052,2026/02/22,CUST-1052,Air Purifier Small,1,58.44,US
ORD-000053,2026/02/23,CUST-1053,LED Desk Lamp,2,87.63,US
ORD-000054,2026/02/24,CUST-1054,LED Desk Lamp,2,30.89,US
ORD-000055,2026/02/25,CUST-1055,Organic Cotton T-Shirt,2,63.2,US
