order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,3,72.56,US
ORD-000002,2026/01/03,CUST-1002,Leather Wallet Classic,2,53.63,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,1,76.29,US
ORD-000004,2026/01/05,CUST-1004,Leather Wallet Classic,3,32.06,US
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,1,39.48,US
ORD-000006,2026/01/07,CUST-1006,Leather Wallet Classic,2,28.22,US
ORD-000007,2026/01/08,CUST-1007,Leather Wallet Classic,3,74.11,US
ORD-000008,2026/01/09,CUST-1008,Leather Wallet Classic,3,50.08,US
ORD-000009,2026/01/10,CUST-1009,Leather Wallet Classic,2,62.57,US
ORD-000010,2026/01/11,CUST-1010,Leather Wallet Classic,3,85.44,US
ORD-000011,2026/01/12,CUST-1011,Leather Wallet Classic,3,81.16,US
ORD-000012,2026/01/13,CUST-1012,Leather Wallet Classic,2,71.62,US
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,3,72.59,US
ORD-000014,2026/01/15,CUST-1014,Leather Wallet Classic,2,63.12,US
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,2,46.9,US
ORD-000016,2026/01/17,CUST-1016,Leather Wallet Classic,1,45.45,US
ORD-000017,2026/01/18,CUST-1017,Leather Wallet Classic,3,42.17,US
ORD-000018,2026/01/19,CUST-1018,Leather Wallet Classic,1,72.48,US
ORD-000019,2026/01/20,CUST-1019,Portable Power Bank,1,44.21,US
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,3,45.69,US
ORD-000021,2026/01/22,CUST-1021,Leather Wallet Classic,3,48.18,US
ORD-000022,2026/01/23,CUST-1022,Leather Wallet Classic,1,42.94,US
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,3,66.52,US
ORD-000024,2026/01/25,CUST-1024,Air Purifier Small,3,40.28,US
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,2,28.18,US
ORD-000026,2026/01/27,CUST-1026,Leather Wallet Classic,1,32.16,US
ORD-000027,2026/01/28,CUST-1027,Leather Wallet Classic,1,22.38,US
ORD-000028,2026/01/29,CUST-1028,Leather Wallet Classic,2,22.03,US
ORD-000029,2026/01/30,CUST-1029,Leather Wallet Classic,3,64.23,US
ORD-000030,2026/01/31,CUST-1030,Leather Wallet Classic,3,58.63,US
ORD-000031,2026/02/01,CUST-1031,Wireless Mouse Silent,2,34.34,US
ORD-000032,2026/02/02,CUST-1032,Leather Wallet Classic,2,86.05,US
ORD-000033,2026/02/03,CUST-1033,Leather Wallet Classic,3,40.99,US
ORD-000034,2026/02/04,CUST-1034,Leather Wallet Classic,3,34.61,US
ORD-000035,2026/02/05,CUST-1035,Ergonomic Office Chair,3,82.24,US
ORD-000036,2026/02/06,CUST-1036,Standing Desk Converter,3,54.82,US
ORD-000037,2026/02/07,CUST-1037,Leather Wallet Classic,1,68.78,US
ORD-000038,2026/02/08,CUST-1038,Leather Wallet Classic,3,32.54,US
ORD-000039,2026/02/09,CUST-1039,Leather Wallet Classic,3,32.35,US
