price,quantity,product_name,country,customer_id,date,order_id
43.22,1,Organic Cotton T-Shirt,CN,CUST-1001,2026/01/02,ORD-000001
41.71,1,Stainless Steel Water Bottle,DE,CUST-1002,2026/01/03,ORD-000002
38.43,3,Running Shoes Elite,CA,CUST-1003,2026/01/04,ORD-000003
62.04,3,Wireless Charger Pad,US,CUST-1004,2026/01/05,ORD-000004
36.43,3,Smart Watch Series 5,US,CUST-1005,2026/01/06,ORD-000005
36.62,3,Noise Cancelling Earbuds,BR,CUST-1006,2026/01/07,ORD-000006
29.72,3,Ergonomic Office Chair,IN,CUST-1007,2026/01/08,ORD-000007
39.06,1,Stainless Steel Water Bottle,JP,CUST-1008,2026/01/09,ORD-000008
97.63,1,Wireless Charger Pad,CN,CUST-1009,2026/01/10,ORD-000009
41.32,3,Leather Wallet Classic,JP,CUST-1010,2026/01/11,ORD-000010
63.7,1,Yoga Mat Premium,BR,CUST-1011,2026/01/12,ORD-000011
35.86,3,Noise Cancelling Earbuds,FR,CUST-1012,2026/01/13,ORD-000012
31.56,1,Organic Cotton T-Shirt,BR,CUST-1013,2026/01/14,ORD-000013
97.43,1,Organic Cotton T-Shirt,UK,CUST-1014,2026/01/15,ORD-000014
27.04,3,LED Desk Lamp,US,CUST-1015,2026/01/16,ORD-000015
81.81,2,Air Purifier Small,IN,CUST-1016,2026/01/17,ORD-000016
20.55,1,Running Shoes Elite,US,CUST-1017,2026/01/18,ORD-000017
26.96,1,Yoga Mat Premium,JP,CUST-1018,2026/01/19,ORD-000018
24.73,1,4K Webcam Pro,BR,CUST-1019,2026/01/20,ORD-000019
78.57,2,Organic Cotton T-Shirt,CN,CUST-1020,2026/01/21,ORD-000020
68.87,3,Smart Watch Series 5,UK,CUST-1021,2026/01/22,ORD-000021
86.27,3,Wireless Charger Pad,CA,CUST-1022,2026/01/23,ORD-000022
75.57,3,Ergonomic Office Chair,CA,CUST-1023,2026/01/24,ORD-000023
88.77,3,LED Desk Lamp,FR,CUST-1024,2026/01/25,ORD-000024
66.26,1,Wireless Headphones Pro,CA,CUST-1025,2026/01/26,ORD-000025
70.36,2,4K Webcam Pro,JP,CUST-1026,2026/01/27,ORD-000026
50.23,2,Wireless Mouse Silent,DE,CUST-1027,2026/01/28,ORD-000027
57.71,1,Leather Wallet Classic,UK,CUST-1028,2026/01/29,ORD-000028
45.73,3,Bluetooth Speaker Mini,US,CUST-1029,2026/01/30,ORD-000029
30.49,1,Ergonomic Office Chair,IN,CUST-1030,2026/01/31,ORD-000030
94.54,3,Wireless Mouse Silent,FR,CUST-1031,2026/02/01,ORD-000031
42.27,3,Stainless Steel Water Bottle,JP,CUST-1032,2026/02/02,ORD-000032
93.36,2,Portable Power Bank,UK,CUST-1033,2026/02/03,ORD-000033
51.3,2,Leather Wallet Classic,IN,CUST-1034,2026/02/04,ORD-000034
74.9,1,Leather Wallet Classic,CN,CUST-1035,2026/02/05,ORD-000035
49.79,1,Wireless Charger Pad,IN,CUST-1036,2026/02/06,ORD-000036
20.13,1,Wireless Mouse Silent,FR,CUST-1037,2026/02/07,ORD-000037
75.61,3,Leather Wallet Classic,BR,CUST-1038,2026/02/08,ORD-000038
62.04,3,Ergonomic Office Chair,CN,CUST-1039,2026/02/09,ORD-000039
26.88,1,Yoga Mat Premium,FR,CUST-1040,2026/02/10,ORD-000040
26.93,1,Portable Power Bank,UK,CUST-1041,2026/02/11,ORD-000041
60.97,2,Standing Desk Converter,DE,CUST-1042,2026/02/12,ORD-000042
93.27,2,Mechanical Keyboard RGB,UK,CUST-1043,2026/02/13,ORD-000043
49.1,2,Wireless Headphones Pro,UK,CUST-1044,2026/02/14,ORD-000044
46.3,3,Wireless Mouse Silent,DE,CUST-1045,2026/02/15,ORD-000045
69.08,1,Standing Desk Converter,UK,CUST-1046,2026/02/16,ORD-000046
29.76,1,Noise Cancelling Earbuds,IN,CUST-1047,2026/02/17,ORD-000047
46.08,1,Standing Desk Converter,CA,CUST-1048,2026/02/18,ORD-000048
23.67,1,4K Webcam Pro,UK,CUST-1049,2026/02/19,ORD-000049
44.04,3,Leather Wallet Classic,BR,CUST-1050,2026/02/20,ORD-000050
31.69,3,4K Webcam Pro,JP,CUST-1051,2026/02/21,ORD-000051
49.78,2,Running Shoes Elite,CA,CUST-1052,2026/02/22,ORD-000052
95.49,1,External SSD 1TB,CN,CUST-1053,2026/02/23,ORD-000053
36.41,3,Bluetooth Speaker Mini,JP,CUST-1054,2026/02/24,ORD-000054
40.52,2,Stainless Steel Water Bottle,FR,CUST-1055,2026/02/25,ORD-000055
78.95,2,Leather Wallet Classic,DE,CUST-1056,2026/02/26,ORD-000056
88.84,1,External SSD 1TB,FR,CUST-1057,2026/02/27,ORD-000057
72.5,2,External SSD 1TB,JP,CUST-1058,2026/02/28,ORD-000058
63.93,1,Monitor Arm Dual,JP,CUST-1059,2026/03/01,ORD-000059
46.52,3,4K Webcam Pro,IN,CUST-1060,2026/03/02,ORD-000060
36.11,1,Smart Watch Series 5,BR,CUST-1061,2026/03/03,ORD-000061
22.28,1,Ergonomic Office Chair,FR,CUST-1062,2026/03/04,ORD-000062
36.87,2,Leather Wallet Classic,JP,CUST-1063,2026/03/05,ORD-000063
31.32,3,Ergonomic Office Chair,DE,CUST-1064,2026/03/06,ORD-000064
35.83,3,Monitor Arm Dual,AU,CUST-1065,2026/03/07,ORD-000065
94.55,1,Stainless Steel Water Bottle,BR,CUST-1066,2026/03/08,ORD-000066
54.72,2,Running Shoes Elite,CN,CUST-1067,2026/03/09,ORD-000067
