price,quantity,product_name,country,customer_id,date,order_id
75.03,1,Wireless Mouse Silent,DE,CUST-1001,2026/01/02,ORD-000001
37.29,2,Portable Power Bank,BR,CUST-1002,2026/01/03,ORD-000002
63.25,2,Organic Cotton T-Shirt,JP,CUST-1003,2026/01/04,ORD-000003
55.06,1,Yoga Mat Premium,AU,CUST-1004,2026/01/05,ORD-000004
44.45,2,Smart Watch Series 5,DE,CUST-1005,2026/01/06,ORD-000005
41.27,2,Running Shoes Elite,AU,CUST-1006,2026/01/07,ORD-000006
37.5,1,Wireless Headphones Pro,IN,CUST-1007,2026/01/08,ORD-000007
97.36,1,Monitor Arm Dual,CA,CUST-1008,2026/01/09,ORD-000008
45.16,2,Standing Desk Converter,CN,CUST-1009,2026/01/10,ORD-000009
64.82,1,Wireless Headphones Pro,US,CUST-1010,2026/01/11,ORD-000010
54.47,2,Bluetooth Speaker Mini,US,CUST-1011,2026/01/12,ORD-000011
68.61,2,Wireless Charger Pad,UK,CUST-1012,2026/01/13,ORD-000012
70.65,1,4K Webcam Pro,JP,CUST-1013,2026/01/14,ORD-000013
35.12,3,Bluetooth Speaker Mini,IN,CUST-1014,2026/01/15,ORD-000014
58.98,2,4K Webcam Pro,UK,CUST-1015,2026/01/16,ORD-000015
96.76,1,4K Webcam Pro,AU,CUST-1016,2026/01/17,ORD-000016
30.34,1,Bluetooth Speaker Mini,FR,CUST-1017,2026/01/18,ORD-000017
70.31,2,Portable Power Bank,JP,CUST-1018,2026/01/19,ORD-000018
79.91,3,Smart Watch Series 5,IN,CUST-1019,2026/01/20,ORD-000019
96.58,3,Noise Cancelling Earbuds,BR,CUST-1020,2026/01/21,ORD-000020
41.13,2,External SSD 1TB,JP,CUST-1021,2026/01/22,ORD-000021
87.88,1,Running Shoes Elite,DE,CUST-1022,2026/01/23,ORD-000022
89.67,1,Mechanical Keyboard RGB,AU,CUST-1023,2026/01/24,ORD-000023
74.21,3,4K Webcam Pro,CN,CUST-1024,2026/01/25,ORD-000024
20.68,3,LED Desk Lamp,DE,CUST-1025,2026/01/26,ORD-000025
37.43,2,External SSD 1TB,UK,CUST-1026,2026/01/27,ORD-000026
46.68,2,Leather Wallet Classic,JP,CUST-1027,2026/01/28,ORD-000027
56.49,3,Monitor Arm Dual,US,CUST-1028,2026/01/29,ORD-000028
49.86,1,Monitor Arm Dual,BR,CUST-1029,2026/01/30,ORD-000029
20.81,1,Wireless Mouse Silent,CA,CUST-1030,2026/01/31,ORD-000030
75.87,1,Bluetooth Speaker Mini,IN,CUST-1031,2026/02/01,ORD-000031
43.7,1,Wireless Charger Pad,JP,CUST-1032,2026/02/02,ORD-000032
64.44,2,External SSD 1TB,UK,CUST-1033,2026/02/03,ORD-000033
90.41,3,Smart Watch Series 5,US,CUST-1034,2026/02/04,ORD-000034
96.17,2,Organic Cotton T-Shirt,JP,CUST-1035,2026/02/05,ORD-000035
87.26,2,Monitor Arm Dual,BR,CUST-1036,2026/02/06,ORD-000036
59.97,3,Leather Wallet Classic,US,CUST-1037,2026/02/07,ORD-000037
59.34,2,4K Webcam Pro,BR,CUST-1038,2026/02/08,ORD-000038
63.49,3,LED Desk Lamp,AU,CUST-1039,2026/02/09,ORD-000039
34.39,2,Wireless Mouse Silent,DE,CUST-1040,2026/02/10,ORD-000040
30.64,1,Wireless Mouse Silent,AU,CUST-1041,2026/02/11,ORD-000041
76.7,1,Bluetooth Speaker Mini,AU,CUST-1042,2026/02/12,ORD-000042
90.76,1,Portable Power Bank,CA,CUST-1043,2026/02/13,ORD-000043
23.23,2,Leather Wallet Classic,UK,CUST-1044,2026/02/14,ORD-000044
35.24,1,Running Shoes Elite,BR,CUST-1045,2026/02/15,ORD-000045
77.5,3,Organic Cotton T-Shirt,AU,CUST-1046,2026/02/16,ORD-000046
81.07,2,4K Webcam Pro,JP,CUST-1047,2026/02/17,ORD-000047
80.37,2,Wireless Charger Pad,BR,CUST-1048,2026/02/18,ORD-000048
69.36,1,Wireless Headphones Pro,BR,CUST-1049,2026/02/19,ORD-000049
50.35,1,Ergonomic Office Chair,AU,CUST-1050,2026/02/20,ORD-000050
51.04,3,Stainless Steel Water Bottle,CN,CUST-1051,2026/02/21,ORD-000051
50.18,3,Portable Power Bank,US,CUST-1052,2026/02/22,ORD-000052
38.35,3,Air Purifier Small,CA,CUST-1053,2026/02/23,ORD-000053
90.4,3,Standing Desk Converter,US,CUST-1054,2026/02/24,ORD-000054
91.95,1,Portable Power Bank,BR,CUST-1055,2026/02/25,ORD-000055
62.97,3,Portable Power Bank,UK,CUST-1056,2026/02/26,ORD-000056
40.93,1,Bluetooth Speaker Mini,US,CUST-1057,2026/02/27,ORD-000057
62.34,2,Monitor Arm Dual,BR,CUST-1058,2026/02/28,ORD-000058
81.85,3,Organic Cotton T-Shirt,BR,CUST-1059,2026/03/01,ORD-000059
96.29,2,Monitor Arm Dual,CA,CUST-1060,2026/03/02,ORD-000060
76.95,1,Standing Desk Converter,US,CUST-1061,2026/03/03,ORD-000061
95.31,1,Yoga Mat Premium,FR,CUST-1062,2026/03/04,ORD-000062
32.63,2,Standing Desk Converter,US,CUST-1063,2026/03/05,ORD-000063
88.5,1,Mechanical Keyboard RGB,AU,CUST-1064,2026/03/06,ORD-000064
27.73,1,Smart Watch Series 5,JP,CUST-1065,2026/03/07,ORD-000065
23.64,1,Monitor Arm Dual,JP,CUST-1066,2026/03/08,ORD-000066
24.1,2,Wireless Mouse Silent,US,CUST-1067,2026/03/09,ORD-000067
97.93,2,Monitor Arm Dual,BR,CUST-1068,2026/03/10,ORD-000068
98.79,1,Yoga Mat Premium,IN,CUST-1069,2026/03/11,ORD-000069
54.72,3,Portable Power Bank,BR,CUST-1070,2026/03/12,ORD-000070
30.11,1,Stainless Steel Water Bottle,IN,CUST-1071,2026/03/13,ORD-000071
81.19,2,4K Webcam Pro,CN,CUST-1072,2026/03/14,ORD-000072
94.71,3,Leather Wallet Classic,JP,CUST-1073,2026/03/15,ORD-000073
85.55,2,Mechanical Keyboard RGB,UK,CUST-1074,2026/03/16,ORD-000074
65.47,3,LED Desk Lamp,FR,CUST-1075,2026/03/17,ORD-000075
49.71,3,Air Purifier Small,US,CUST-1076,2026/03/18,ORD-000076
29.87,2,Yoga Mat Premium,BR,CUST-1077,2026/03/19,ORD-000077
79.08,3,Mechanical Keyboard RGB,FR,CUST-1078,2026/03/20,ORD-000078
80.35,3,Stainless Steel Water Bottle,CN,CUST-1079,2026/03/21,ORD-000079
41.87,1,Running Shoes Elite,UK,CUST-1080,2026/03/22,ORD-000080
66.86,2,Running Shoes Elite,AU,CUST-1081,2026/03/23,ORD-000081
25.95,1,Running Shoes Elite,IN,CUST-1082,2026/03/24,ORD-000082
34.69,2,Air Purifier Small,JP,CUST-1083,2026/03/25,ORD-000083
27.11,2,Noise Cancelling Earbuds,UK,CUST-1084,2026/03/26,ORD-000084
60.92,1,Ergonomic Office Chair,CA,CUST-1085,2026/03/27,ORD-000085
98.28,2,Organic Cotton T-Shirt,FR,CUST-1086,2026/03/28,ORD-000086
41.74,3,Portable Power Bank,CN,CUST-1087,2026/03/29,ORD-000087
62.23,2,Smart Watch Series 5,UK,CUST-1088,2026/03/30,ORD-000088
97.38,1,Monitor Arm Dual,FR,CUST-1089,2026/03/31,ORD-000089
67.65,1,Noise Cancelling Earbuds,IN,CUST-1090,2026/04/01,ORD-000090
67.25,2,Bluetooth Speaker Mini,CN,CUST-1091,2026/04/02,ORD-000091
61.09,2,Wireless Mouse Silent,UK,CUST-1092,2026/04/03,ORD-000092
69.13,2,4K Webcam Pro,US,CUST-1093,2026/04/04,ORD-000093
65.29,1,Organic Cotton T-Shirt,CA,CUST-1094,2026/04/05,ORD-000094
24.9,3,Yoga Mat Premium,CA,CUST-1095,2026/04/06,ORD-000095
67.55,3,Mechanical Keyboard RGB,JP,CUST-1096,2026/04/07,ORD-000096
78.67,3,Wireless Headphones Pro,CA,CUST-1097,2026/04/08,ORD-000097
