order_id,date,customer_id,product_name,quantity,price,country
ORD-001,2026/01/15,CUST-1001,Wireless Headphones Pro,2,79.99,US
ORD-002,2026/01/16,CUST-1002,Organic Cotton T-Shirt,3,29.99,CA
ORD-003,2026/01/17,CUST-1003,Stainless Steel Water Bottle,1,24.99,US
ORD-004,2026/01/18,CUST-1004,Yoga Mat Premium,1,45.00,UK
ORD-005,2026/01/19,CUST-1005,Bluetooth Speaker Mini,2,34.99,US
ORD-006,2026/01/20,CUST-1006,Running Shoes Elite,1,129.99,DE
ORD-007,2026/01/21,CUST-1007,Leather Wallet Classic,1,59.99,US
ORD-008,2026/01/22,CUST-1008,Smart Watch Series 5,1,199.99,CA
ORD-009,2026/01/23,CUST-1009,Wireless Charger Pad,2,19.99,US
ORD-010,2026/01/24,CUST-1010,Noise Cancelling Earbuds,1,149.99,UK
ORD-011,2026/02/01,CUST-1011,Portable Power Bank 20000mAh,1,39.99,US
ORD-012,2026/02/02,CUST-1012,Mechanical Keyboard RGB,1,89.99,CA
ORD-013,2026/02/03,CUST-1013,4K Webcam Pro,1,69.99,US
ORD-014,2026/02/04,CUST-1014,USB-C Hub 7-in-1,1,49.99,DE
ORD-015,2026/02/05,CUST-1015,Standing Desk Converter,1,199.99,US
ORD-016,2026/02/06,CUST-1016,Ergonomic Office Chair,1,349.99,CA
ORD-017,2026/02/07,CUST-1017,LED Desk Lamp with USB,2,34.99,US
ORD-018,2026/02/08,CUST-1018,External SSD 1TB,1,99.99,UK
ORD-019,2026/02/09,CUST-1019,Wireless Mouse Silent,3,24.99,US
ORD-020,2026/02/10,CUST-1020,Monitor Arm Dual,1,79.99,CA
ORD-021,2026/02/11,CUST-1021,Laptop Stand Aluminum,2,29.99,US
ORD-022,2026/02/12,CUST-1022,Cable Management Box,1,14.99,DE
ORD-023,2026/02/13,CUST-1023,Desk Organizer Bamboo,1,22.99,US
ORD-024,2026/02/14,CUST-1024,Whiteboard Wall Sticker,1,18.99,CA
ORD-025,2026/02/15,CUST-1025,Phone Holder Adjustable,2,12.99,US
ORD-026,2026/03/01,CUST-1026,Tablet Stand Foldable,1,19.99,UK
ORD-027,2026/03/02,CUST-1027,Car Phone Mount Magnetic,1,15.99,US
ORD-028,2026/03/03,CUST-1028,Air Purifier Small,1,89.99,CA
ORD-029,2026/03/04,CUST-1029,Humidifier Ultrasonic,1,45.99,US
ORD-030,2026/03/05,CUST-1030,Essential Oil Diffuser,2,24.99,DE
ORD-031,2026/03/06,CUST-1031,Weighted Blanket 15lbs,1,79.99,US
ORD-032,2026/03/07,CUST-1032,Memory Foam Pillow,2,39.99,CA
ORD-033,2026/03/08,CUST-1033,Sleep Mask Silk,3,14.99,US
ORD-034,2026/03/09,CUST-1034,White Noise Machine,1,49.99,UK
ORD-035,2026/03/10,CUST-1035,Aromatherapy Candles Set,1,29.99,US
ORD-036,2026/03/11,CUST-1036,Bath Bombs Gift Set,1,19.99,CA
ORD-037,2026/03/12,CUST-1037,Body Scrub Organic,2,16.99,US
ORD-038,2026/03/13,CUST-1038,Facial Cleansing Brush,1,34.99,DE
ORD-039,2026/03/14,CUST-1039,Jade Roller and Gua Sha,1,18.99,US
ORD-040,2026/03/15,CUST-1040,Hair Dryer Ionic,1,59.99,CA
ORD-041,2026/04/01,CUST-1041,Curling Wand Ceramic,1,44.99,US
ORD-042,2026/04/02,CUST-1042,Straightener Titanium,1,79.99,UK
ORD-043,2026/04/03,CUST-1043,Hair Clippers Professional,1,39.99,US
ORD-044,2026/04/04,CUST-1044,Beard Trimmer Kit,1,29.99,CA
ORD-045,2026/04/05,CUST-1045,Nail Dryer Lamp LED,1,19.99,US
ORD-046,2026/04/06,CUST-1046,Makeup Brush Set 12pcs,1,24.99,DE
ORD-047,2026/04/07,CUST-1047,Eyeshadow Palette Nude,1,34.99,US
ORD-048,2026/04/08,CUST-1048,Lipstick Matte Set,2,19.99,CA
ORD-049,2026/04/09,CUST-1049,Mascara Waterproof,1,14.99,US
ORD-050,2026/04/10,CUST-1050,Skincare Serum Vitamin C,1,39.99,UK
ORD-051,2026/04/11,CUST-1051,Moisturizer SPF 30,1,29.99,US
ORD-052,2026/04/12,CUST-1052,Sunscreen Lotion SPF 50,2,18.99,CA
ORD-053,2026/04/13,CUST-1053,Hand Cream Gift Set,1,22.99,US
ORD-054,2026/04/14,CUST-1054,Foot Spa Massager,1,49.99,DE
ORD-055,2026/04/15,CUST-1055,Neck Massager Shiatsu,1,69.99,US
ORD-056,2026/05/01,CUST-1056,Back Massager with Heat,1,89.99,CA
ORD-057,2026/05/02,CUST-1057,Foot Rest Under Desk,1,34.99,US
ORD-058,2026/05/03,CUST-1058,Compression Socks 3pk,2,19.99,UK
ORD-059,2026/05/04,CUST-1059,Fitness Tracker Band,1,49.99,US
ORD-060,2026/05/05,CUST-1060,Resistance Bands Set,1,24.99,CA
ORD-061,2026/05/06,CUST-1061,Dumbbells Adjustable 25lb,1,79.99,US
ORD-062,2026/05/07,CUST-1062,Kettlebell Cast Iron 20lb,1,44.99,DE
ORD-063,2026/05/08,CUST-1063,Yoga Block Cork,2,14.99,US
ORD-064,2026/05/09,CUST-1064,Foam Roller Grid,1,29.99,CA
ORD-065,2026/05/10,CUST-1065,Jump Rope Adjustable,1,12.99,US
ORD-066,2026/05/11,CUST-1066,Gym Bag Waterproof,1,34.99,UK
ORD-067,2026/05/12,CUST-1067,Water Bottle Insulated 32oz,1,24.99,US
ORD-068,2026/05/13,CUST-1068,Protein Shaker Bottle,2,9.99,CA
ORD-069,2026/05/14,CUST-1069,Meal Prep Containers 10pk,1,19.99,US
ORD-070,2026/05/15,CUST-1070,Kitchen Scale Digital,1,15.99,DE
ORD-071,2026/06/01,CUST-1071,Air Fryer Compact 2QT,1,59.99,US
ORD-072,2026/06/02,CUST-1072,Blender Personal Size,1,39.99,CA
ORD-073,2026/06/03,CUST-1073,Coffee Maker Single Serve,1,79.99,US
ORD-074,2026/06/04,CUST-1074,Electric Kettle Gooseneck,1,49.99,UK
ORD-075,2026/06/05,CUST-1075,Toaster 2 Slice Stainless,1,34.99,US
ORD-076,2026/06/06,CUST-1076,Microwave Oven Small,1,89.99,CA
ORD-077,2026/06/07,CUST-1077,Rice Cooker Mini 3Cup,1,29.99,US
ORD-078,2026/06/08,CUST-1078,Slow Cooker 4QT,1,44.99,DE
ORD-079,2026/06/09,CUST-1079,Waffle Maker Belgian,1,24.99,US
ORD-080,2026/06/10,CUST-1080,Panini Press Grill,1,39.99,CA
ORD-081,2026/06/11,CUST-1081,Knife Set Block 15pc,1,69.99,US
ORD-082,2026/06/12,CUST-1082,Cutting Board Bamboo Large,1,22.99,UK
ORD-083,2026/06/13,CUST-1083,Utensil Set Silicone 12pc,1,19.99,US
ORD-084,2026/06/14,CUST-1084,Pot Holder Set 4pc,1,14.99,CA
ORD-085,2026/06/15,CUST-1085,Apron Chef Cotton,1,18.99,US
ORD-086,2026/06/16,CUST-1086,Oven Mitt Set 2pc,1,12.99,DE
ORD-087,2026/06/17,CUST-1087,Spice Rack Wall Mount,1,29.99,US
ORD-088,2026/06/18,CUST-1088,Oil Dispenser Glass,1,16.99,CA
ORD-089,2026/06/19,CUST-1089,Salt and Pepper Grinder,1,19.99,US
ORD-090,2026/06/20,CUST-1090,Napkin Holder Bamboo,1,11.99,UK
ORD-091,2026/06/21,CUST-1091,Coasters Set 8pc Cork,1,14.99,US
ORD-092,2026/06/22,CUST-1092,Placemats Set 6pc Leather,1,24.99,CA
ORD-093,2026/06/23,CUST-1093,Table Runner Linen,1,29.99,US
ORD-094,2026/06/24,CUST-1094,Wall Clock Modern 12in,1,34.99,DE
ORD-095,2026/06/25,CUST-1095,Picture Frame Set 5pc,1,39.99,US
ORD-096,2026/06/26,CUST-1096,Vase Ceramic Minimalist,1,24.99,CA
ORD-097,2026/06/27,CUST-1097,Candle Holders Metal 3pc,1,19.99,US
ORD-098,2026/06/28,CUST-1098,Throw Pillow Cover 18x18,2,14.99,UK
ORD-099,2026/06/29,CUST-1099,Blanket Fleece Queen,1,29.99,US
ORD-100,2026/06/30,CUST-1100,Curtain Panel Blackout,2,24.99,CA
