order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Ergonomic Office Chair,1,29.13,US
ORD-000002,2026/01/03,CUST-1002,Wireless Headphones Pro,1,20.42,US
ORD-000003,2026/01/04,CUST-1003,Running Shoes Elite,1,39.4,US
ORD-000004,2026/01/05,CUST-1004,Wireless Mouse Silent,2,18.75,US
ORD-000005,2026/01/06,CUST-1005,Noise Cancelling Earbuds,2,26.15,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,2,31.49,US
ORD-000007,2026/01/08,CUST-1007,Mechanical Keyboard RGB,1,18.09,US
ORD-000008,2026/01/09,CUST-1008,Noise Cancelling Earbuds,1,19.32,US
ORD-000009,2026/01/10,CUST-1009,Leather Wallet Classic,1,15.83,US
ORD-000010,2026/01/11,CUST-1010,Monitor Arm Dual,1,12.18,US
ORD-000011,2026/01/12,CUST-1011,Wireless Charger Pad,1,33.94,US
ORD-000012,2026/01/13,CUST-1012,Organic Cotton T-Shirt,2,10.64,US
ORD-000013,2026/01/14,CUST-1013,Standing Desk Converter,2,25.12,US
ORD-000014,2026/01/15,CUST-1014,Running Shoes Elite,2,23.6,US
ORD-000015,2026/01/16,CUST-1015,Leather Wallet Classic,1,29.67,US
ORD-000016,2026/01/17,CUST-1016,Mechanical Keyboard RGB,2,32.74,US
ORD-000017,2026/01/18,CUST-1017,Wireless Headphones Pro,2,32.79,US
ORD-000018,2026/01/19,CUST-1018,Portable Power Bank,2,13.42,US
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,1,31.85,US
ORD-000020,2026/01/21,CUST-1020,Bluetooth Speaker Mini,1,13.4,US
ORD-000021,2026/01/22,CUST-1021,Ergonomic Office Chair,1,37.03,US
