order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Organic Cotton T-Shirt,2,26.59,US
ORD-000002,2026/01/03,CUST-1002,Air Purifier Small,1,38.93,US
ORD-000003,2026/01/04,CUST-1003,Mechanical Keyboard RGB,2,37.55,US
ORD-000004,2026/01/05,CUST-1004,Bluetooth Speaker Mini,1,38.76,US
ORD-000005,2026/01/06,CUST-1005,External SSD 1TB,1,24.93,US
ORD-000006,2026/01/07,CUST-1006,LED Desk Lamp,1,31.13,US
ORD-000007,2026/01/08,CUST-1007,Wireless Headphones Pro,1,19.14,US
ORD-000008,2026/01/09,CUST-1008,4K Webcam Pro,1,26.82,US
ORD-000009,2026/01/10,CUST-1009,Ergonomic Office Chair,1,36.54,US
ORD-000010,2026/01/11,CUST-1010,Bluetooth Speaker Mini,2,33.35,US
ORD-000011,2026/01/12,CUST-1011,Stainless Steel Water Bottle,1,23.99,US
ORD-000012,2026/01/13,CUST-1012,Stainless Steel Water Bottle,1,30.6,US
ORD-000013,2026/01/14,CUST-1013,Wireless Mouse Silent,2,32.19,US
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,2,20.1,US
ORD-000015,2026/01/16,CUST-1015,Mechanical Keyboard RGB,2,16.92,US
ORD-000016,2026/01/17,CUST-1016,Mechanical Keyboard RGB,1,13.94,US
ORD-000017,2026/01/18,CUST-1017,Leather Wallet Classic,1,15.6,US
ORD-000018,2026/01/19,CUST-1018,Standing Desk Converter,2,14.84,US
ORD-000019,2026/01/20,CUST-1019,Monitor Arm Dual,2,22.7,US
ORD-000020,2026/01/21,CUST-1020,External SSD 1TB,1,19.06,US
