order_id,date,customer_id,product_name,quantity,price
ORD-000001,2026/01/02,CUST-1001,Bluetooth Speaker Mini,2,86.54
ORD-000002,2026/01/03,CUST-1002,Bluetooth Speaker Mini,2,91.92
ORD-000003,2026/01/04,CUST-1003,External SSD 1TB,2,51.67
ORD-000004,2026/01/05,CUST-1004,Monitor Arm Dual,2,27.42
ORD-000005,2026/01/06,CUST-1005,Running Shoes Elite,3,49.17
ORD-000006,2026/01/07,CUST-1006,Noise Cancelling Earbuds,3,55.51
ORD-000007,2026/01/08,CUST-1007,Wireless Headphones Pro,2,32.67
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,1,43.46
ORD-000009,2026/01/10,CUST-1009,Standing Desk Converter,1,99.13
ORD-000010,2026/01/11,CUST-1010,Stainless Steel Water Bottle,1,90.74
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,1,98.89
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones Pro,1,59.52
ORD-000013,2026/01/14,CUST-1013,Yoga Mat Premium,1,94.15
ORD-000014,2026/01/15,CUST-1014,Yoga Mat Premium,2,88.93
ORD-000015,2026/01/16,CUST-1015,Ergonomic Office Chair,1,40.89
ORD-000016,2026/01/17,CUST-1016,LED Desk Lamp,3,47.48
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,3,39.63
ORD-000018,2026/01/19,CUST-1018,Bluetooth Speaker Mini,2,54.51
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,1,97.99
ORD-000020,2026/01/21,CUST-1020,Yoga Mat Premium,1,97.59
ORD-000021,2026/01/22,CUST-1021,Yoga Mat Premium,2,45.89
ORD-000022,2026/01/23,CUST-1022,Smart Watch Series 5,3,65.54
ORD-000023,2026/01/24,CUST-1023,Mechanical Keyboard RGB,2,55.18
ORD-000024,2026/01/25,CUST-1024,Stainless Steel Water Bottle,3,53.95
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,2,53.63
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,1,26.44
ORD-000027,2026/01/28,CUST-1027,Organic Cotton T-Shirt,1,98.49
ORD-000028,2026/01/29,CUST-1028,Leather Wallet Classic,3,58.6
ORD-000029,2026/01/30,CUST-1029,LED Desk Lamp,1,62.45
ORD-000030,2026/01/31,CUST-1030,Leather Wallet Classic,3,91.19
ORD-000031,2026/02/01,CUST-1031,Standing Desk Converter,1,59.62
ORD-000032,2026/02/02,CUST-1032,Leather Wallet Classic,1,39.11
ORD-000033,2026/02/03,CUST-1033,Mechanical Keyboard RGB,3,35.69
ORD-000034,2026/02/04,CUST-1034,Wireless Mouse Silent,3,95.56
ORD-000035,2026/02/05,CUST-1035,Portable Power Bank,3,92.6
ORD-000036,2026/02/06,CUST-1036,Smart Watch Series 5,3,93.68
ORD-000037,2026/02/07,CUST-1037,4K Webcam Pro,3,95.81
ORD-000038,2026/02/08,CUST-1038,Ergonomic Office Chair,1,71.1
ORD-000039,2026/02/09,CUST-1039,Wireless Mouse Silent,2,51.33
ORD-000040,2026/02/10,CUST-1040,Bluetooth Speaker Mini,3,91.47
ORD-000041,2026/02/11,CUST-1041,Ergonomic Office Chair,2,68.28
ORD-000042,2026/02/12,CUST-1042,Wireless Mouse Silent,2,31.03
ORD-000043,2026/02/13,CUST-1043,External SSD 1TB,3,55.58
ORD-000044,2026/02/14,CUST-1044,Wireless Charger Pad,3,24.32
ORD-000045,2026/02/15,CUST-1045,Monitor Arm Dual,1,64.27
ORD-000046,2026/02/16,CUST-1046,Ergonomic Office Chair,3,77.12
ORD-000047,2026/02/17,CUST-1047,Standing Desk Converter,1,66.7
ORD-000048,2026/02/18,CUST-1048,Organic Cotton T-Shirt,2,42.86
ORD-000049,2026/02/19,CUST-1049,Yoga Mat Premium,3,22.3
ORD-000050,2026/02/20,CUST-1050,Portable Power Bank,1,59.1
