order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Portable Power Bank,3,41.94,US
ORD-000002,2026/01/03,CUST-1002,Wireless Mouse Silent,3,85.0,US
ORD-000003,2026/01/04,CUST-1003,Leather Wallet Classic,1,86.21,US
ORD-000004,2026/01/05,CUST-1004,LED Desk Lamp,2,51.52,US
ORD-000005,2026/01/06,CUST-1005,Noise Cancelling Earbuds,2,69.28,US
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,2,60.08,US
ORD-000007,2026/01/08,CUST-1007,Running Shoes Elite,2,89.64,US
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,3,58.39,US
ORD-000009,2026/01/10,CUST-1009,Bluetooth Speaker Mini,1,90.28,US
ORD-000010,2026/01/11,CUST-1010,Bluetooth Speaker Mini,2,51.72,US
ORD-000011,2026/01/12,CUST-1011,Portable Power Bank,1,54.06,US
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones Pro,3,34.46,US
ORD-000013,2026/01/14,CUST-1013,Wireless Mouse Silent,2,52.87,US
ORD-000014,2026/01/15,CUST-1014,Bluetooth Speaker Mini,1,34.49,US
ORD-000015,2026/01/16,CUST-1015,Noise Cancelling Earbuds,1,41.04,US
ORD-000016,2026/01/17,CUST-1016,Wireless Headphones Pro,1,84.14,US
ORD-000017,2026/01/18,CUST-1017,Air Purifier Small,3,51.99,US
ORD-000018,2026/01/19,CUST-1018,LED Desk Lamp,2,94.6,US
ORD-000019,2026/01/20,CUST-1019,Wireless Headphones Pro,2,24.54,US
ORD-000020,2026/01/21,CUST-1020,Standing Desk Converter,2,65.92,US
ORD-000021,2026/01/22,CUST-1021,Wireless Mouse Silent,3,87.55,US
ORD-000022,2026/01/23,CUST-1022,Leather Wallet Classic,3,90.69,US
ORD-000023,2026/01/24,CUST-1023,Wireless Charger Pad,3,72.38,US
ORD-000024,2026/01/25,CUST-1024,Wireless Charger Pad,3,76.4,US
ORD-000025,2026/01/26,CUST-1025,4K Webcam Pro,3,99.93,US
ORD-000026,2026/01/27,CUST-1026,Portable Power Bank,1,26.62,US
ORD-000027,2026/01/28,CUST-1027,Monitor Arm Dual,3,90.85,US
ORD-000028,2026/01/29,CUST-1028,Wireless Headphones Pro,1,59.63,US
ORD-000029,2026/01/30,CUST-1029,Wireless Headphones Pro,2,97.08,US
ORD-000030,2026/01/31,CUST-1030,Yoga Mat Premium,1,90.93,US
ORD-000031,2026/02/01,CUST-1031,Monitor Arm Dual,3,52.9,US
ORD-000032,2026/02/02,CUST-1032,Bluetooth Speaker Mini,2,37.14,US
ORD-000033,2026/02/03,CUST-1033,Bluetooth Speaker Mini,2,89.79,US
ORD-000034,2026/02/04,CUST-1034,Stainless Steel Water Bottle,2,74.04,US
ORD-000035,2026/02/05,CUST-1035,4K Webcam Pro,2,31.3,US
ORD-000036,2026/02/06,CUST-1036,LED Desk Lamp,2,99.35,US
ORD-000037,2026/02/07,CUST-1037,Portable Power Bank,2,29.57,US
ORD-000038,2026/02/08,CUST-1038,Wireless Mouse Silent,3,71.58,US
ORD-000039,2026/02/09,CUST-1039,Wireless Charger Pad,3,58.95,US
ORD-000040,2026/02/10,CUST-1040,Mechanical Keyboard RGB,1,30.74,US
ORD-000041,2026/02/11,CUST-1041,Monitor Arm Dual,1,33.2,US
ORD-000042,2026/02/12,CUST-1042,Smart Watch Series 5,3,46.43,US
ORD-000043,2026/02/13,CUST-1043,Running Shoes Elite,3,47.51,US
ORD-000044,2026/02/14,CUST-1044,Wireless Charger Pad,1,21.48,US
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,2,50.0,US
ORD-000046,2026/02/16,CUST-1046,Mechanical Keyboard RGB,2,33.85,US
ORD-000047,2026/02/17,CUST-1047,Standing Desk Converter,1,74.92,US
ORD-000048,2026/02/18,CUST-1048,Running Shoes Elite,1,96.58,US
ORD-000049,2026/02/19,CUST-1049,Monitor Arm Dual,2,84.66,US
ORD-000050,2026/02/20,CUST-1050,Stainless Steel Water Bottle,3,39.28,US
ORD-000051,2026/02/21,CUST-1051,Leather Wallet Classic,3,77.91,US
ORD-000052,2026/02/22,CUST-1052,Monitor Arm Dual,3,55.55,US
ORD-000053,2026/02/23,CUST-1053,LED Desk Lamp,2,84.26,US
ORD-000054,2026/02/24,CUST-1054,Wireless Headphones Pro,1,81.28,US
ORD-000055,2026/02/25,CUST-1055,Yoga Mat Premium,1,96.02,US
ORD-000056,2026/02/26,CUST-1056,Noise Cancelling Earbuds,1,39.78,US
ORD-000057,2026/02/27,CUST-1057,Stainless Steel Water Bottle,2,99.65,US
ORD-000058,2026/02/28,CUST-1058,Mechanical Keyboard RGB,2,31.33,US
ORD-000059,2026/03/01,CUST-1059,Yoga Mat Premium,2,72.13,US
ORD-000060,2026/03/02,CUST-1060,Air Purifier Small,2,82.83,US
ORD-000061,2026/03/03,CUST-1061,Wireless Mouse Silent,3,25.81,US
ORD-000062,2026/03/04,CUST-1062,Wireless Mouse Silent,1,22.71,US
ORD-000063,2026/03/05,CUST-1063,LED Desk Lamp,3,85.78,US
ORD-000064,2026/03/06,CUST-1064,Leather Wallet Classic,3,89.84,US
ORD-000065,2026/03/07,CUST-1065,Wireless Charger Pad,1,74.61,US
ORD-000066,2026/03/08,CUST-1066,4K Webcam Pro,2,20.29,US
ORD-000067,2026/03/09,CUST-1067,4K Webcam Pro,3,95.38,US
ORD-000068,2026/03/10,CUST-1068,Monitor Arm Dual,1,72.27,US
ORD-000069,2026/03/11,CUST-1069,4K Webcam Pro,3,25.69,US
ORD-000070,2026/03/12,CUST-1070,Standing Desk Converter,3,66.18,US
ORD-000071,2026/03/13,CUST-1071,Mechanical Keyboard RGB,3,77.74,US
ORD-000072,2026/03/14,CUST-1072,Bluetooth Speaker Mini,2,24.65,US
ORD-000073,2026/03/15,CUST-1073,Standing Desk Converter,3,89.47,US
ORD-000074,2026/03/16,CUST-1074,LED Desk Lamp,2,34.58,US
ORD-000075,2026/03/17,CUST-1075,Portable Power Bank,2,53.48,US
ORD-000076,2026/03/18,CUST-1076,Wireless Charger Pad,1,72.83,US
ORD-000077,2026/03/19,CUST-1077,Wireless Headphones Pro,3,96.7,US
ORD-000078,2026/03/20,CUST-1078,Portable Power Bank,2,90.99,US
ORD-000079,2026/03/21,CUST-1079,LED Desk Lamp,1,25.31,US
ORD-000080,2026/03/22,CUST-1080,4K Webcam Pro,1,56.77,US
ORD-000081,2026/03/23,CUST-1081,Bluetooth Speaker Mini,2,94.01,US
ORD-000082,2026/03/24,CUST-1082,Standing Desk Converter,1,59.98,US
